"participant"	"partnerRegCondition"	"partnerRegRate"	"posttest.reg"	"pretest.reg"
"s6179"	"decrease"	0.327	0.519230769230769	0.538461538461538
"s6180"	"decrease"	0.365	0.615384615384615	0.596153846153846
"s6181"	"increase"	0.385	0.153846153846154	0.269230769230769
"s6182"	"decrease"	0.096	0.0192307692307692	0.153846153846154
"s6183"	"increase"	0.788	0.75	0.557692307692308
"s6184"	"decrease"	0.269	0.461538461538462	0.442307692307692
"s6185"	"decrease"	0.288	0.673076923076923	0.480769230769231
"s6186"	"decrease"	0.365	0.307692307692308	0.615384615384615
"s6189"	"decrease"	0.135	0.0192307692307692	0.230769230769231
"s6190"	"no.change"	0.404	0.307692307692308	0.403846153846154
"s6191"	"increase"	0.923	0.634615384615385	0.653846153846154
"s6192"	"increase"	0.75	0.307692307692308	0.538461538461538
"s6194"	"increase"	0.942	0.826923076923077	0.673076923076923
"s6195"	"no.change"	0.519	1	0.519230769230769
"s6197"	"no.change"	0.692	0.846153846153846	0.692307692307692
"s6200"	"increase"	0.885	1	0.634615384615385
"s6204"	"decrease"	0.385	0.442307692307692	0.653846153846154
"s6205"	"decrease"	0.25	0.615384615384615	0.403846153846154
"s6207"	"decrease"	0.212	0.480769230769231	0.365384615384615
"s6208"	"no.change"	0.462	0.519230769230769	0.461538461538462
"s6209"	"no.change"	0.385	0.538461538461538	0.384615384615385
"s6210"	"no.change"	0.404	0.673076923076923	0.403846153846154
"s6211"	"no.change"	0.346	0.442307692307692	0.346153846153846
"s6218"	"increase"	0.808	0.673076923076923	0.576923076923077
"s6219"	"increase"	0.923	0.596153846153846	0.653846153846154
"s6221"	"increase"	0.385	0.288461538461538	0.269230769230769
"s6222"	"decrease"	0.308	0.442307692307692	0.5
"s6223"	"decrease"	0.423	0.769230769230769	0.692307692307692
"s6225"	"decrease"	0.327	0.269230769230769	0.557692307692308
"s6227"	"no.change"	0.327	0.423076923076923	0.326923076923077
"s6228"	"decrease"	0.423	0.538461538461538	0.692307692307692
"s6231"	"no.change"	0.577	0.538461538461538	0.576923076923077
"s6232"	"no.change"	0.673	0.615384615384615	0.673076923076923
"s6233"	"no.change"	0.404	0.115384615384615	0.403846153846154
"s6235"	"no.change"	0.442	0.211538461538462	0.442307692307692
"s6236"	"no.change"	0.442	0	0.442307692307692
"s6237"	"no.change"	0.404	0.0961538461538462	0.403846153846154
"s6238"	"no.change"	0.442	0.596153846153846	0.442307692307692
"s6240"	"no.change"	0.673	0.557692307692308	0.673076923076923
"s6241"	"no.change"	0.135	0.0961538461538462	0.134615384615385
"s6243"	"no.change"	0.596	0.634615384615385	0.596153846153846
"s6244"	"no.change"	0.519	0.634615384615385	0.519230769230769
"s6247"	"no.change"	0.423	0.365384615384615	0.423076923076923
"s6248"	"no.change"	0.481	0.461538461538462	0.480769230769231
"s6251"	"increase"	0.827	0.692307692307692	0.596153846153846
"s6253"	"increase"	0.558	0.5	0.403846153846154
"s6254"	"increase"	0.827	0.923076923076923	0.596153846153846
"s6255"	"increase"	0.673	0.711538461538462	0.480769230769231
"s6256"	"increase"	0.808	0.653846153846154	0.576923076923077
"s6258"	"increase"	0.827	0.461538461538462	0.596153846153846
"s6259"	"increase"	0.942	1	0.673076923076923
"s6260"	"increase"	0.885	0.865384615384615	0.634615384615385
"s6261"	"increase"	0.673	0.5	0.480769230769231
"s6262"	"increase"	0.673	0.403846153846154	0.480769230769231
"s6263"	"increase"	0.654	0.403846153846154	0.461538461538462
"s6264"	"increase"	0.962	0.788461538461538	0.692307692307692
"s6265"	"decrease"	0.269	0.230769230769231	0.461538461538462
"s6266"	"decrease"	0.212	0.442307692307692	0.346153846153846
"s6267"	"decrease"	0.231	0.307692307692308	0.384615384615385
"s6268"	"decrease"	0.25	0.0576923076923077	0.423076923076923
"s6271"	"decrease"	0.423	0.730769230769231	0.692307692307692
"s6273"	"decrease"	0.423	0.730769230769231	0.692307692307692
"s6274"	"decrease"	0.385	0.519230769230769	0.653846153846154
"s6279"	"decrease"	0.327	0.673076923076923	0.557692307692308
"s6280"	"no.change"	0.654	0.538461538461538	0.653846153846154
"s6282"	"increase"	0.673	0.384615384615385	0.480769230769231
"s6284"	"increase"	0.538	0.384615384615385	0.384615384615385
"s6286"	"decrease"	0.269	0.153846153846154	0.442307692307692
"s6287"	"decrease"	0.346	0.5	0.576923076923077
"s6290"	"decrease"	0.25	0.365384615384615	0.423076923076923
"s6291"	"no.change"	0.692	0.634615384615385	0.692307692307692
"s6293"	"no.change"	0.231	0.134615384615385	0.230769230769231
"s6295"	"no.change"	0.5	0.307692307692308	0.5
"s6296"	"no.change"	0.423	0.384615384615385	0.423076923076923
"s6297"	"no.change"	0.288	0.192307692307692	0.288461538461538
"s6298"	"increase"	0.865	0.961538461538462	0.615384615384615
"s6473"	"no.change"	0.481	0.403846153846154	0.480769230769231
"s6474"	"increase"	0.596	0.423076923076923	0.423076923076923
"s6475"	"decrease"	0.327	0.25	0.557692307692308
"s6476"	"decrease"	0.365	0.557692307692308	0.615384615384615
"s6478"	"decrease"	0.327	0.557692307692308	0.538461538461538
"s6479"	"decrease"	0.25	0.442307692307692	0.403846153846154
"s6480"	"no.change"	0.288	0.0576923076923077	0.288461538461538
"s6481"	"no.change"	0.442	0.615384615384615	0.442307692307692
"s6488"	"decrease"	0.365	0.153846153846154	0.615384615384615
"s6489"	"decrease"	0.365	0.384615384615385	0.615384615384615
"s6491"	"no.change"	0.558	0	0.557692307692308
"s6492"	"no.change"	0.25	0.192307692307692	0.25
"s6495"	"decrease"	0.154	0	0.25
"s6497"	"increase"	0.192	0.211538461538462	0.134615384615385
"s6500"	"decrease"	0.288	0.365384615384615	0.480769230769231
"s6503"	"no.change"	0.692	0.788461538461538	0.692307692307692
"s6504"	"decrease"	0.327	0.519230769230769	0.557692307692308
"s6505"	"no.change"	0.154	0	0.153846153846154
"s6508"	"no.change"	0.442	0.365384615384615	0.442307692307692
"s6510"	"increase"	0.288	0.0576923076923077	0.211538461538462
"s6512"	"increase"	0.519	0.365384615384615	0.365384615384615
"s6513"	"increase"	0.404	0.346153846153846	0.288461538461538
"s6514"	"increase"	0.692	0.942307692307692	0.5
"s6515"	"increase"	0.788	0.403846153846154	0.557692307692308
"s6516"	"increase"	0.923	0.865384615384615	0.653846153846154
"s6517"	"increase"	0.885	0.673076923076923	0.634615384615385
"s6519"	"increase"	0.596	0.557692307692308	0.423076923076923
"s6520"	"increase"	0.615	0.461538461538462	0.442307692307692
"s6521"	"increase"	0.808	0.576923076923077	0.576923076923077
"s6522"	"increase"	0.827	0.692307692307692	0.596153846153846
"s6524"	"increase"	0.827	0.538461538461538	0.596153846153846
"s6525"	"increase"	0.788	0.788461538461538	0.557692307692308
"s6528"	"increase"	0.923	0.903846153846154	0.653846153846154
"s6529"	"increase"	0.654	0.0192307692307692	0.461538461538462
"s6531"	"increase"	0.962	0.653846153846154	0.692307692307692
"s6532"	"increase"	0.346	0.115384615384615	0.25
"s6533"	"increase"	0.827	1	0.596153846153846
"s6534"	"increase"	0.615	0.423076923076923	0.442307692307692
"s6535"	"increase"	0.808	0.884615384615385	0.576923076923077
"s6536"	"increase"	0.731	0.192307692307692	0.519230769230769
"s6537"	"increase"	0.923	1	0.653846153846154
"s6538"	"increase"	0.423	0.403846153846154	0.307692307692308
"s6542"	"increase"	0.404	0.442307692307692	0.288461538461538
"s6543"	"increase"	0.885	0.711538461538462	0.634615384615385
"s6544"	"increase"	0.673	0.615384615384615	0.480769230769231
"s6546"	"increase"	0.827	0.653846153846154	0.596153846153846
"s6547"	"increase"	0.538	0.5	0.384615384615385
"s6548"	"increase"	0.75	0.384615384615385	0.538461538461538
"s6549"	"increase"	0.558	0.365384615384615	0.403846153846154
"s6550"	"increase"	0.923	0.923076923076923	0.653846153846154
"s6551"	"increase"	0.75	0.846153846153846	0.538461538461538
"s6552"	"increase"	0.731	0.423076923076923	0.519230769230769
"s6553"	"increase"	0.731	0.461538461538462	0.519230769230769
"s6555"	"increase"	0.923	0.807692307692308	0.653846153846154
"s6556"	"increase"	0.75	0.653846153846154	0.538461538461538
"s6557"	"increase"	0.808	0.884615384615385	0.576923076923077
"s6558"	"increase"	0.885	0.826923076923077	0.634615384615385
"s6561"	"increase"	0.731	0.653846153846154	0.5
"s6562"	"increase"	0.885	0.884615384615385	0.634615384615385
