"subject","gender","age","avatar","avatarIsCat"
"E1729","Female",28,"cat",TRUE
"E1824","Female",28,"cat",TRUE
"A176","Male",28,"cat",TRUE
"A22","Male",28,"cat",TRUE
"A266","Male",28,"cat",TRUE
"A45","Male",28,"cat",TRUE
"B463","Male",28,"cat",TRUE
"B520","Male",28,"cat",TRUE
"B692","Male",28,"cat",TRUE
"C800","Male",28,"cat",TRUE
"C944","Male",28,"cat",TRUE
"E1761","Male",28,"cat",TRUE
"A103","Female",29,"cat",TRUE
"A251","Female",29,"cat",TRUE
"A254","Female",29,"cat",TRUE
"A357","Female",29,"cat",TRUE
"A44","Female",29,"cat",TRUE
"A57","Female",29,"cat",TRUE
"B371","Female",29,"cat",TRUE
"B372","Female",29,"cat",TRUE
"B430","Female",29,"cat",TRUE
"B449","Female",29,"cat",TRUE
"C1081","Female",29,"cat",TRUE
"C842","Female",29,"cat",TRUE
"C973","Female",29,"cat",TRUE
"D1262","Female",29,"cat",TRUE
"D1337","Female",29,"cat",TRUE
"D1362","Female",29,"cat",TRUE
"D1417","Female",29,"cat",TRUE
"D1479","Female",29,"cat",TRUE
"E1584","Female",29,"cat",TRUE
"E1617","Female",29,"cat",TRUE
"E1705","Female",29,"cat",TRUE
"E1826","Female",29,"cat",TRUE
"E1877","Female",29,"cat",TRUE
"A166","Male",29,"cat",TRUE
"A244","Male",29,"cat",TRUE
"A291","Male",29,"cat",TRUE
"A53","Male",29,"cat",TRUE
"B395","Male",29,"cat",TRUE
"D1149","Male",29,"cat",TRUE
"D1513","Male",29,"cat",TRUE
"E1774","Male",29,"cat",TRUE
"E1883","Male",29,"cat",TRUE
"A114","Female",30,"cat",TRUE
"A236","Female",30,"cat",TRUE
"A26","Female",30,"cat",TRUE
"A334","Female",30,"cat",TRUE
"A352","Female",30,"cat",TRUE
"A6","Female",30,"cat",TRUE
"A8","Female",30,"cat",TRUE
"A89","Female",30,"cat",TRUE
"B513","Female",30,"cat",TRUE
"B661","Female",30,"cat",TRUE
"B671","Female",30,"cat",TRUE
"C776","Female",30,"cat",TRUE
"C953","Female",30,"cat",TRUE
"D1452","Female",30,"cat",TRUE
"E1684","Female",30,"cat",TRUE
"E1722","Female",30,"cat",TRUE
"E1750","Female",30,"cat",TRUE
"E1777","Female",30,"cat",TRUE
"E1866","Female",30,"cat",TRUE
"A274","Male",30,"cat",TRUE
"A358","Male",30,"cat",TRUE
"B432","Male",30,"cat",TRUE
"B550","Male",30,"cat",TRUE
"B708","Male",30,"cat",TRUE
"C780","Male",30,"cat",TRUE
"C882","Male",30,"cat",TRUE
"C937","Male",30,"cat",TRUE
"D1196","Male",30,"cat",TRUE
"D1300","Male",30,"cat",TRUE
"E1615","Male",30,"cat",TRUE
"E1881","Male",30,"cat",TRUE
"A199","Female",31,"cat",TRUE
"A243","Female",31,"cat",TRUE
"A273","Female",31,"cat",TRUE
"A369","Female",31,"cat",TRUE
"A56","Female",31,"cat",TRUE
"B506","Female",31,"cat",TRUE
"B562","Female",31,"cat",TRUE
"B587","Female",31,"cat",TRUE
"B606","Female",31,"cat",TRUE
"B753","Female",31,"cat",TRUE
"C1030","Female",31,"cat",TRUE
"C802","Female",31,"cat",TRUE
"C868","Female",31,"cat",TRUE
"D1225","Female",31,"cat",TRUE
"D1334","Female",31,"cat",TRUE
"D1412","Female",31,"cat",TRUE
"E1597","Female",31,"cat",TRUE
"E1732","Female",31,"cat",TRUE
"E1756","Female",31,"cat",TRUE
"E1776","Female",31,"cat",TRUE
"E1806","Female",31,"cat",TRUE
"E1825","Female",31,"cat",TRUE
"E1847","Female",31,"cat",TRUE
"A107","Male",31,"cat",TRUE
"A122","Male",31,"cat",TRUE
"A212","Male",31,"cat",TRUE
"A256","Male",31,"cat",TRUE
"A315","Male",31,"cat",TRUE
"A92","Male",31,"cat",TRUE
"B541","Male",31,"cat",TRUE
"B715","Male",31,"cat",TRUE
"D1484","Male",31,"cat",TRUE
"A148","Female",32,"cat",TRUE
"A3","Female",32,"cat",TRUE
"A370","Female",32,"cat",TRUE
"B454","Female",32,"cat",TRUE
"B549","Female",32,"cat",TRUE
"B614","Female",32,"cat",TRUE
"B617","Female",32,"cat",TRUE
"B685","Female",32,"cat",TRUE
"B724","Female",32,"cat",TRUE
"C919","Female",32,"cat",TRUE
"C972","Female",32,"cat",TRUE
"C982","Female",32,"cat",TRUE
"D1166","Female",32,"cat",TRUE
"D1177","Female",32,"cat",TRUE
"D1189","Female",32,"cat",TRUE
"D1204","Female",32,"cat",TRUE
"D1228","Female",32,"cat",TRUE
"D1283","Female",32,"cat",TRUE
"D1338","Female",32,"cat",TRUE
"D1340","Female",32,"cat",TRUE
"D1354","Female",32,"cat",TRUE
"D1387","Female",32,"cat",TRUE
"E1637","Female",32,"cat",TRUE
"E1726","Female",32,"cat",TRUE
"E1855","Female",32,"cat",TRUE
"E1870","Female",32,"cat",TRUE
"A137","Male",32,"cat",TRUE
"A170","Male",32,"cat",TRUE
"A174","Male",32,"cat",TRUE
"A40","Male",32,"cat",TRUE
"A70","Male",32,"cat",TRUE
"B427","Male",32,"cat",TRUE
"B646","Male",32,"cat",TRUE
"B660","Male",32,"cat",TRUE
"C1075","Male",32,"cat",TRUE
"C1130","Male",32,"cat",TRUE
"C755","Male",32,"cat",TRUE
"C854","Male",32,"cat",TRUE
"C978","Male",32,"cat",TRUE
"D1439","Male",32,"cat",TRUE
"D1453","Male",32,"cat",TRUE
"E1763","Male",32,"cat",TRUE
"A108","Female",33,"cat",TRUE
"A226","Female",33,"cat",TRUE
"A233","Female",33,"cat",TRUE
"A257","Female",33,"cat",TRUE
"A348","Female",33,"cat",TRUE
"B419","Female",33,"cat",TRUE
"B485","Female",33,"cat",TRUE
"B540","Female",33,"cat",TRUE
"B582","Female",33,"cat",TRUE
"B622","Female",33,"cat",TRUE
"C830","Female",33,"cat",TRUE
"C886","Female",33,"cat",TRUE
"C929","Female",33,"cat",TRUE
"C931","Female",33,"cat",TRUE
"C945","Female",33,"cat",TRUE
"C977","Female",33,"cat",TRUE
"D1247","Female",33,"cat",TRUE
"D1254","Female",33,"cat",TRUE
"D1270","Female",33,"cat",TRUE
"D1309","Female",33,"cat",TRUE
"E1541","Female",33,"cat",TRUE
"E1619","Female",33,"cat",TRUE
"E1797","Female",33,"cat",TRUE
"B386","Male",33,"cat",TRUE
"B462","Male",33,"cat",TRUE
"B567","Male",33,"cat",TRUE
"B588","Male",33,"cat",TRUE
"B607","Male",33,"cat",TRUE
"C1096","Male",33,"cat",TRUE
"C1115","Male",33,"cat",TRUE
