"participant","conformed","peerCondition","variableItem","item","trialNumber","trialInBlock"
"s135",TRUE,"humans","VAR","wet",2,2
"s135",TRUE,"humans","VAR","learn",3,3
"s135",TRUE,"humans","VAR","thrive",4,4
"s135",FALSE,"humans","VAR","lean",5,5
"s135",FALSE,"humans","VAR","spring",6,6
"s135",TRUE,"humans","VAR","bust",7,7
"s135",TRUE,"humans","VAR","spell",8,8
"s135",TRUE,"humans","VAR","weave",9,9
"s135",TRUE,"humans","VAR","dream",10,10
"s135",FALSE,"humans","VAR","shrink",11,11
"s135",FALSE,"humans","VAR","spit",12,12
"s135",TRUE,"humans","VAR","spoil",13,13
"s135",TRUE,"humans","VAR","drive",14,14
"s135",FALSE,"humans","VAR","leap",15,15
"s135",FALSE,"humans","INVAR","lose",16,1
"s135",FALSE,"humans","INVAR","keep",17,2
"s135",FALSE,"humans","INVAR","stand",18,3
"s135",FALSE,"humans","INVAR","write",19,4
"s135",FALSE,"humans","INVAR","read",20,5
"s135",FALSE,"humans","INVAR","bring",21,6
"s135",FALSE,"humans","INVAR","sit",22,7
"s135",FALSE,"humans","INVAR","hear",23,8
"s135",FALSE,"humans","INVAR","hold",24,9
"s135",FALSE,"humans","INVAR","hit",25,10
"s135",FALSE,"humans","INVAR","leave",26,11
"s135",FALSE,"humans","INVAR","feel",27,12
"s135",FALSE,"humans","INVAR","find",28,13
"s135",FALSE,"humans","INVAR","give",29,14
"s135",FALSE,"humans","INVAR","put",30,15
"s136",TRUE,"humans","VAR","thrive",1,1
"s136",TRUE,"humans","VAR","learn",2,2
"s136",FALSE,"humans","VAR","wet",3,3
"s136",TRUE,"humans","VAR","lean",4,4
"s136",FALSE,"humans","VAR","ring",5,5
"s136",TRUE,"humans","VAR","weave",6,6
"s136",TRUE,"humans","VAR","spell",7,7
"s136",TRUE,"humans","VAR","bust",8,8
"s136",FALSE,"humans","VAR","dream",9,9
"s136",FALSE,"humans","VAR","spring",10,10
"s136",TRUE,"humans","VAR","drive",11,11
"s136",TRUE,"humans","VAR","spoil",12,12
"s136",TRUE,"humans","VAR","spit",13,13
"s136",FALSE,"humans","VAR","leap",14,14
"s136",FALSE,"humans","VAR","shrink",15,15
"s136",TRUE,"humans","INVAR","stand",16,1
"s136",FALSE,"humans","INVAR","keep",17,2
"s136",FALSE,"humans","INVAR","lose",18,3
"s136",FALSE,"humans","INVAR","write",19,4
"s136",FALSE,"humans","INVAR","read",20,5
"s136",FALSE,"humans","INVAR","hear",21,6
"s136",FALSE,"humans","INVAR","sit",22,7
"s136",FALSE,"humans","INVAR","bring",23,8
"s136",FALSE,"humans","INVAR","hold",24,9
"s136",FALSE,"humans","INVAR","hit",25,10
"s136",TRUE,"humans","INVAR","find",26,11
"s136",TRUE,"humans","INVAR","feel",27,12
"s136",TRUE,"humans","INVAR","leave",28,13
"s136",FALSE,"humans","INVAR","give",29,14
"s136",FALSE,"humans","INVAR","put",30,15
"s137",TRUE,"humans","VAR","wet",1,1
"s137",FALSE,"humans","VAR","learn",2,2
"s137",TRUE,"humans","VAR","thrive",3,3
"s137",TRUE,"humans","VAR","lean",4,4
"s137",TRUE,"humans","VAR","ring",5,5
"s137",TRUE,"humans","VAR","bust",6,6
"s137",TRUE,"humans","VAR","spell",7,7
"s137",TRUE,"humans","VAR","weave",8,8
"s137",TRUE,"humans","VAR","dream",9,9
"s137",TRUE,"humans","VAR","spring",10,10
"s137",TRUE,"humans","VAR","spit",11,11
"s137",TRUE,"humans","VAR","spoil",12,12
"s137",TRUE,"humans","VAR","drive",13,13
"s137",TRUE,"humans","VAR","leap",14,14
"s137",TRUE,"humans","VAR","shrink",15,15
"s137",TRUE,"humans","INVAR","lose",16,1
"s137",FALSE,"humans","INVAR","keep",17,2
"s137",TRUE,"humans","INVAR","stand",18,3
"s137",TRUE,"humans","INVAR","write",19,4
"s137",TRUE,"humans","INVAR","read",20,5
"s137",TRUE,"humans","INVAR","bring",21,6
"s137",TRUE,"humans","INVAR","sit",22,7
"s137",TRUE,"humans","INVAR","hear",23,8
"s137",TRUE,"humans","INVAR","hold",24,9
"s137",TRUE,"humans","INVAR","hit",25,10
"s137",TRUE,"humans","INVAR","leave",26,11
"s137",TRUE,"humans","INVAR","feel",27,12
"s137",TRUE,"humans","INVAR","find",28,13
"s137",TRUE,"humans","INVAR","give",29,14
"s137",TRUE,"humans","INVAR","put",30,15
"s138",TRUE,"humans","VAR","wet",1,1
"s138",TRUE,"humans","VAR","learn",2,2
"s138",TRUE,"humans","VAR","thrive",3,3
"s138",TRUE,"humans","VAR","ring",4,4
"s138",TRUE,"humans","VAR","lean",5,5
"s138",TRUE,"humans","VAR","bust",6,6
"s138",TRUE,"humans","VAR","spell",7,7
"s138",TRUE,"humans","VAR","weave",8,8
"s138",FALSE,"humans","VAR","spring",9,9
"s138",TRUE,"humans","VAR","dream",10,10
"s138",NA,"humans","VAR","spit",11,11
"s138",TRUE,"humans","VAR","spoil",12,12
"s138",FALSE,"humans","VAR","drive",13,13
"s138",TRUE,"humans","VAR","shrink",14,14
"s138",TRUE,"humans","VAR","leap",15,15
"s138",FALSE,"humans","INVAR","stand",16,1
"s138",FALSE,"humans","INVAR","read",17,2
"s138",FALSE,"humans","INVAR","write",18,3
"s138",FALSE,"humans","INVAR","keep",19,4
"s138",FALSE,"humans","INVAR","lose",20,5
"s138",FALSE,"humans","INVAR","hear",21,6
"s138",TRUE,"humans","INVAR","hit",22,7
"s138",FALSE,"humans","INVAR","hold",23,8
"s138",FALSE,"humans","INVAR","sit",24,9
"s138",FALSE,"humans","INVAR","bring",25,10
"s138",NA,"humans","INVAR","find",26,11
"s138",TRUE,"humans","INVAR","put",27,12
"s138",FALSE,"humans","INVAR","give",28,13
"s138",FALSE,"humans","INVAR","feel",29,14
"s138",FALSE,"humans","INVAR","leave",30,15
"s139",TRUE,"humans","VAR","wet",1,1
"s139",FALSE,"humans","VAR","ring",2,2
"s139",TRUE,"humans","VAR","lean",3,3
"s139",TRUE,"humans","VAR","learn",4,4
"s139",TRUE,"humans","VAR","thrive",5,5
"s139",TRUE,"humans","VAR","bust",6,6
"s139",FALSE,"humans","VAR","spring",7,7
"s139",TRUE,"humans","VAR","dream",8,8
"s139",FALSE,"humans","VAR","spell",9,9
"s139",TRUE,"humans","VAR","weave",10,10
"s139",FALSE,"humans","VAR","spit",11,11
"s139",FALSE,"humans","VAR","shrink",12,12
"s139",FALSE,"humans","VAR","leap",13,13
"s139",FALSE,"humans","VAR","spoil",14,14
"s139",FALSE,"humans","VAR","drive",15,15
"s139",FALSE,"humans","INVAR","lose",16,1
"s139",FALSE,"humans","INVAR","write",17,2
"s139",FALSE,"humans","INVAR","keep",18,3
"s139",FALSE,"humans","INVAR","stand",19,4
"s139",FALSE,"humans","INVAR","read",20,5
"s139",FALSE,"humans","INVAR","bring",21,6
"s139",FALSE,"humans","INVAR","hold",22,7
"s139",FALSE,"humans","INVAR","sit",23,8
"s139",FALSE,"humans","INVAR","hear",24,9
"s139",FALSE,"humans","INVAR","hit",25,10
"s139",FALSE,"humans","INVAR","leave",26,11
"s139",FALSE,"humans","INVAR","give",27,12
"s139",FALSE,"humans","INVAR","feel",28,13
"s139",FALSE,"humans","INVAR","find",29,14
"s139",FALSE,"humans","INVAR","put",30,15
"s140",FALSE,"humans","VAR","lean",1,1
"s140",FALSE,"humans","VAR","learn",2,2
"s140",TRUE,"humans","VAR","thrive",3,3
"s140",FALSE,"humans","VAR","wet",4,4
"s140",FALSE,"humans","VAR","ring",5,5
"s140",FALSE,"humans","VAR","dream",6,6
"s140",FALSE,"humans","VAR","spell",7,7
"s140",TRUE,"humans","VAR","weave",8,8
"s140",TRUE,"humans","VAR","bust",9,9
"s140",TRUE,"humans","VAR","spring",10,10
"s140",TRUE,"humans","VAR","leap",11,11
"s140",TRUE,"humans","VAR","spoil",12,12
"s140",FALSE,"humans","VAR","drive",13,13
"s140",FALSE,"humans","VAR","spit",14,14
"s140",TRUE,"humans","VAR","shrink",15,15
"s140",FALSE,"humans","INVAR","stand",16,1
"s140",FALSE,"humans","INVAR","lose",17,2
"s140",FALSE,"humans","INVAR","read",18,3
"s140",FALSE,"humans","INVAR","write",19,4
"s140",FALSE,"humans","INVAR","keep",20,5
"s140",FALSE,"humans","INVAR","hear",21,6
"s140",FALSE,"humans","INVAR","bring",22,7
"s140",TRUE,"humans","INVAR","hit",23,8
"s140",TRUE,"humans","INVAR","hold",24,9
"s140",TRUE,"humans","INVAR","sit",25,10
"s140",TRUE,"humans","INVAR","find",26,11
"s140",FALSE,"humans","INVAR","leave",27,12
"s140",FALSE,"humans","INVAR","put",28,13
"s140",FALSE,"humans","INVAR","give",29,14
"s140",FALSE,"humans","INVAR","feel",30,15
"s141",TRUE,"humans","VAR","learn",1,1
"s141",FALSE,"humans","VAR","ring",2,2
"s141",FALSE,"humans","VAR","lean",3,3
"s141",TRUE,"humans","VAR","wet",4,4
"s141",TRUE,"humans","VAR","thrive",5,5
"s141",FALSE,"humans","VAR","spell",6,6
"s141",FALSE,"humans","VAR","spring",7,7
"s141",FALSE,"humans","VAR","dream",8,8
"s141",TRUE,"humans","VAR","bust",9,9
"s141",FALSE,"humans","VAR","weave",10,10
"s141",TRUE,"humans","VAR","spoil",11,11
"s141",FALSE,"humans","VAR","shrink",12,12
"s141",TRUE,"humans","VAR","leap",13,13
"s141",TRUE,"humans","VAR","spit",14,14
"s141",FALSE,"humans","VAR","drive",15,15
"s141",FALSE,"humans","INVAR","keep",16,1
"s141",FALSE,"humans","INVAR","write",17,2
"s141",FALSE,"humans","INVAR","stand",18,3
"s141",FALSE,"humans","INVAR","lose",19,4
"s141",FALSE,"humans","INVAR","read",20,5
"s141",FALSE,"humans","INVAR","sit",21,6
"s141",FALSE,"humans","INVAR","hold",22,7
"s141",FALSE,"humans","INVAR","hear",23,8
"s141",FALSE,"humans","INVAR","bring",24,9
"s141",FALSE,"humans","INVAR","hit",25,10
"s141",FALSE,"humans","INVAR","feel",26,11
"s141",FALSE,"humans","INVAR","give",27,12
"s141",FALSE,"humans","INVAR","find",28,13
"s141",FALSE,"humans","INVAR","leave",29,14
"s141",FALSE,"humans","INVAR","put",30,15
"s142",FALSE,"humans","VAR","ring",1,1
"s142",TRUE,"humans","VAR","thrive",2,2
"s142",TRUE,"humans","VAR","wet",3,3
"s142",FALSE,"humans","VAR","learn",4,4
"s142",FALSE,"humans","VAR","lean",5,5
"s142",FALSE,"humans","VAR","spring",6,6
"s142",TRUE,"humans","VAR","weave",7,7
"s142",TRUE,"humans","VAR","bust",8,8
"s142",FALSE,"humans","VAR","spell",9,9
"s142",FALSE,"humans","VAR","dream",10,10
"s142",FALSE,"humans","VAR","shrink",11,11
"s142",FALSE,"humans","VAR","drive",12,12
"s142",FALSE,"humans","VAR","spit",13,13
"s142",FALSE,"humans","VAR","spoil",14,14
"s142",FALSE,"humans","VAR","leap",15,15
"s142",FALSE,"humans","INVAR","stand",16,1
"s142",FALSE,"humans","INVAR","lose",17,2
"s142",FALSE,"humans","INVAR","keep",18,3
"s142",FALSE,"humans","INVAR","read",19,4
"s142",FALSE,"humans","INVAR","write",20,5
"s142",FALSE,"humans","INVAR","hear",21,6
"s142",FALSE,"humans","INVAR","bring",22,7
"s142",FALSE,"humans","INVAR","sit",23,8
"s142",TRUE,"humans","INVAR","hit",24,9
"s142",FALSE,"humans","INVAR","hold",25,10
"s142",FALSE,"humans","INVAR","find",26,11
"s142",FALSE,"humans","INVAR","leave",27,12
"s142",FALSE,"humans","INVAR","feel",28,13
"s142",FALSE,"humans","INVAR","put",29,14
"s142",FALSE,"humans","INVAR","give",30,15
"s144",TRUE,"humans","VAR","thrive",1,1
"s144",TRUE,"humans","VAR","ring",2,2
"s144",TRUE,"humans","VAR","wet",3,3
"s144",TRUE,"humans","VAR","learn",4,4
"s144",TRUE,"humans","VAR","lean",5,5
"s144",TRUE,"humans","VAR","weave",6,6
"s144",TRUE,"humans","VAR","spring",7,7
"s144",TRUE,"humans","VAR","bust",8,8
"s144",TRUE,"humans","VAR","spell",9,9
"s144",TRUE,"humans","VAR","dream",10,10
"s144",TRUE,"humans","VAR","drive",11,11
"s144",TRUE,"humans","VAR","shrink",12,12
"s144",TRUE,"humans","VAR","spit",13,13
"s144",TRUE,"humans","VAR","spoil",14,14
"s144",TRUE,"humans","VAR","leap",15,15
"s144",TRUE,"humans","INVAR","read",16,1
"s144",TRUE,"humans","INVAR","keep",17,2
"s144",TRUE,"humans","INVAR","lose",18,3
"s144",TRUE,"humans","INVAR","write",19,4
"s144",TRUE,"humans","INVAR","stand",20,5
"s144",TRUE,"humans","INVAR","hit",21,6
"s144",TRUE,"humans","INVAR","sit",22,7
"s144",TRUE,"humans","INVAR","bring",23,8
"s144",TRUE,"humans","INVAR","hold",24,9
"s144",FALSE,"humans","INVAR","hear",25,10
"s144",TRUE,"humans","INVAR","put",26,11
"s144",FALSE,"humans","INVAR","feel",27,12
"s144",TRUE,"humans","INVAR","leave",28,13
"s144",TRUE,"humans","INVAR","give",29,14
"s144",TRUE,"humans","INVAR","find",30,15
"s145",FALSE,"humans","VAR","ring",1,1
"s145",TRUE,"humans","VAR","thrive",2,2
"s145",FALSE,"humans","VAR","wet",3,3
"s145",TRUE,"humans","VAR","learn",4,4
"s145",FALSE,"humans","VAR","lean",5,5
"s145",FALSE,"humans","VAR","spring",6,6
"s145",FALSE,"humans","VAR","weave",7,7
"s145",FALSE,"humans","VAR","bust",8,8
"s145",TRUE,"humans","VAR","spell",9,9
"s145",FALSE,"humans","VAR","dream",10,10
"s145",FALSE,"humans","VAR","shrink",11,11
"s145",FALSE,"humans","VAR","drive",12,12
"s145",FALSE,"humans","VAR","spit",13,13
"s145",TRUE,"humans","VAR","spoil",14,14
"s145",FALSE,"humans","VAR","leap",15,15
"s145",FALSE,"humans","INVAR","stand",16,1
"s145",FALSE,"humans","INVAR","write",17,2
"s145",FALSE,"humans","INVAR","lose",18,3
"s145",FALSE,"humans","INVAR","read",19,4
"s145",FALSE,"humans","INVAR","keep",20,5
"s145",FALSE,"humans","INVAR","hear",21,6
"s145",TRUE,"humans","INVAR","hold",22,7
"s145",FALSE,"humans","INVAR","bring",23,8
"s145",FALSE,"humans","INVAR","hit",24,9
"s145",FALSE,"humans","INVAR","sit",25,10
"s145",FALSE,"humans","INVAR","find",26,11
"s145",FALSE,"humans","INVAR","give",27,12
"s145",FALSE,"humans","INVAR","leave",28,13
"s145",FALSE,"humans","INVAR","put",29,14
"s145",FALSE,"humans","INVAR","feel",30,15
"s146",TRUE,"humans","VAR","thrive",1,1
"s146",TRUE,"humans","VAR","ring",2,2
"s146",TRUE,"humans","VAR","lean",3,3
"s146",TRUE,"humans","VAR","wet",4,4
"s146",FALSE,"humans","VAR","learn",5,5
"s146",TRUE,"humans","VAR","weave",6,6
"s146",TRUE,"humans","VAR","spring",7,7
"s146",TRUE,"humans","VAR","dream",8,8
"s146",TRUE,"humans","VAR","bust",9,9
"s146",FALSE,"humans","VAR","spell",10,10
"s146",TRUE,"humans","VAR","drive",11,11
"s146",TRUE,"humans","VAR","shrink",12,12
"s146",TRUE,"humans","VAR","leap",13,13
"s146",TRUE,"humans","VAR","spit",14,14
"s146",TRUE,"humans","VAR","spoil",15,15
"s146",FALSE,"humans","INVAR","stand",16,1
"s146",FALSE,"humans","INVAR","keep",17,2
"s146",FALSE,"humans","INVAR","read",18,3
"s146",FALSE,"humans","INVAR","write",19,4
"s146",TRUE,"humans","INVAR","lose",20,5
"s146",FALSE,"humans","INVAR","hear",21,6
"s146",TRUE,"humans","INVAR","sit",22,7
"s146",TRUE,"humans","INVAR","hit",23,8
"s146",FALSE,"humans","INVAR","hold",24,9
"s146",TRUE,"humans","INVAR","bring",25,10
"s146",TRUE,"humans","INVAR","find",26,11
"s146",TRUE,"humans","INVAR","feel",27,12
"s146",TRUE,"humans","INVAR","put",28,13
"s146",TRUE,"humans","INVAR","give",29,14
"s146",TRUE,"humans","INVAR","leave",30,15
"s147",TRUE,"humans","VAR","thrive",1,1
"s147",FALSE,"humans","VAR","ring",2,2
"s147",TRUE,"humans","VAR","wet",3,3
"s147",TRUE,"humans","VAR","lean",4,4
"s147",TRUE,"humans","VAR","learn",5,5
"s147",TRUE,"humans","VAR","weave",6,6
"s147",TRUE,"humans","VAR","spring",7,7
"s147",TRUE,"humans","VAR","bust",8,8
"s147",TRUE,"humans","VAR","dream",9,9
"s147",TRUE,"humans","VAR","spell",10,10
"s147",FALSE,"humans","VAR","drive",11,11
"s147",TRUE,"humans","VAR","shrink",12,12
"s147",TRUE,"humans","VAR","spit",13,13
"s147",TRUE,"humans","VAR","leap",14,14
"s147",TRUE,"humans","VAR","spoil",15,15
"s147",FALSE,"humans","INVAR","keep",16,1
"s147",FALSE,"humans","INVAR","write",17,2
"s147",FALSE,"humans","INVAR","lose",18,3
"s147",FALSE,"humans","INVAR","stand",19,4
"s147",FALSE,"humans","INVAR","read",20,5
"s147",FALSE,"humans","INVAR","sit",21,6
"s147",TRUE,"humans","INVAR","hold",22,7
"s147",FALSE,"humans","INVAR","bring",23,8
"s147",FALSE,"humans","INVAR","hear",24,9
"s147",TRUE,"humans","INVAR","hit",25,10
"s147",FALSE,"humans","INVAR","feel",26,11
"s147",TRUE,"humans","INVAR","give",27,12
"s147",FALSE,"humans","INVAR","leave",28,13
"s147",TRUE,"humans","INVAR","find",29,14
"s147",TRUE,"humans","INVAR","put",30,15
"s148",TRUE,"humans","VAR","lean",1,1
"s148",TRUE,"humans","VAR","thrive",2,2
"s148",FALSE,"humans","VAR","ring",3,3
"s148",TRUE,"humans","VAR","wet",4,4
"s148",TRUE,"humans","VAR","learn",5,5
"s148",TRUE,"humans","VAR","dream",6,6
"s148",FALSE,"humans","VAR","weave",7,7
"s148",FALSE,"humans","VAR","spring",8,8
"s148",TRUE,"humans","VAR","bust",9,9
"s148",TRUE,"humans","VAR","spell",10,10
"s148",TRUE,"humans","VAR","leap",11,11
"s148",FALSE,"humans","VAR","drive",12,12
"s148",FALSE,"humans","VAR","shrink",13,13
"s148",TRUE,"humans","VAR","spit",14,14
"s148",TRUE,"humans","VAR","spoil",15,15
"s148",FALSE,"humans","INVAR","lose",16,1
"s148",TRUE,"humans","INVAR","keep",17,2
"s148",FALSE,"humans","INVAR","read",18,3
"s148",FALSE,"humans","INVAR","write",19,4
"s148",FALSE,"humans","INVAR","stand",20,5
"s148",FALSE,"humans","INVAR","bring",21,6
"s148",FALSE,"humans","INVAR","sit",22,7
"s148",TRUE,"humans","INVAR","hit",23,8
"s148",TRUE,"humans","INVAR","hold",24,9
"s148",FALSE,"humans","INVAR","hear",25,10
"s148",FALSE,"humans","INVAR","leave",26,11
"s148",FALSE,"humans","INVAR","feel",27,12
"s148",TRUE,"humans","INVAR","put",28,13
"s148",TRUE,"humans","INVAR","give",29,14
"s148",TRUE,"humans","INVAR","find",30,15
"s149",TRUE,"humans","VAR","thrive",1,1
"s149",FALSE,"humans","VAR","learn",2,2
"s149",TRUE,"humans","VAR","wet",3,3
"s149",FALSE,"humans","VAR","ring",4,4
"s149",TRUE,"humans","VAR","lean",5,5
"s149",TRUE,"humans","VAR","weave",6,6
"s149",FALSE,"humans","VAR","spell",7,7
"s149",TRUE,"humans","VAR","bust",8,8
"s149",FALSE,"humans","VAR","spring",9,9
"s149",FALSE,"humans","VAR","dream",10,10
"s149",TRUE,"humans","VAR","drive",11,11
"s149",FALSE,"humans","VAR","spoil",12,12
"s149",TRUE,"humans","VAR","spit",13,13
"s149",FALSE,"humans","VAR","shrink",14,14
"s149",FALSE,"humans","VAR","leap",15,15
"s149",TRUE,"humans","INVAR","stand",16,1
"s149",FALSE,"humans","INVAR","keep",17,2
"s149",FALSE,"humans","INVAR","write",18,3
"s149",FALSE,"humans","INVAR","read",19,4
"s149",FALSE,"humans","INVAR","lose",20,5
"s149",FALSE,"humans","INVAR","hear",21,6
"s149",FALSE,"humans","INVAR","sit",22,7
"s149",FALSE,"humans","INVAR","hold",23,8
"s149",FALSE,"humans","INVAR","hit",24,9
"s149",FALSE,"humans","INVAR","bring",25,10
"s149",NA,"humans","INVAR","find",26,11
"s149",FALSE,"humans","INVAR","feel",27,12
"s149",FALSE,"humans","INVAR","give",28,13
"s149",FALSE,"humans","INVAR","put",29,14
