"participant","trialNumber","cue","correct","inTraining","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","partic.gender","phase","partic.age"
"s1000",47,"spatial",FALSE,TRUE,"rultol","female_side","bear_large_male","rul","bear_dimin","rultas","rultol","rultas","Female","test",24
"s1000",48,"spatial",TRUE,FALSE,"fentas","female","candleholder_large","fen","candleholder_dimin","fentas","fentol","fentas","Female","test",24
"s1001",1,"spatial",FALSE,TRUE,"pelfen","female","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelrul","Female","test",25
"s1001",2,"spatial",FALSE,FALSE,"wukfen","male","mushroom_large","wuk","mushroom_dimin","wukfen","wukrul","wukrul","Female","test",25
"s1001",3,"spatial",TRUE,FALSE,"wukrul","male_side","mushroom_large","wuk","mushroom_dimin","wukfen","wukrul","wukrul","Female","test",25
"s1001",4,"spatial",TRUE,FALSE,"tasfen","male","fox_large_male","tas","fox_dimin","tasfen","tasrul","tasfen","Female","test",25
"s1001",5,"spatial",TRUE,FALSE,"rilrul","female_side","chair_large","ril","chair_dimin","rilfen","rilrul","rilrul","Female","test",25
"s1001",6,"spatial",TRUE,FALSE,"wukrul","female_side","mushroom_large","wuk","mushroom_dimin","wukfen","wukrul","wukrul","Female","test",25
"s1001",7,"spatial",FALSE,FALSE,"rilfen","female","chair_large","ril","chair_dimin","rilfen","rilrul","rilrul","Female","test",25
"s1001",8,"spatial",TRUE,TRUE,"tolrul","male_side","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolrul","Female","test",25
"s1001",9,"spatial",FALSE,FALSE,"tasrul","female_side","fox_large_male","tas","fox_dimin","tasfen","tasrul","tasfen","Female","test",25
"s1001",10,"spatial",TRUE,FALSE,"fisrul","male_side","bokchoy_large","fis","bokchoy_dimin","fisfen","fisrul","fisrul","Female","test",25
"s1001",11,"spatial",TRUE,FALSE,"fisrul","female_side","bokchoy_large","fis","bokchoy_dimin","fisfen","fisrul","fisrul","Female","test",25
"s1001",12,"spatial",TRUE,TRUE,"tosrul","male_side","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosrul","Female","test",25
"s1001",13,"spatial",FALSE,TRUE,"falrul","male_side","gate_large","fal","gate_dimin","falfen","falrul","falfen","Female","test",25
"s1001",14,"spatial",FALSE,TRUE,"wunfen","female","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","test",25
"s1001",15,"spatial",FALSE,FALSE,"fisfen","male","bokchoy_large","fis","bokchoy_dimin","fisfen","fisrul","fisrul","Female","test",25
"s1001",16,"spatial",FALSE,TRUE,"wunfen","male","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female","test",25
"s1001",17,"spatial",TRUE,TRUE,"tosfen","male","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female","test",25
"s1001",18,"spatial",TRUE,TRUE,"fekrul","female_side","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekrul","Female","test",25
"s1001",19,"spatial",FALSE,FALSE,"rikfen","female","bear_large_male","rik","bear_dimin","rikfen","rikrul","rikrul","Female","test",25
"s1001",20,"spatial",TRUE,TRUE,"falrul","female_side","gate_large","fal","gate_dimin","falfen","falrul","falrul","Female","test",25
"s1001",21,"spatial",FALSE,TRUE,"tosrul","female_side","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female","test",25
"s1001",22,"spatial",TRUE,FALSE,"wukfen","female","mushroom_large","wuk","mushroom_dimin","wukfen","wukrul","wukfen","Female","test",25
"s1001",23,"spatial",FALSE,TRUE,"fekrul","male_side","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female","test",25
"s1001",24,"spatial",TRUE,FALSE,"rikfen","male","bear_large_male","rik","bear_dimin","rikfen","rikrul","rikfen","Female","test",25
"s1001",25,"spatial",FALSE,FALSE,"wanrul","female_side","fox_large_male","wan","fox_dimin","wanfen","wanrul","wanfen","Female","test",25
"s1001",26,"spatial",TRUE,TRUE,"tosfen","female","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female","test",25
"s1001",27,"spatial",FALSE,TRUE,"tolfen","male","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolrul","Female","test",25
"s1001",28,"spatial",TRUE,TRUE,"pelfen","male","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelfen","Female","test",25
"s1001",29,"spatial",TRUE,FALSE,"rilrul","male_side","chair_large","ril","chair_dimin","rilfen","rilrul","rilrul","Female","test",25
"s1001",30,"spatial",TRUE,TRUE,"fekfen","female","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female","test",25
"s1001",31,"spatial",TRUE,TRUE,"pelrul","male_side","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelrul","Female","test",25
"s1001",32,"spatial",TRUE,FALSE,"rikrul","female_side","bear_large_male","rik","bear_dimin","rikfen","rikrul","rikrul","Female","test",25
"s1001",33,"spatial",TRUE,FALSE,"tasfen","female","fox_large_male","tas","fox_dimin","tasfen","tasrul","tasfen","Female","test",25
"s1001",34,"spatial",TRUE,TRUE,"falfen","female","gate_large","fal","gate_dimin","falfen","falrul","falfen","Female","test",25
"s1001",35,"spatial",TRUE,FALSE,"rilfen","male","chair_large","ril","chair_dimin","rilfen","rilrul","rilfen","Female","test",25
"s1001",36,"spatial",TRUE,TRUE,"fekfen","male","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female","test",25
"s1001",37,"spatial",TRUE,FALSE,"fisfen","female","bokchoy_large","fis","bokchoy_dimin","fisfen","fisrul","fisfen","Female","test",25
"s1001",38,"spatial",TRUE,TRUE,"tolrul","female_side","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolrul","Female","test",25
"s1001",39,"spatial",FALSE,FALSE,"tasrul","male_side","fox_large_male","tas","fox_dimin","tasfen","tasrul","tasfen","Female","test",25
"s1001",40,"spatial",FALSE,FALSE,"wanrul","male_side","fox_large_male","wan","fox_dimin","wanfen","wanrul","wanfen","Female","test",25
