"participant"	"phase"	"partnerRegCondition"	"partnerRegRate"	"posttest.reg"	"pretest.reg"
"s6173"	"posttest"	"decrease"	0.327	0.480769230769231	0.538461538461538
"s6176"	"posttest"	"decrease"	0.385	0.653846153846154	0.634615384615385
"s6177"	"posttest"	"decrease"	0.423	0.634615384615385	0.692307692307692
"s6179"	"posttest"	"decrease"	0.327	0.519230769230769	0.538461538461538
"s6180"	"posttest"	"decrease"	0.365	0.615384615384615	0.596153846153846
"s6181"	"posttest"	"increase"	0.385	0.153846153846154	0.269230769230769
"s6182"	"posttest"	"decrease"	0.096	0.0192307692307692	0.153846153846154
"s6183"	"posttest"	"increase"	0.788	0.75	0.557692307692308
"s6184"	"posttest"	"decrease"	0.269	0.461538461538462	0.442307692307692
"s6185"	"posttest"	"decrease"	0.288	0.673076923076923	0.480769230769231
"s6186"	"posttest"	"decrease"	0.365	0.307692307692308	0.615384615384615
"s6189"	"posttest"	"decrease"	0.135	0.0192307692307692	0.230769230769231
"s6190"	"posttest"	"no.change"	0.404	0.307692307692308	0.403846153846154
"s6191"	"posttest"	"increase"	0.923	0.634615384615385	0.653846153846154
"s6192"	"posttest"	"increase"	0.75	0.307692307692308	0.538461538461538
"s6194"	"posttest"	"increase"	0.942	0.826923076923077	0.673076923076923
"s6195"	"posttest"	"no.change"	0.519	1	0.519230769230769
"s6197"	"posttest"	"no.change"	0.692	0.846153846153846	0.692307692307692
"s6200"	"posttest"	"increase"	0.885	1	0.634615384615385
"s6204"	"posttest"	"decrease"	0.385	0.442307692307692	0.653846153846154
"s6205"	"posttest"	"decrease"	0.25	0.615384615384615	0.403846153846154
"s6207"	"posttest"	"decrease"	0.212	0.480769230769231	0.365384615384615
"s6208"	"posttest"	"no.change"	0.462	0.519230769230769	0.461538461538462
"s6209"	"posttest"	"no.change"	0.385	0.538461538461538	0.384615384615385
"s6210"	"posttest"	"no.change"	0.404	0.673076923076923	0.403846153846154
"s6211"	"posttest"	"no.change"	0.346	0.442307692307692	0.346153846153846
"s6218"	"posttest"	"increase"	0.808	0.673076923076923	0.576923076923077
"s6219"	"posttest"	"increase"	0.923	0.596153846153846	0.653846153846154
"s6221"	"posttest"	"increase"	0.385	0.288461538461538	0.269230769230769
"s6222"	"posttest"	"decrease"	0.308	0.442307692307692	0.5
"s6223"	"posttest"	"decrease"	0.423	0.769230769230769	0.692307692307692
"s6225"	"posttest"	"decrease"	0.327	0.269230769230769	0.557692307692308
"s6227"	"posttest"	"no.change"	0.327	0.423076923076923	0.326923076923077
"s6228"	"posttest"	"decrease"	0.423	0.538461538461538	0.692307692307692
"s6231"	"posttest"	"no.change"	0.577	0.538461538461538	0.576923076923077
"s6232"	"posttest"	"no.change"	0.673	0.615384615384615	0.673076923076923
"s6233"	"posttest"	"no.change"	0.404	0.115384615384615	0.403846153846154
"s6235"	"posttest"	"no.change"	0.442	0.211538461538462	0.442307692307692
"s6236"	"posttest"	"no.change"	0.442	0	0.442307692307692
"s6237"	"posttest"	"no.change"	0.404	0.0961538461538462	0.403846153846154
"s6238"	"posttest"	"no.change"	0.442	0.596153846153846	0.442307692307692
"s6240"	"posttest"	"no.change"	0.673	0.557692307692308	0.673076923076923
"s6241"	"posttest"	"no.change"	0.135	0.0961538461538462	0.134615384615385
"s6243"	"posttest"	"no.change"	0.596	0.634615384615385	0.596153846153846
"s6244"	"posttest"	"no.change"	0.519	0.634615384615385	0.519230769230769
"s6247"	"posttest"	"no.change"	0.423	0.365384615384615	0.423076923076923
"s6248"	"posttest"	"no.change"	0.481	0.461538461538462	0.480769230769231
"s6251"	"posttest"	"increase"	0.827	0.692307692307692	0.596153846153846
"s6253"	"posttest"	"increase"	0.558	0.5	0.403846153846154
"s6254"	"posttest"	"increase"	0.827	0.923076923076923	0.596153846153846
"s6255"	"posttest"	"increase"	0.673	0.711538461538462	0.480769230769231
"s6256"	"posttest"	"increase"	0.808	0.653846153846154	0.576923076923077
"s6258"	"posttest"	"increase"	0.827	0.461538461538462	0.596153846153846
"s6259"	"posttest"	"increase"	0.942	1	0.673076923076923
"s6260"	"posttest"	"increase"	0.885	0.865384615384615	0.634615384615385
"s6261"	"posttest"	"increase"	0.673	0.5	0.480769230769231
"s6262"	"posttest"	"increase"	0.673	0.403846153846154	0.480769230769231
"s6263"	"posttest"	"increase"	0.654	0.403846153846154	0.461538461538462
"s6264"	"posttest"	"increase"	0.962	0.788461538461538	0.692307692307692
"s6265"	"posttest"	"decrease"	0.269	0.230769230769231	0.461538461538462
"s6266"	"posttest"	"decrease"	0.212	0.442307692307692	0.346153846153846
"s6267"	"posttest"	"decrease"	0.231	0.307692307692308	0.384615384615385
"s6268"	"posttest"	"decrease"	0.25	0.0576923076923077	0.423076923076923
"s6271"	"posttest"	"decrease"	0.423	0.730769230769231	0.692307692307692
"s6273"	"posttest"	"decrease"	0.423	0.730769230769231	0.692307692307692
"s6274"	"posttest"	"decrease"	0.385	0.519230769230769	0.653846153846154
"s6279"	"posttest"	"decrease"	0.327	0.673076923076923	0.557692307692308
"s6280"	"posttest"	"no.change"	0.654	0.538461538461538	0.653846153846154
"s6282"	"posttest"	"increase"	0.673	0.384615384615385	0.480769230769231
"s6284"	"posttest"	"increase"	0.538	0.384615384615385	0.384615384615385
"s6286"	"posttest"	"decrease"	0.269	0.153846153846154	0.442307692307692
"s6287"	"posttest"	"decrease"	0.346	0.5	0.576923076923077
"s6290"	"posttest"	"decrease"	0.25	0.365384615384615	0.423076923076923
"s6291"	"posttest"	"no.change"	0.692	0.634615384615385	0.692307692307692
"s6293"	"posttest"	"no.change"	0.231	0.134615384615385	0.230769230769231
"s6295"	"posttest"	"no.change"	0.5	0.307692307692308	0.5
"s6296"	"posttest"	"no.change"	0.423	0.384615384615385	0.423076923076923
"s6297"	"posttest"	"no.change"	0.288	0.192307692307692	0.288461538461538
"s6298"	"posttest"	"increase"	0.865	0.961538461538462	0.615384615384615
"s6473"	"posttest"	"no.change"	0.481	0.403846153846154	0.480769230769231
"s6474"	"posttest"	"increase"	0.596	0.423076923076923	0.423076923076923
"s6475"	"posttest"	"decrease"	0.327	0.25	0.557692307692308
"s6476"	"posttest"	"decrease"	0.365	0.557692307692308	0.615384615384615
"s6478"	"posttest"	"decrease"	0.327	0.557692307692308	0.538461538461538
"s6479"	"posttest"	"decrease"	0.25	0.442307692307692	0.403846153846154
"s6480"	"posttest"	"no.change"	0.288	0.0576923076923077	0.288461538461538
"s6481"	"posttest"	"no.change"	0.442	0.615384615384615	0.442307692307692
"s6488"	"posttest"	"decrease"	0.365	0.153846153846154	0.615384615384615
"s6489"	"posttest"	"decrease"	0.365	0.384615384615385	0.615384615384615
"s6491"	"posttest"	"no.change"	0.558	0	0.557692307692308
"s6492"	"posttest"	"no.change"	0.25	0.192307692307692	0.25
"s6495"	"posttest"	"decrease"	0.154	0	0.25
"s6497"	"posttest"	"increase"	0.192	0.211538461538462	0.134615384615385
