"catID","living","order","orderFactor","looking"
"S1","House",1,"1.first",532
"S1","House",2,"2.second",286
"S1","House",3,"3.third",478
"S1","House",4,"4.fourth",196
"S2","House",1,"1.first",173
"S2","House",2,"2.second",121
"S2","House",3,"3.third",119
"S2","House",4,"4.fourth",94
"S3","House",1,"1.first",111
"S3","House",2,"2.second",0
"S3","House",3,"3.third",0
"S3","House",4,"4.fourth",0
"S4","House",1,"1.first",226
"S4","House",2,"2.second",0
"S4","House",3,"3.third",205
"S4","House",4,"4.fourth",0
"S5","House",1,"1.first",261
"S5","House",2,"2.second",0
"S5","House",3,"3.third",0
"S5","House",4,"4.fourth",271
"S6","Cafe",1,"1.first",292
"S6","Cafe",2,"2.second",41
"S6","Cafe",3,"3.third",0
"S6","Cafe",4,"4.fourth",109
"S7","Cafe",1,"1.first",229
"S7","Cafe",2,"2.second",207
"S7","Cafe",3,"3.third",105
"S7","Cafe",4,"4.fourth",307
"S8","Cafe",1,"1.first",306
"S8","Cafe",2,"2.second",286
"S8","Cafe",3,"3.third",141
"S8","Cafe",4,"4.fourth",365
"S13","House",1,"1.first",390
"S13","House",2,"2.second",319
"S13","House",3,"3.third",0
"S13","House",4,"4.fourth",535
"S13","House",5,"5.fifth",0
"S13","House",6,"6.sixth",0
"S9","Cafe",1,"1.first",258
"S9","Cafe",2,"2.second",100
"S9","Cafe",3,"3.third",25
"S9","Cafe",4,"4.fourth",74
"S10","Cafe",1,"1.first",163
"S10","Cafe",2,"2.second",46
"S10","Cafe",3,"3.third",0
"S10","Cafe",4,"4.fourth",0
"S11","Cafe",1,"1.first",248
"S11","Cafe",2,"2.second",184
"S11","Cafe",3,"3.third",132
"S11","Cafe",4,"4.fourth",91
"S12","Cafe",1,"1.first",255
"S12","Cafe",2,"2.second",176
"S12","Cafe",3,"3.third",64
"S12","Cafe",4,"4.fourth",107
"S14","Cafe",1,"1.first",231
"S14","Cafe",2,"2.second",318
"S14","Cafe",3,"3.third",201
"S14","Cafe",4,"4.fourth",113
"S15","Cafe",1,"1.first",390
"S15","Cafe",2,"2.second",391
"S15","Cafe",3,"3.third",162
"S15","Cafe",4,"4.fourth",129
"S16","Cafe",1,"1.first",293
"S16","Cafe",2,"2.second",17
"S16","Cafe",3,"3.third",233
"S16","Cafe",4,"4.fourth",90
"S16","Cafe",5,"5.fifth",82
"S16","Cafe",6,"6.sixth",83
"S17","House",1,"1.first",373
"S17","House",2,"2.second",0
"S17","House",3,"3.third",0
"S17","House",4,"4.fourth",0
"S17","House",5,"5.fifth",542
"S17","House",6,"6.sixth",298
"S18","Cafe",1,"1.first",136
"S18","Cafe",2,"2.second",65
"S18","Cafe",3,"3.third",75
"S18","Cafe",4,"4.fourth",0
"S19","Cafe",1,"1.first",42
"S19","Cafe",2,"2.second",7
"S19","Cafe",3,"3.third",0
"S19","Cafe",4,"4.fourth",45
"S20","Cafe",1,"1.first",107
"S20","Cafe",2,"2.second",164
"S20","Cafe",3,"3.third",68
"S20","Cafe",4,"4.fourth",0
"S21","Cafe",1,"1.first",0
"S21","Cafe",2,"2.second",29
"S21","Cafe",3,"3.third",32
"S21","Cafe",4,"4.fourth",157
"S22","Cafe",1,"1.first",43
"S22","Cafe",2,"2.second",102
"S22","Cafe",3,"3.third",0
"S22","Cafe",4,"4.fourth",12
"S23","Cafe",1,"1.first",223
"S23","Cafe",2,"2.second",222
"S23","Cafe",3,"3.third",164
"S23","Cafe",4,"4.fourth",109
"S23","Cafe",5,"5.fifth",80
"S23","Cafe",6,"6.sixth",230
"S24","Cafe",1,"1.first",271
"S24","Cafe",2,"2.second",181
"S24","Cafe",3,"3.third",270
"S24","Cafe",4,"4.fourth",97
"S24","Cafe",5,"5.fifth",128
"S24","Cafe",6,"6.sixth",270
"S25","Cafe",1,"1.first",223
"S25","Cafe",2,"2.second",232
"S25","Cafe",3,"3.third",271
"S25","Cafe",4,"4.fourth",174
"S25","Cafe",5,"5.fifth",218
"S25","Cafe",6,"6.sixth",54
"S26","Cafe",1,"1.first",137
"S26","Cafe",2,"2.second",264
"S26","Cafe",3,"3.third",113
"S26","Cafe",4,"4.fourth",271
"S26","Cafe",5,"5.fifth",236
"S26","Cafe",6,"6.sixth",162
"S26","Cafe",7,"7.seventh",213
"S26","Cafe",8,"8.eighth",118
"S27","Cafe",1,"1.first",84
"S27","Cafe",2,"2.second",162
"S27","Cafe",3,"3.third",81
"S27","Cafe",4,"4.fourth",19
"S28","Cafe",2,"2.second",103
"S28","Cafe",3,"3.third",163
"S28","Cafe",4,"4.fourth",13
"S28","Cafe",1,"1.first",95
"S29","Cafe",1,"1.first",82
"S29","Cafe",2,"2.second",59
"S29","Cafe",3,"3.third",214
"S29","Cafe",4,"4.fourth",8
"S30","Cafe",1,"1.first",159
"S30","Cafe",2,"2.second",129
"S30","Cafe",3,"3.third",83
"S30","Cafe",4,"4.fourth",125
"S30","Cafe",5,"5.fifth",180
"S30","Cafe",6,"6.sixth",14
"S31","House",1,"1.first",225
"S31","House",2,"2.second",237
"S31","House",3,"3.third",137
"S31","House",4,"4.fourth",263
"S31","House",5,"5.fifth",116
"S31","House",6,"6.sixth",91
