"participant","peerCondition","regLevel","verbStatus","phase","gender","age","attentionRating","otherPlayerReasonable","postReg.mean","verbStatus2"
"p184","human","high","REAL","postTest","Male",28,3,5,0.3,"REAL"
"p185","human","low","REAL","postTest","Male",47,3,2,0.35,"REAL"
"p186","human","low","REAL","postTest","Male",24,4,4,0.7,"REAL"
"p187","human","high","REAL","postTest","Male",36,4,4,0.35,"REAL"
"p188","human","high","REAL","postTest","Male",28,5,5,0.35,"REAL"
"p189","human","low","REAL","postTest","Female",33,5,5,0.6,"REAL"
"p19","human","low","REAL","postTest","Female",58,5,5,0.3,"REAL"
"p191","human","high","REAL","postTest","Female",24,4,4,0.5,"REAL"
"p192","human","low","REAL","postTest","Female",35,5,4,0.25,"REAL"
"p193","human","low","REAL","postTest","Male",33,4,4,0.3,"REAL"
"p194","human","low","REAL","postTest","Female",52,5,5,0.55,"REAL"
"p195","human","high","REAL","postTest","Male",39,3,5,0.4,"REAL"
"p196","human","high","REAL","postTest","Male",40,4,5,0.55,"REAL"
"p197","human","low","REAL","postTest","Male",21,4,3,0.2,"REAL"
"p198","human","high","REAL","postTest","Female",37,1,2,0.45,"REAL"
"p199","human","low","REAL","postTest","Male",43,5,4,0.5,"REAL"
"p2","human","high","REAL","postTest","Male",41,4,4,0.4,"REAL"
"p20","human","high","REAL","postTest","Male",29,2,3,0.4,"REAL"
"p201","human","low","REAL","postTest","Female",32,4,4,0.5,"REAL"
"p202","human","low","REAL","postTest","Female",49,5,5,0.45,"REAL"
"p203","human","low","REAL","postTest","Male",39,5,4,0.6,"REAL"
"p204","human","high","REAL","postTest","Female",43,5,5,0.25,"REAL"
"p205","human","low","REAL","postTest","Male",29,5,4,0.55,"REAL"
"p207","human","high","REAL","postTest","Female",21,4,5,0.1,"REAL"
"p208","human","low","REAL","postTest","Female",29,4,2,0.6,"REAL"
"p209","human","low","REAL","postTest","Male",26,5,3,0.65,"REAL"
"p21","human","low","REAL","postTest","Female",26,5,4,0.4,"REAL"
"p210","human","low","REAL","postTest","Male",31,5,4,0.6,"REAL"
"p211","human","high","REAL","postTest","Male",47,5,5,0.25,"REAL"
"p212","human","low","REAL","postTest","Male",35,1,4,0.55,"REAL"
"p213","human","high","REAL","postTest","Male",62,5,5,0.55,"REAL"
"p214","human","low","REAL","postTest","Male",29,5,5,0.4,"REAL"
"p215","human","high","REAL","postTest","Female",44,4,5,0.45,"REAL"
"p216","human","high","REAL","postTest","Female",52,4,4,0.3,"REAL"
"p217","human","high","REAL","postTest","Female",52,4,5,0.4,"REAL"
"p218","human","low","REAL","postTest","Male",34,4,2,0.3,"REAL"
"p219","human","low","REAL","postTest","Female",45,5,4,0.45,"REAL"
"p22","human","high","REAL","postTest","Male",27,4,4,0.4,"REAL"
"p220","human","high","REAL","postTest","Male",27,4,3,0.3,"REAL"
"p221","human","high","REAL","postTest","Male",35,4,4,0.45,"REAL"
"p222","human","low","REAL","postTest","Female",32,4,5,0.3,"REAL"
"p223","human","low","REAL","postTest","Female",33,4,5,0.5,"REAL"
"p224","human","high","REAL","postTest","Female",46,4,4,0.35,"REAL"
"p225","human","low","REAL","postTest","Female",63,4,5,0.4,"REAL"
"p226","human","high","REAL","postTest","Male",22,4,4,0.35,"REAL"
"p227","human","high","REAL","postTest","Female",31,4,5,0.5,"REAL"
"p228","human","low","REAL","postTest","Male",31,3,4,0.3,"REAL"
"p229","human","high","REAL","postTest","Male",54,4,4,0.5,"REAL"
"p23","human","low","REAL","postTest","Female",28,5,4,0.05,"REAL"
"p230","human","high","REAL","postTest","Male",39,2,5,0.45,"REAL"
"p231","human","high","REAL","postTest","Male",26,5,4,0.65,"REAL"
"p232","human","high","REAL","postTest","Male",27,5,5,0.7,"REAL"
"p233","human","low","REAL","postTest","Male",34,3,5,0.3,"REAL"
"p234","human","low","REAL","postTest","Male",55,4,5,0.4,"REAL"
"p235","human","low","REAL","postTest","Female",37,5,5,0.4,"REAL"
"p236","human","high","REAL","postTest","Male",33,4,4,0.5,"REAL"
"p237","human","high","REAL","postTest","Female",38,5,5,0.7,"REAL"
"p238","human","high","REAL","postTest","Female",36,4,5,0.5,"REAL"
"p239","human","high","REAL","postTest","Male",47,5,5,0.55,"REAL"
"p24","human","low","REAL","postTest","Male",32,4,4,0,"REAL"
"p240","human","high","REAL","postTest","Female",32,4,5,0.5,"REAL"
"p242","human","high","REAL","postTest","Male",66,4,4,0.4,"REAL"
"p243","human","high","REAL","postTest","Female",34,2,5,0.5,"REAL"
"p244","human","low","REAL","postTest","Female",48,5,4,0.4,"REAL"
"p246","human","low","REAL","postTest","Female",53,4,4,0.55,"REAL"
"p247","human","low","REAL","postTest","Female",46,4,5,0.15,"REAL"
"p248","human","high","REAL","postTest","Male",33,4,4,0.45,"REAL"
"p249","human","low","REAL","postTest","Male",46,4,3,0.35,"REAL"
"p25","human","high","REAL","postTest","Male",26,5,5,1,"REAL"
"p250","human","low","REAL","postTest","Male",52,5,5,0.1,"REAL"
"p251","human","low","REAL","postTest","Male",43,5,3,0.35,"REAL"
"p252","human","high","REAL","postTest","Male",26,4,3,0.3,"REAL"
"p253","human","high","REAL","postTest","Male",26,5,5,0.25,"REAL"
"p254","human","low","REAL","postTest","Female",49,5,5,0.35,"REAL"
"p255","human","low","REAL","postTest","Female",28,5,4,0.3,"REAL"
"p256","bot","low","REAL","postTest","Female",29,3,5,0.5,"REAL"
"p257","bot","low","REAL","postTest","Male",22,4,4,0.5,"REAL"
"p258","bot","high","REAL","postTest","Male",25,5,5,0.65,"REAL"
"p259","bot","high","REAL","postTest","Male",24,4,4,0.45,"REAL"
"p26","human","low","REAL","postTest","Male",29,5,4,0.35,"REAL"
"p260","bot","high","REAL","postTest","Male",26,5,5,0.95,"REAL"
"p261","bot","low","REAL","postTest","Male",25,5,4,0.35,"REAL"
"p262","bot","low","REAL","postTest","Male",54,4,4,0.15,"REAL"
"p263","bot","high","REAL","postTest","Male",25,5,4,0.35,"REAL"
"p264","bot","high","REAL","postTest","Male",42,1,5,0.35,"REAL"
"p265","bot","high","REAL","postTest","Male",31,5,4,0.5,"REAL"
"p266","bot","low","REAL","postTest","Male",36,1,5,0.45,"REAL"
"p267","bot","low","REAL","postTest","Male",32,3,4,0.45,"REAL"
"p268","bot","low","REAL","postTest","Male",30,4,5,0.4,"REAL"
"p269","bot","low","REAL","postTest","Male",29,3,3,0.4,"REAL"
"p27","human","low","REAL","postTest","Female",44,5,1,0.4,"REAL"
"p270","bot","high","REAL","postTest","Male",30,5,4,0.45,"REAL"
"p271","bot","high","REAL","postTest","Female",22,4,3,0.2,"REAL"
"p272","bot","high","REAL","postTest","Male",24,4,4,0.45,"REAL"
"p273","bot","low","REAL","postTest","Male",31,3,4,0.35,"REAL"
"p274","bot","high","REAL","postTest","Male",25,5,5,0.55,"REAL"
"p275","bot","high","REAL","postTest","Male",45,3,4,0.5,"REAL"
"p276","bot","low","REAL","postTest","Male",26,4,5,0.45,"REAL"
"p277","bot","low","REAL","postTest","Male",39,4,4,0.35,"REAL"
"p278","bot","high","REAL","postTest","Male",39,4,3,0.15,"REAL"
"p279","bot","low","REAL","postTest","Male",31,2,2,0.55,"REAL"
"p28","human","low","REAL","postTest","Female",36,5,4,0.5,"REAL"
"p280","bot","high","REAL","postTest","Female",33,4,4,0.35,"REAL"
"p281","bot","high","REAL","postTest","Female",32,3,2,0.35,"REAL"
"p282","bot","low","REAL","postTest","Female",52,5,5,0.2,"REAL"
"p283","bot","low","REAL","postTest","Male",46,5,4,0.4,"REAL"
"p284","bot","low","REAL","postTest","Female",36,4,5,0.4,"REAL"
"p285","bot","low","REAL","postTest","Female",33,5,3,0.45,"REAL"
"p286","bot","low","REAL","postTest","Male",30,5,4,0.4,"REAL"
"p287","bot","high","REAL","postTest","Male",37,5,5,0.15,"REAL"
"p288","bot","high","REAL","postTest","Female",38,4,4,0.5,"REAL"
"p289","bot","low","REAL","postTest","Male",45,3,2,0.45,"REAL"
"p29","human","low","REAL","postTest","Male",27,5,5,0.45,"REAL"
"p290","bot","high","REAL","postTest","Male",34,5,5,0.45,"REAL"
"p291","bot","low","REAL","postTest","Male",42,4,4,0.4,"REAL"
"p292","bot","low","REAL","postTest","Female",61,5,5,0.45,"REAL"
"p293","bot","high","REAL","postTest","Male",64,3,5,0.4,"REAL"
"p294","bot","high","REAL","postTest","Female",39,4,4,0.4,"REAL"
"p295","bot","high","REAL","postTest","Male",39,5,5,0.3,"REAL"
"p296","bot","high","REAL","postTest","Female",31,4,3,0.35,"REAL"
"p297","bot","low","REAL","postTest","Female",34,5,5,0.6,"REAL"
"p298","bot","high","REAL","postTest","Female",41,5,5,0.55,"REAL"
"p299","bot","high","REAL","postTest","Male",28,4,4,0.4,"REAL"
"p3","human","high","REAL","postTest","Female",29,5,5,0.55,"REAL"
"p30","human","high","REAL","postTest","Female",40,3,5,0.55,"REAL"
"p300","bot","low","REAL","postTest","Female",53,3,5,0,"REAL"
"p301","bot","low","REAL","postTest","Male",19,1,5,0.35,"REAL"
"p302","bot","low","REAL","postTest","Male",30,4,3,0.1,"REAL"
"p303","bot","high","REAL","postTest","Male",27,3,5,0.55,"REAL"
"p304","bot","low","REAL","postTest","Male",26,5,3,0,"REAL"
"p306","bot","low","REAL","postTest","Female",36,4,4,0.35,"REAL"
"p307","bot","high","REAL","postTest","Female",33,4,5,0.5,"REAL"
"p308","bot","high","REAL","postTest","Male",27,4,5,0.4,"REAL"
"p309","bot","low","REAL","postTest","Male",38,3,3,0.35,"REAL"
"p31","human","low","REAL","postTest","Female",28,4,4,0.4,"REAL"
"p310","bot","low","REAL","postTest","Male",27,4,5,0.35,"REAL"
"p311","bot","low","REAL","postTest","Female",60,4,1,0.2,"REAL"
"p312","bot","low","REAL","postTest","Female",25,5,4,0.55,"REAL"
"p313","bot","high","REAL","postTest","Male",38,4,4,0.8,"REAL"
"p314","bot","low","REAL","postTest","Male",32,5,4,0.2,"REAL"
"p315","bot","low","REAL","postTest","Female",35,4,3,0.25,"REAL"
"p316","bot","high","REAL","postTest","Female",24,4,4,0.5,"REAL"
"p317","bot","high","REAL","postTest","Male",33,5,4,0.6,"REAL"
"p318","bot","high","REAL","postTest","Male",40,4,4,0.65,"REAL"
"p319","bot","high","REAL","postTest","Female",34,3,3,0.3,"REAL"
