"subject","trialNumber","condition","correct","inTraining","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","subject.gender","subject.age","phase"
"s1000",44,"nonsocial",FALSE,FALSE,"wuktas","female","mushroom_large","wuk","mushroom_dimin","wuktas","wuktol","wuktol","Female",27,"test"
"s1000",45,"nonsocial",FALSE,TRUE,"wuntol","male_side","gate_large","wun","gate_dimin","wuntas","wuntol","wuntas","Female",27,"test"
"s1000",46,"nonsocial",FALSE,FALSE,"peltol","male_side","bokchoy_large","pel","bokchoy_dimin","peltas","peltol","peltas","Female",27,"test"
"s1000",47,"nonsocial",FALSE,TRUE,"rultol","female_side","bear_large_male","rul","bear_dimin","rultas","rultol","rultas","Female",27,"test"
"s1000",48,"nonsocial",TRUE,FALSE,"fentas","female","candleholder_large","fen","candleholder_dimin","fentas","fentol","fentas","Female",27,"test"
"s1001",1,"nonsocial",FALSE,TRUE,"pelfen","female","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelrul","Female",24,"test"
"s1001",2,"nonsocial",FALSE,FALSE,"wukfen","male","mushroom_large","wuk","mushroom_dimin","wukfen","wukrul","wukrul","Female",24,"test"
"s1001",3,"nonsocial",TRUE,FALSE,"wukrul","male_side","mushroom_large","wuk","mushroom_dimin","wukfen","wukrul","wukrul","Female",24,"test"
"s1001",4,"nonsocial",TRUE,FALSE,"tasfen","male","fox_large_male","tas","fox_dimin","tasfen","tasrul","tasfen","Female",24,"test"
"s1001",5,"nonsocial",TRUE,FALSE,"rilrul","female_side","chair_large","ril","chair_dimin","rilfen","rilrul","rilrul","Female",24,"test"
"s1001",6,"nonsocial",TRUE,FALSE,"wukrul","female_side","mushroom_large","wuk","mushroom_dimin","wukfen","wukrul","wukrul","Female",24,"test"
"s1001",7,"nonsocial",FALSE,FALSE,"rilfen","female","chair_large","ril","chair_dimin","rilfen","rilrul","rilrul","Female",24,"test"
"s1001",8,"nonsocial",TRUE,TRUE,"tolrul","male_side","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolrul","Female",24,"test"
"s1001",9,"nonsocial",FALSE,FALSE,"tasrul","female_side","fox_large_male","tas","fox_dimin","tasfen","tasrul","tasfen","Female",24,"test"
"s1001",10,"nonsocial",TRUE,FALSE,"fisrul","male_side","bokchoy_large","fis","bokchoy_dimin","fisfen","fisrul","fisrul","Female",24,"test"
"s1001",11,"nonsocial",TRUE,FALSE,"fisrul","female_side","bokchoy_large","fis","bokchoy_dimin","fisfen","fisrul","fisrul","Female",24,"test"
"s1001",12,"nonsocial",TRUE,TRUE,"tosrul","male_side","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosrul","Female",24,"test"
"s1001",13,"nonsocial",FALSE,TRUE,"falrul","male_side","gate_large","fal","gate_dimin","falfen","falrul","falfen","Female",24,"test"
"s1001",14,"nonsocial",FALSE,TRUE,"wunfen","female","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female",24,"test"
"s1001",15,"nonsocial",FALSE,FALSE,"fisfen","male","bokchoy_large","fis","bokchoy_dimin","fisfen","fisrul","fisrul","Female",24,"test"
"s1001",16,"nonsocial",FALSE,TRUE,"wunfen","male","chair_large","wun","chair_dimin","wunfen","wunrul","wunrul","Female",24,"test"
"s1001",17,"nonsocial",TRUE,TRUE,"tosfen","male","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female",24,"test"
"s1001",18,"nonsocial",TRUE,TRUE,"fekrul","female_side","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekrul","Female",24,"test"
"s1001",19,"nonsocial",FALSE,FALSE,"rikfen","female","bear_large_male","rik","bear_dimin","rikfen","rikrul","rikrul","Female",24,"test"
"s1001",20,"nonsocial",TRUE,TRUE,"falrul","female_side","gate_large","fal","gate_dimin","falfen","falrul","falrul","Female",24,"test"
"s1001",21,"nonsocial",FALSE,TRUE,"tosrul","female_side","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female",24,"test"
"s1001",22,"nonsocial",TRUE,FALSE,"wukfen","female","mushroom_large","wuk","mushroom_dimin","wukfen","wukrul","wukfen","Female",24,"test"
"s1001",23,"nonsocial",FALSE,TRUE,"fekrul","male_side","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female",24,"test"
"s1001",24,"nonsocial",TRUE,FALSE,"rikfen","male","bear_large_male","rik","bear_dimin","rikfen","rikrul","rikfen","Female",24,"test"
"s1001",25,"nonsocial",FALSE,FALSE,"wanrul","female_side","fox_large_male","wan","fox_dimin","wanfen","wanrul","wanfen","Female",24,"test"
"s1001",26,"nonsocial",TRUE,TRUE,"tosfen","female","bokchoy_large","tos","bokchoy_dimin","tosfen","tosrul","tosfen","Female",24,"test"
"s1001",27,"nonsocial",FALSE,TRUE,"tolfen","male","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolrul","Female",24,"test"
"s1001",28,"nonsocial",TRUE,TRUE,"pelfen","male","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelfen","Female",24,"test"
"s1001",29,"nonsocial",TRUE,FALSE,"rilrul","male_side","chair_large","ril","chair_dimin","rilfen","rilrul","rilrul","Female",24,"test"
"s1001",30,"nonsocial",TRUE,TRUE,"fekfen","female","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female",24,"test"
"s1001",31,"nonsocial",TRUE,TRUE,"pelrul","male_side","candleholder_large","pel","candleholder_dimin","pelfen","pelrul","pelrul","Female",24,"test"
"s1001",32,"nonsocial",TRUE,FALSE,"rikrul","female_side","bear_large_male","rik","bear_dimin","rikfen","rikrul","rikrul","Female",24,"test"
"s1001",33,"nonsocial",TRUE,FALSE,"tasfen","female","fox_large_male","tas","fox_dimin","tasfen","tasrul","tasfen","Female",24,"test"
"s1001",34,"nonsocial",TRUE,TRUE,"falfen","female","gate_large","fal","gate_dimin","falfen","falrul","falfen","Female",24,"test"
"s1001",35,"nonsocial",TRUE,FALSE,"rilfen","male","chair_large","ril","chair_dimin","rilfen","rilrul","rilfen","Female",24,"test"
"s1001",36,"nonsocial",TRUE,TRUE,"fekfen","male","bear_large_male","fek","bear_dimin","fekfen","fekrul","fekfen","Female",24,"test"
"s1001",37,"nonsocial",TRUE,FALSE,"fisfen","female","bokchoy_large","fis","bokchoy_dimin","fisfen","fisrul","fisfen","Female",24,"test"
"s1001",38,"nonsocial",TRUE,TRUE,"tolrul","female_side","pitcher_large","tol","pitcher_dimin","tolfen","tolrul","tolrul","Female",24,"test"
"s1001",39,"nonsocial",FALSE,FALSE,"tasrul","male_side","fox_large_male","tas","fox_dimin","tasfen","tasrul","tasfen","Female",24,"test"
"s1001",40,"nonsocial",FALSE,FALSE,"wanrul","male_side","fox_large_male","wan","fox_dimin","wanfen","wanrul","wanfen","Female",24,"test"
