"gender"	"yearOfBirth"	"phase"	"weak.past"	"strong.past"	"category"	"sensibility"	"partnerRegRate"	"partnerRegCondition"	"item.reg.mean"	"response"	"regular"	"participant"	"age"
"Female"	1958	"pretest"	"dwimmed"	"dwam"	"sang"	"sensible"	0.654	"no.change"	0.515	"dwimmed"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"prurned"	"prurnt"	"burnt"	"sensible"	0.654	"no.change"	0.688	"prurned"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"neemed"	"nemt"	"kept"	"sensible"	0.654	"no.change"	0.658	"neemed"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"chited"	"chote"	"drove"	"sensible"	0.654	"no.change"	0.579	"chote"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"squided"	"squode"	"drove"	"sensible"	0.654	"no.change"	0.406	"squode"	FALSE	"s6023"	56
"Female"	1958	"pretest"	"smimmed"	"smam"	"sang"	"sensible"	0.654	"no.change"	0.579	"smimmed"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"chimmed"	"cham"	"sang"	"sensible"	0.654	"no.change"	0.743	"chimmed"	TRUE	"s6023"	56
"Female"	1958	"pretest"	"swided"	"swode"	"drove"	"sensible"	0.654	"no.change"	0.356	"swode"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"squined"	"squone"	"drove"	"sensible"	0.654	"no.change"	0.678	"squone"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"dwilled"	"dwilt"	"burnt"	"sensible"	0.654	"no.change"	0.673	"dwilled"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"snined"	"snone"	"drove"	"sensible"	0.654	"no.change"	0.644	"snone"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"skrurned"	"skrurnt"	"burnt"	"sensible"	0.654	"no.change"	0.668	"skrurned"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"snited"	"snote"	"drove"	"sensible"	0.654	"no.change"	0.53	"snote"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"swited"	"swote"	"drove"	"sensible"	0.654	"no.change"	0.46	"swote"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"skurned"	"skurnt"	"burnt"	"sensible"	0.654	"no.change"	0.733	"skurned"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"fleeled"	"flelt"	"kept"	"sensible"	0.654	"no.change"	0.525	"flelt"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"neened"	"nent"	"kept"	"sensible"	0.654	"no.change"	0.663	"neened"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"quinged"	"quang"	"sang"	"sensible"	0.654	"no.change"	0.53	"quang"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"kleeled"	"klelt"	"kept"	"sensible"	0.654	"no.change"	0.554	"kleeled"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"spreemed"	"spremt"	"kept"	"sensible"	0.654	"no.change"	0.639	"spremt"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"preemed"	"premt"	"kept"	"sensible"	0.654	"no.change"	0.678	"premt"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"dweeped"	"dwept"	"kept"	"sensible"	0.654	"no.change"	0.426	"dwept"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"twinked"	"twank"	"sang"	"sensible"	0.654	"no.change"	0.594	"twank"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"schmimmed"	"schmam"	"sang"	"sensible"	0.654	"no.change"	0.634	"schmam"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"beeved"	"bove"	"drove"	"sensible"	0.654	"no.change"	0.574	"bove"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"sprided"	"sprode"	"drove"	"sensible"	0.654	"no.change"	0.347	"sprode"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"skrinked"	"skrank"	"sang"	"sensible"	0.654	"no.change"	0.45	"skrank"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"shrided"	"shrode"	"drove"	"sensible"	0.654	"no.change"	0.376	"shrode"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"prilled"	"prilt"	"burnt"	"sensible"	0.654	"no.change"	0.713	"prilled"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"vinked"	"vank"	"sang"	"sensible"	0.654	"no.change"	0.624	"vinked"	TRUE	"s6023"	56
"Female"	1958	"posttest"	"dwided"	"dwode"	"drove"	"sensible"	0.654	"no.change"	0.416	"dwode"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"vrinked"	"vrank"	"sang"	"sensible"	0.654	"no.change"	0.515	"vrinked"	TRUE	"s6023"	56
