"participant","peerCondition","regLevel","verbStatus","phase","gender","age","attentionRating","otherPlayerReasonable","postReg.mean","verbStatus2"
"p168","human","low","NONCE","postTest","Female",38,4,4,0.461538461538462,"PSEUDO"
"p169","human","high","NONCE","postTest","Female",61,4,5,0.692307692307692,"PSEUDO"
"p17","human","high","NONCE","postTest","Male",25,5,3,0.692307692307692,"PSEUDO"
"p170","human","high","NONCE","postTest","Male",52,3,4,0.557692307692308,"PSEUDO"
"p171","human","low","NONCE","postTest","Male",22,5,4,0.442307692307692,"PSEUDO"
"p172","human","high","NONCE","postTest","Male",39,5,5,0.711538461538462,"PSEUDO"
"p173","human","high","NONCE","postTest","Male",43,5,4,0.653846153846154,"PSEUDO"
"p174","human","high","NONCE","postTest","Male",22,5,3,0.480769230769231,"PSEUDO"
"p176","human","low","NONCE","postTest","Female",42,5,4,0.288461538461538,"PSEUDO"
"p178","human","high","NONCE","postTest","Male",43,4,3,0.596153846153846,"PSEUDO"
"p179","human","high","NONCE","postTest","Male",32,4,4,0.576923076923077,"PSEUDO"
"p18","human","low","NONCE","postTest","Male",22,5,2,0.0384615384615385,"PSEUDO"
"p180","human","low","NONCE","postTest","Female",24,4,3,0.461538461538462,"PSEUDO"
"p181","human","low","NONCE","postTest","Female",35,3,3,0.384615384615385,"PSEUDO"
"p182","human","high","NONCE","postTest","Female",37,5,5,0.673076923076923,"PSEUDO"
"p183","human","high","NONCE","postTest","Female",30,4,5,0.480769230769231,"PSEUDO"
"p184","human","high","NONCE","postTest","Male",28,3,5,0.788461538461538,"PSEUDO"
"p185","human","low","NONCE","postTest","Male",47,3,2,0.538461538461538,"PSEUDO"
"p186","human","low","NONCE","postTest","Male",24,4,4,0.730769230769231,"PSEUDO"
"p187","human","high","NONCE","postTest","Male",36,4,4,0.673076923076923,"PSEUDO"
"p188","human","high","NONCE","postTest","Male",28,5,5,0.846153846153846,"PSEUDO"
"p189","human","low","NONCE","postTest","Female",33,5,5,0.615384615384615,"PSEUDO"
"p19","human","low","NONCE","postTest","Female",58,5,5,0.519230769230769,"PSEUDO"
"p191","human","high","NONCE","postTest","Female",24,4,4,0.653846153846154,"PSEUDO"
"p192","human","low","NONCE","postTest","Female",35,5,4,0.134615384615385,"PSEUDO"
"p193","human","low","NONCE","postTest","Male",33,4,4,0.615384615384615,"PSEUDO"
"p194","human","low","NONCE","postTest","Female",52,5,5,0.403846153846154,"PSEUDO"
"p195","human","high","NONCE","postTest","Male",39,3,5,0.730769230769231,"PSEUDO"
"p196","human","high","NONCE","postTest","Male",40,4,5,0.692307692307692,"PSEUDO"
"p197","human","low","NONCE","postTest","Male",21,4,3,0.0769230769230769,"PSEUDO"
"p198","human","high","NONCE","postTest","Female",37,1,2,0.269230769230769,"PSEUDO"
"p199","human","low","NONCE","postTest","Male",43,5,4,0.288461538461538,"PSEUDO"
"p2","human","high","NONCE","postTest","Male",41,4,4,0.788461538461538,"PSEUDO"
"p20","human","high","NONCE","postTest","Male",29,2,3,0.711538461538462,"PSEUDO"
"p201","human","low","NONCE","postTest","Female",32,4,4,0.461538461538462,"PSEUDO"
"p202","human","low","NONCE","postTest","Female",49,5,5,0.673076923076923,"PSEUDO"
"p203","human","low","NONCE","postTest","Male",39,5,4,0.692307692307692,"PSEUDO"
"p204","human","high","NONCE","postTest","Female",43,5,5,0.711538461538462,"PSEUDO"
"p205","human","low","NONCE","postTest","Male",29,5,4,0.326923076923077,"PSEUDO"
"p207","human","high","NONCE","postTest","Female",21,4,5,0.269230769230769,"PSEUDO"
"p208","human","low","NONCE","postTest","Female",29,4,2,0.75,"PSEUDO"
"p209","human","low","NONCE","postTest","Male",26,5,3,0.769230769230769,"PSEUDO"
"p21","human","low","NONCE","postTest","Female",26,5,4,0.615384615384615,"PSEUDO"
"p210","human","low","NONCE","postTest","Male",31,5,4,0.288461538461538,"PSEUDO"
"p211","human","high","NONCE","postTest","Male",47,5,5,0.596153846153846,"PSEUDO"
"p212","human","low","NONCE","postTest","Male",35,1,4,0.423076923076923,"PSEUDO"
"p213","human","high","NONCE","postTest","Male",62,5,5,0.711538461538462,"PSEUDO"
"p214","human","low","NONCE","postTest","Male",29,5,5,0.557692307692308,"PSEUDO"
"p215","human","high","NONCE","postTest","Female",44,4,5,0.576923076923077,"PSEUDO"
"p216","human","high","NONCE","postTest","Female",52,4,4,0.538461538461538,"PSEUDO"
"p217","human","high","NONCE","postTest","Female",52,4,5,0.5,"PSEUDO"
"p218","human","low","NONCE","postTest","Male",34,4,2,0.442307692307692,"PSEUDO"
"p219","human","low","NONCE","postTest","Female",45,5,4,0.5,"PSEUDO"
"p22","human","high","NONCE","postTest","Male",27,4,4,0.384615384615385,"PSEUDO"
"p220","human","high","NONCE","postTest","Male",27,4,3,0.576923076923077,"PSEUDO"
"p221","human","high","NONCE","postTest","Male",35,4,4,0.596153846153846,"PSEUDO"
"p222","human","low","NONCE","postTest","Female",32,4,5,0.423076923076923,"PSEUDO"
"p223","human","low","NONCE","postTest","Female",33,4,5,0.5,"PSEUDO"
"p224","human","high","NONCE","postTest","Female",46,4,4,0.942307692307692,"PSEUDO"
"p225","human","low","NONCE","postTest","Female",63,4,5,0.384615384615385,"PSEUDO"
"p226","human","high","NONCE","postTest","Male",22,4,4,0.480769230769231,"PSEUDO"
"p227","human","high","NONCE","postTest","Female",31,4,5,0.865384615384615,"PSEUDO"
"p228","human","low","NONCE","postTest","Male",31,3,4,0.230769230769231,"PSEUDO"
"p229","human","high","NONCE","postTest","Male",54,4,4,0.788461538461538,"PSEUDO"
"p23","human","low","NONCE","postTest","Female",28,5,4,0.307692307692308,"PSEUDO"
"p230","human","high","NONCE","postTest","Male",39,2,5,0.461538461538462,"PSEUDO"
"p231","human","high","NONCE","postTest","Male",26,5,4,0.807692307692308,"PSEUDO"
"p232","human","high","NONCE","postTest","Male",27,5,5,0.557692307692308,"PSEUDO"
"p233","human","low","NONCE","postTest","Male",34,3,5,0.134615384615385,"PSEUDO"
"p234","human","low","NONCE","postTest","Male",55,4,5,0.423076923076923,"PSEUDO"
"p235","human","low","NONCE","postTest","Female",37,5,5,0.134615384615385,"PSEUDO"
"p236","human","high","NONCE","postTest","Male",33,4,4,0.480769230769231,"PSEUDO"
"p237","human","high","NONCE","postTest","Female",38,5,5,0.884615384615385,"PSEUDO"
"p238","human","high","NONCE","postTest","Female",36,4,5,0.75,"PSEUDO"
"p239","human","high","NONCE","postTest","Male",47,5,5,0.557692307692308,"PSEUDO"
"p24","human","low","NONCE","postTest","Male",32,4,4,0.0384615384615385,"PSEUDO"
"p240","human","high","NONCE","postTest","Female",32,4,5,0.884615384615385,"PSEUDO"
"p242","human","high","NONCE","postTest","Male",66,4,4,0.653846153846154,"PSEUDO"
"p243","human","high","NONCE","postTest","Female",34,2,5,0.75,"PSEUDO"
"p244","human","low","NONCE","postTest","Female",48,5,4,0.269230769230769,"PSEUDO"
"p246","human","low","NONCE","postTest","Female",53,4,4,0.576923076923077,"PSEUDO"
"p247","human","low","NONCE","postTest","Female",46,4,5,0.153846153846154,"PSEUDO"
"p248","human","high","NONCE","postTest","Male",33,4,4,0.615384615384615,"PSEUDO"
"p249","human","low","NONCE","postTest","Male",46,4,3,0.307692307692308,"PSEUDO"
"p25","human","high","NONCE","postTest","Male",26,5,5,0.884615384615385,"PSEUDO"
"p250","human","low","NONCE","postTest","Male",52,5,5,0.269230769230769,"PSEUDO"
"p251","human","low","NONCE","postTest","Male",43,5,3,0.442307692307692,"PSEUDO"
"p252","human","high","NONCE","postTest","Male",26,4,3,0.788461538461538,"PSEUDO"
"p253","human","high","NONCE","postTest","Male",26,5,5,0.807692307692308,"PSEUDO"
"p254","human","low","NONCE","postTest","Female",49,5,5,0.365384615384615,"PSEUDO"
"p255","human","low","NONCE","postTest","Female",28,5,4,0.192307692307692,"PSEUDO"
"p256","bot","low","NONCE","postTest","Female",29,3,5,0.673076923076923,"PSEUDO"
"p257","bot","low","NONCE","postTest","Male",22,4,4,0.538461538461538,"PSEUDO"
"p258","bot","high","NONCE","postTest","Male",25,5,5,0.538461538461538,"PSEUDO"
"p259","bot","high","NONCE","postTest","Male",24,4,4,0.673076923076923,"PSEUDO"
"p26","human","low","NONCE","postTest","Male",29,5,4,0.461538461538462,"PSEUDO"
"p260","bot","high","NONCE","postTest","Male",26,5,5,0.923076923076923,"PSEUDO"
"p261","bot","low","NONCE","postTest","Male",25,5,4,0.307692307692308,"PSEUDO"
"p262","bot","low","NONCE","postTest","Male",54,4,4,0.134615384615385,"PSEUDO"
"p263","bot","high","NONCE","postTest","Male",25,5,4,0.5,"PSEUDO"
"p264","bot","high","NONCE","postTest","Male",42,1,5,0.807692307692308,"PSEUDO"
"p265","bot","high","NONCE","postTest","Male",31,5,4,0.75,"PSEUDO"
"p266","bot","low","NONCE","postTest","Male",36,1,5,0.384615384615385,"PSEUDO"
"p267","bot","low","NONCE","postTest","Male",32,3,4,0.346153846153846,"PSEUDO"
"p268","bot","low","NONCE","postTest","Male",30,4,5,0.173076923076923,"PSEUDO"
