"gender","yearOfBirth","phase","weak.past","strong.past","category","sensibility","partnerRegRate","partnerRegCondition","item.reg.mean","response","regular","participant"
"Female",1990,"posttest","skeened","skent","kept","sensible",0.731,"increase",0.688,"skeened",TRUE,"s6108"
"Female",1990,"pretest","strined","strone","drove","sensible",0.731,"increase",0.559,"strined",TRUE,"s6108"
"Female",1990,"pretest","cheened","chent","kept","sensible",0.731,"increase",0.743,"cheened",TRUE,"s6108"
"Female",1990,"posttest","vrilled","vrilt","burnt","sensible",0.731,"increase",0.772,"vrilled",TRUE,"s6108"
"Female",1990,"pretest","greeled","grelt","kept","sensible",0.731,"increase",0.562,"grelt",FALSE,"s6108"
"Female",1990,"pretest","smilled","smilt","burnt","sensible",0.731,"increase",0.668,"smilled",TRUE,"s6108"
"Female",1990,"posttest","squeened","squent","kept","sensible",0.731,"increase",0.629,"squeened",TRUE,"s6108"
"Female",1990,"posttest","smimmed","smam","sang","sensible",0.731,"increase",0.579,"smimmed",TRUE,"s6108"
"Female",1990,"posttest","swided","swode","drove","sensible",0.731,"increase",0.356,"swode",FALSE,"s6108"
"Female",1990,"pretest","geeved","gove","drove","sensible",0.731,"increase",0.599,"gove",FALSE,"s6108"
"Female",1990,"posttest","ninked","nank","sang","sensible",0.731,"increase",0.647,"ninked",TRUE,"s6108"
"Female",1990,"posttest","pited","pote","drove","sensible",0.731,"increase",0.629,"pited",TRUE,"s6108"
"Female",1990,"pretest","yilled","yilt","burnt","sensible",0.731,"increase",0.718,"yilled",TRUE,"s6108"
"Female",1990,"pretest","zeeped","zept","kept","sensible",0.731,"increase",0.441,"zept",FALSE,"s6108"
"Female",1990,"pretest","thrided","throde","drove","sensible",0.731,"increase",0.376,"thrided",TRUE,"s6108"
"Female",1990,"pretest","geemed","gemt","kept","sensible",0.731,"increase",0.693,"gemt",FALSE,"s6108"
"Female",1990,"posttest","kleemed","klemt","kept","sensible",0.731,"increase",0.653,"kleemed",TRUE,"s6108"
"Female",1990,"pretest","plined","plone","drove","sensible",0.731,"increase",0.713,"plone",FALSE,"s6108"
"Female",1990,"posttest","thrimmed","thram","sang","sensible",0.731,"increase",0.683,"thrimmed",TRUE,"s6108"
"Female",1990,"posttest","slurned","slurnt","burnt","sensible",0.731,"increase",0.698,"slurned",TRUE,"s6108"
"Female",1990,"pretest","splurned","splurnt","burnt","sensible",0.731,"increase",0.703,"splurned",TRUE,"s6108"
"Female",1990,"pretest","zeemed","zemt","kept","sensible",0.731,"increase",0.663,"zeemed",TRUE,"s6108"
"Female",1990,"pretest","schmited","schmote","drove","sensible",0.731,"increase",0.45,"schmote",FALSE,"s6108"
"Female",1990,"posttest","gurned","gurnt","burnt","sensible",0.731,"increase",0.708,"gurned",TRUE,"s6108"
"Female",1990,"posttest","spinged","spang","sang","sensible",0.731,"increase",0.401,"spang",FALSE,"s6108"
"Female",1990,"posttest","trinked","trank","sang","sensible",0.731,"increase",0.49,"trank",FALSE,"s6108"
"Female",1990,"posttest","swurned","swurnt","burnt","sensible",0.731,"increase",0.723,"swurned",TRUE,"s6108"
"Female",1990,"posttest","pringed","prang","sang","sensible",0.731,"increase",0.465,"prang",FALSE,"s6108"
"Female",1990,"pretest","sweeled","swelt","kept","sensible",0.731,"increase",0.475,"swelt",FALSE,"s6108"
"Female",1990,"posttest","strimmed","stram","sang","sensible",0.731,"increase",0.619,"strimmed",TRUE,"s6108"
"Female",1990,"pretest","rurned","rurnt","burnt","sensible",0.731,"increase",0.731,"rurned",TRUE,"s6108"
"Female",1990,"pretest","gringed","grang","sang","sensible",0.731,"increase",0.515,"grang",FALSE,"s6108"
"Female",1990,"posttest","theeled","thelt","kept","sensible",0.731,"increase",0.495,"theeled",TRUE,"s6108"
"Female",1990,"pretest","jined","jone","drove","sensible",0.731,"increase",0.658,"jined",TRUE,"s6108"
"Female",1990,"posttest","glilled","glilt","burnt","sensible",0.731,"increase",0.673,"glilled",TRUE,"s6108"
"Female",1990,"posttest","dwimmed","dwam","sang","sensible",0.731,"increase",0.515,"dwam",FALSE,"s6108"
"Female",1990,"posttest","squeeped","squept","kept","sensible",0.731,"increase",0.52,"squeeped",TRUE,"s6108"
"Female",1990,"posttest","neemed","nemt","kept","sensible",0.731,"increase",0.658,"neemed",TRUE,"s6108"
"Female",1990,"posttest","twited","twote","drove","sensible",0.731,"increase",0.446,"twited",TRUE,"s6108"
"Female",1990,"posttest","prurned","prurnt","burnt","sensible",0.731,"increase",0.688,"prurned",TRUE,"s6108"
"Female",1990,"posttest","chimmed","cham","sang","sensible",0.731,"increase",0.743,"chimmed",TRUE,"s6108"
"Female",1990,"posttest","zited","zote","drove","sensible",0.731,"increase",0.54,"zited",TRUE,"s6108"
"Female",1990,"posttest","blurned","blurnt","burnt","sensible",0.731,"increase",0.639,"blurned",TRUE,"s6108"
"Female",1990,"posttest","squited","squote","drove","sensible",0.731,"increase",0.505,"squited",TRUE,"s6108"
"Female",1990,"posttest","sneemed","snemt","kept","sensible",0.731,"increase",0.713,"sneemed",TRUE,"s6108"
"Female",1990,"posttest","shinged","shang","sang","sensible",0.731,"increase",0.45,"shang",FALSE,"s6108"
"Female",1990,"posttest","jurned","jurnt","burnt","sensible",0.731,"increase",0.718,"jurned",TRUE,"s6108"
"Male",1985,"pretest","ninked","nank","sang","sensible",0.269,"decrease",0.647,"ninked",TRUE,"s6111"
"Male",1985,"pretest","smimmed","smam","sang","sensible",0.269,"decrease",0.579,"smam",FALSE,"s6111"
