"subject"	"condition"	"correct"	"correctAnswer"	"subj.gender"	"interlocutor"	"phase"	"promptImage"	"promptName"	"selection"	"targetImage"	"targetWord1"	"targetWord2"	"subj.yob"	"subject.age"	"trialNumber"
"s1000"	"nonsocial"	FALSE	"rultol"	"Female"	"male_side"	"test"	"bear_large_male"	"rul"	"rultas"	"bear_dimin"	"rultas"	"rultol"	1987	27	36
"s1000"	"nonsocial"	FALSE	"riktas"	"Female"	"male"	"test"	"pitcher_large"	"rik"	"riktol"	"pitcher_dimin"	"riktas"	"riktol"	1987	27	37
"s1000"	"nonsocial"	FALSE	"wuktas"	"Female"	"male"	"test"	"mushroom_large"	"wuk"	"wuktol"	"mushroom_dimin"	"wuktas"	"wuktol"	1987	27	38
"s1000"	"nonsocial"	TRUE	"wuktol"	"Female"	"male_side"	"test"	"mushroom_large"	"wuk"	"wuktol"	"mushroom_dimin"	"wuktas"	"wuktol"	1987	27	39
"s1000"	"nonsocial"	FALSE	"riltas"	"Female"	"female"	"test"	"bokchoy_large"	"ril"	"riltol"	"bokchoy_dimin"	"riltas"	"riltol"	1987	27	40
"s1000"	"nonsocial"	FALSE	"wantol"	"Female"	"male_side"	"test"	"bear_large_male"	"wan"	"wantas"	"bear_dimin"	"wantas"	"wantol"	1987	27	41
"s1000"	"nonsocial"	FALSE	"fistas"	"Female"	"female"	"test"	"fox_large_male"	"fis"	"fistol"	"fox_dimin"	"fistas"	"fistol"	1987	27	42
"s1000"	"nonsocial"	FALSE	"fentol"	"Female"	"male_side"	"test"	"candleholder_large"	"fen"	"fentas"	"candleholder_dimin"	"fentas"	"fentol"	1987	27	43
"s1000"	"nonsocial"	FALSE	"wuktas"	"Female"	"female"	"test"	"mushroom_large"	"wuk"	"wuktol"	"mushroom_dimin"	"wuktas"	"wuktol"	1987	27	44
"s1000"	"nonsocial"	FALSE	"wuntol"	"Female"	"male_side"	"test"	"gate_large"	"wun"	"wuntas"	"gate_dimin"	"wuntas"	"wuntol"	1987	27	45
"s1000"	"nonsocial"	FALSE	"peltol"	"Female"	"male_side"	"test"	"bokchoy_large"	"pel"	"peltas"	"bokchoy_dimin"	"peltas"	"peltol"	1987	27	46
"s1000"	"nonsocial"	FALSE	"rultol"	"Female"	"female_side"	"test"	"bear_large_male"	"rul"	"rultas"	"bear_dimin"	"rultas"	"rultol"	1987	27	47
"s1000"	"nonsocial"	TRUE	"fentas"	"Female"	"female"	"test"	"candleholder_large"	"fen"	"fentas"	"candleholder_dimin"	"fentas"	"fentol"	1987	27	48
"s1001"	"nonsocial"	FALSE	"pelfen"	"Female"	"female"	"test"	"candleholder_large"	"pel"	"pelrul"	"candleholder_dimin"	"pelfen"	"pelrul"	1990	24	1
"s1001"	"nonsocial"	FALSE	"wukfen"	"Female"	"male"	"test"	"mushroom_large"	"wuk"	"wukrul"	"mushroom_dimin"	"wukfen"	"wukrul"	1990	24	2
"s1001"	"nonsocial"	TRUE	"wukrul"	"Female"	"male_side"	"test"	"mushroom_large"	"wuk"	"wukrul"	"mushroom_dimin"	"wukfen"	"wukrul"	1990	24	3
"s1001"	"nonsocial"	TRUE	"tasfen"	"Female"	"male"	"test"	"fox_large_male"	"tas"	"tasfen"	"fox_dimin"	"tasfen"	"tasrul"	1990	24	4
"s1001"	"nonsocial"	TRUE	"rilrul"	"Female"	"female_side"	"test"	"chair_large"	"ril"	"rilrul"	"chair_dimin"	"rilfen"	"rilrul"	1990	24	5
"s1001"	"nonsocial"	TRUE	"wukrul"	"Female"	"female_side"	"test"	"mushroom_large"	"wuk"	"wukrul"	"mushroom_dimin"	"wukfen"	"wukrul"	1990	24	6
"s1001"	"nonsocial"	FALSE	"rilfen"	"Female"	"female"	"test"	"chair_large"	"ril"	"rilrul"	"chair_dimin"	"rilfen"	"rilrul"	1990	24	7
"s1001"	"nonsocial"	TRUE	"tolrul"	"Female"	"male_side"	"test"	"pitcher_large"	"tol"	"tolrul"	"pitcher_dimin"	"tolfen"	"tolrul"	1990	24	8
"s1001"	"nonsocial"	FALSE	"tasrul"	"Female"	"female_side"	"test"	"fox_large_male"	"tas"	"tasfen"	"fox_dimin"	"tasfen"	"tasrul"	1990	24	9
"s1001"	"nonsocial"	TRUE	"fisrul"	"Female"	"male_side"	"test"	"bokchoy_large"	"fis"	"fisrul"	"bokchoy_dimin"	"fisfen"	"fisrul"	1990	24	10
"s1001"	"nonsocial"	TRUE	"fisrul"	"Female"	"female_side"	"test"	"bokchoy_large"	"fis"	"fisrul"	"bokchoy_dimin"	"fisfen"	"fisrul"	1990	24	11
"s1001"	"nonsocial"	TRUE	"tosrul"	"Female"	"male_side"	"test"	"bokchoy_large"	"tos"	"tosrul"	"bokchoy_dimin"	"tosfen"	"tosrul"	1990	24	12
"s1001"	"nonsocial"	FALSE	"falrul"	"Female"	"male_side"	"test"	"gate_large"	"fal"	"falfen"	"gate_dimin"	"falfen"	"falrul"	1990	24	13
"s1001"	"nonsocial"	FALSE	"wunfen"	"Female"	"female"	"test"	"chair_large"	"wun"	"wunrul"	"chair_dimin"	"wunfen"	"wunrul"	1990	24	14
"s1001"	"nonsocial"	FALSE	"fisfen"	"Female"	"male"	"test"	"bokchoy_large"	"fis"	"fisrul"	"bokchoy_dimin"	"fisfen"	"fisrul"	1990	24	15
"s1001"	"nonsocial"	FALSE	"wunfen"	"Female"	"male"	"test"	"chair_large"	"wun"	"wunrul"	"chair_dimin"	"wunfen"	"wunrul"	1990	24	16
"s1001"	"nonsocial"	TRUE	"tosfen"	"Female"	"male"	"test"	"bokchoy_large"	"tos"	"tosfen"	"bokchoy_dimin"	"tosfen"	"tosrul"	1990	24	17
"s1001"	"nonsocial"	TRUE	"fekrul"	"Female"	"female_side"	"test"	"bear_large_male"	"fek"	"fekrul"	"bear_dimin"	"fekfen"	"fekrul"	1990	24	18
"s1001"	"nonsocial"	FALSE	"rikfen"	"Female"	"female"	"test"	"bear_large_male"	"rik"	"rikrul"	"bear_dimin"	"rikfen"	"rikrul"	1990	24	19
"s1001"	"nonsocial"	TRUE	"falrul"	"Female"	"female_side"	"test"	"gate_large"	"fal"	"falrul"	"gate_dimin"	"falfen"	"falrul"	1990	24	20
"s1001"	"nonsocial"	FALSE	"tosrul"	"Female"	"female_side"	"test"	"bokchoy_large"	"tos"	"tosfen"	"bokchoy_dimin"	"tosfen"	"tosrul"	1990	24	21
"s1001"	"nonsocial"	TRUE	"wukfen"	"Female"	"female"	"test"	"mushroom_large"	"wuk"	"wukfen"	"mushroom_dimin"	"wukfen"	"wukrul"	1990	24	22
"s1001"	"nonsocial"	FALSE	"fekrul"	"Female"	"male_side"	"test"	"bear_large_male"	"fek"	"fekfen"	"bear_dimin"	"fekfen"	"fekrul"	1990	24	23
"s1001"	"nonsocial"	TRUE	"rikfen"	"Female"	"male"	"test"	"bear_large_male"	"rik"	"rikfen"	"bear_dimin"	"rikfen"	"rikrul"	1990	24	24
"s1001"	"nonsocial"	FALSE	"wanrul"	"Female"	"female_side"	"test"	"fox_large_male"	"wan"	"wanfen"	"fox_dimin"	"wanfen"	"wanrul"	1990	24	25
"s1001"	"nonsocial"	TRUE	"tosfen"	"Female"	"female"	"test"	"bokchoy_large"	"tos"	"tosfen"	"bokchoy_dimin"	"tosfen"	"tosrul"	1990	24	26
"s1001"	"nonsocial"	FALSE	"tolfen"	"Female"	"male"	"test"	"pitcher_large"	"tol"	"tolrul"	"pitcher_dimin"	"tolfen"	"tolrul"	1990	24	27
"s1001"	"nonsocial"	TRUE	"pelfen"	"Female"	"male"	"test"	"candleholder_large"	"pel"	"pelfen"	"candleholder_dimin"	"pelfen"	"pelrul"	1990	24	28
"s1001"	"nonsocial"	TRUE	"rilrul"	"Female"	"male_side"	"test"	"chair_large"	"ril"	"rilrul"	"chair_dimin"	"rilfen"	"rilrul"	1990	24	29
"s1001"	"nonsocial"	TRUE	"fekfen"	"Female"	"female"	"test"	"bear_large_male"	"fek"	"fekfen"	"bear_dimin"	"fekfen"	"fekrul"	1990	24	30
"s1001"	"nonsocial"	TRUE	"pelrul"	"Female"	"male_side"	"test"	"candleholder_large"	"pel"	"pelrul"	"candleholder_dimin"	"pelfen"	"pelrul"	1990	24	31
"s1001"	"nonsocial"	TRUE	"rikrul"	"Female"	"female_side"	"test"	"bear_large_male"	"rik"	"rikrul"	"bear_dimin"	"rikfen"	"rikrul"	1990	24	32
"s1001"	"nonsocial"	TRUE	"tasfen"	"Female"	"female"	"test"	"fox_large_male"	"tas"	"tasfen"	"fox_dimin"	"tasfen"	"tasrul"	1990	24	33
"s1001"	"nonsocial"	TRUE	"falfen"	"Female"	"female"	"test"	"gate_large"	"fal"	"falfen"	"gate_dimin"	"falfen"	"falrul"	1990	24	34
"s1001"	"nonsocial"	TRUE	"rilfen"	"Female"	"male"	"test"	"chair_large"	"ril"	"rilfen"	"chair_dimin"	"rilfen"	"rilrul"	1990	24	35
"s1001"	"nonsocial"	TRUE	"fekfen"	"Female"	"male"	"test"	"bear_large_male"	"fek"	"fekfen"	"bear_dimin"	"fekfen"	"fekrul"	1990	24	36
"s1001"	"nonsocial"	TRUE	"fisfen"	"Female"	"female"	"test"	"bokchoy_large"	"fis"	"fisfen"	"bokchoy_dimin"	"fisfen"	"fisrul"	1990	24	37
"s1001"	"nonsocial"	TRUE	"tolrul"	"Female"	"female_side"	"test"	"pitcher_large"	"tol"	"tolrul"	"pitcher_dimin"	"tolfen"	"tolrul"	1990	24	38
"s1001"	"nonsocial"	FALSE	"tasrul"	"Female"	"male_side"	"test"	"fox_large_male"	"tas"	"tasfen"	"fox_dimin"	"tasfen"	"tasrul"	1990	24	39
"s1001"	"nonsocial"	FALSE	"wanrul"	"Female"	"male_side"	"test"	"fox_large_male"	"wan"	"wanfen"	"fox_dimin"	"wanfen"	"wanrul"	1990	24	40
"s1001"	"nonsocial"	FALSE	"tolfen"	"Female"	"female"	"test"	"pitcher_large"	"tol"	"tolrul"	"pitcher_dimin"	"tolfen"	"tolrul"	1990	24	41
"s1001"	"nonsocial"	TRUE	"pelrul"	"Female"	"female_side"	"test"	"candleholder_large"	"pel"	"pelrul"	"candleholder_dimin"	"pelfen"	"pelrul"	1990	24	42
