"subject","trialNumber","condition","correct","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","subject.gender","subject.age","phase"
"s1382",18,"linguistic",TRUE,"ralpak","female_side","fox_large_male","ral","fox_dimin","ralpek","ralpak","ralpak","Female",33,"training"
"s1382",19,"linguistic",TRUE,"wenpek","female","bokchoy_large","wen","bokchoy_dimin","wenpek","wenpak","wenpek","Female",33,"training"
"s1382",20,"linguistic",TRUE,"wekpek","female","pitcher_large","wek","pitcher_dimin","wekpek","wekpak","wekpek","Female",33,"training"
"s1382",21,"linguistic",TRUE,"wekpek","male_side","pitcher_large","wek","pitcher_dimin","wekpek","wekpak","wekpek","Female",33,"training"
"s1382",22,"linguistic",TRUE,"fekpek","female_side","fox_large_male","fek","fox_dimin","fekpek","fekpak","fekpek","Female",33,"training"
"s1382",23,"linguistic",TRUE,"wenpek","male","bokchoy_large","wen","bokchoy_dimin","wenpek","wenpak","wenpek","Female",33,"training"
"s1382",24,"linguistic",TRUE,"ralpak","female","fox_large_male","ral","fox_dimin","ralpek","ralpak","ralpak","Female",33,"training"
"s1382",25,"linguistic",TRUE,"rakpak","male","chair_large","rak","chair_dimin","rakpek","rakpak","rakpak","Female",33,"training"
"s1382",26,"linguistic",TRUE,"rakpak","male_side","chair_large","rak","chair_dimin","rakpek","rakpak","rakpak","Female",33,"training"
"s1382",27,"linguistic",TRUE,"fekpek","male","fox_large_male","fek","fox_dimin","fekpek","fekpak","fekpek","Female",33,"training"
"s1382",28,"linguistic",TRUE,"wenpek","male_side","bokchoy_large","wen","bokchoy_dimin","wenpek","wenpak","wenpek","Female",33,"training"
"s1384",1,"linguistic",TRUE,"wekpek","male","mushroom_large","wek","mushroom_dimin","wekpek","wekpak","wekpek","Male",29,"training"
"s1384",2,"linguistic",FALSE,"falpak","female","fox_large_male","fal","fox_dimin","falpek","falpak","falpek","Male",29,"training"
