"participant","regular","partnerRegCondition","partnerSensibility","phase","gender","yearOfBirth","age","verb.baseline.reg","irregForm","regForm"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.52,"squept","squeeped"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.743,"chent","cheened"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.554,"klote","klited"
"s6029",FALSE,"increase","sensible","posttest","Male",1986,29,0.49,"splank","splinked"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.668,"smilt","smilled"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.52,"skang","skinged"
"s6029",FALSE,"increase","sensible","posttest","Male",1986,29,0.46,"shrang","shringed"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.356,"swode","swided"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.668,"lelt","lelled"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.51,"strelt","streeled"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.614,"slone","slined"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.391,"brove","brived"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.718,"yilt","yilled"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.584,"glang","glinged"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.475,"splode","splided"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.401,"spang","spinged"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.683,"thram","thrimmed"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.634,"drent","dreened"
"s6029",FALSE,"increase","sensible","posttest","Male",1986,29,0.629,"sprelt","sprelled"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.446,"twote","twited"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.693,"klilt","klilled"
"s6029",FALSE,"increase","sensible","posttest","Male",1986,29,0.455,"snang","sninged"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.748,"drurnt","drurned"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.54,"twam","twimmed"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.554,"brurnt","brurned"
"s6029",FALSE,"increase","sensible","posttest","Male",1986,29,0.411,"thrang","thringed"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.733,"zam","zimmed"
"s6029",FALSE,"increase","sensible","posttest","Male",1986,29,0.47,"quode","quided"
"s6029",FALSE,"increase","sensible","pretest","Male",1986,29,0.426,"strote","strited"
"s6029",FALSE,"increase","sensible","posttest","Male",1986,29,0.614,"jank","jinked"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.639,"mang","minged"
"s6029",TRUE,"increase","sensible","posttest","Male",1986,29,0.475,"swelt","sweeled"
"s6029",TRUE,"increase","sensible","pretest","Male",1986,29,0.629,"squent","squeened"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.649,"schmemt","schmeemed"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.713,"plone","plined"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.733,"skrilt","skrilled"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.562,"grelt","greeled"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.559,"strone","strined"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.698,"slurnt","slurned"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.559,"twelt","twelled"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.431,"dwank","dwinked"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.639,"blurnt","blurned"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.639,"mang","minged"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.629,"sprelt","sprelled"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.376,"throde","thrided"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.653,"klemt","kleemed"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.688,"skent","skeened"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.515,"blode","blided"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.703,"splurnt","splurned"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.748,"drurnt","drurned"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.629,"squent","squeened"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.54,"twam","twimmed"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.614,"trone","trined"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.51,"strelt","streeled"
"s6031",FALSE,"increase","sensible","pretest","Female",1969,46,0.46,"shrang","shringed"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.718,"jurnt","jurned"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.554,"klote","klited"
"s6031",FALSE,"increase","sensible","posttest","Female",1969,46,0.52,"squept","squeeped"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.391,"brove","brived"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.743,"chent","cheened"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.668,"lelt","lelled"
"s6031",TRUE,"increase","sensible","posttest","Female",1969,46,0.495,"thelt","theeled"
"s6031",TRUE,"increase","sensible","pretest","Female",1969,46,0.644,"stelt","stelled"
