participant,gender,yearOfBirth,phase,weak.past,strong.past,category,partner.prefs,partnerRegRate,partnerRegCondition,item.baseline.reg,response,regular,pretest.mean,age
s6023,Female,1958,posttest,squined,squone,drove,match.baseline,0.654,no.change,0.678,squone,FALSE,0.653846154,57
s6023,Female,1958,posttest,dwilled,dwilt,burnt,match.baseline,0.654,no.change,0.673,dwilled,TRUE,0.653846154,57
s6023,Female,1958,posttest,snined,snone,drove,match.baseline,0.654,no.change,0.644,snone,FALSE,0.653846154,57
s6023,Female,1958,posttest,skrurned,skrurnt,burnt,match.baseline,0.654,no.change,0.668,skrurned,TRUE,0.653846154,57
s6023,Female,1958,posttest,snited,snote,drove,match.baseline,0.654,no.change,0.53,snote,FALSE,0.653846154,57
s6023,Female,1958,posttest,swited,swote,drove,match.baseline,0.654,no.change,0.46,swote,FALSE,0.653846154,57
s6023,Female,1958,posttest,skurned,skurnt,burnt,match.baseline,0.654,no.change,0.733,skurned,TRUE,0.653846154,57
s6023,Female,1958,posttest,fleeled,flelt,kept,match.baseline,0.654,no.change,0.525,flelt,FALSE,0.653846154,57
s6023,Female,1958,posttest,neened,nent,kept,match.baseline,0.654,no.change,0.663,neened,TRUE,0.653846154,57
s6023,Female,1958,posttest,quinged,quang,sang,match.baseline,0.654,no.change,0.53,quang,FALSE,0.653846154,57
s6023,Female,1958,posttest,kleeled,klelt,kept,match.baseline,0.654,no.change,0.554,kleeled,TRUE,0.653846154,57
s6023,Female,1958,posttest,spreemed,spremt,kept,match.baseline,0.654,no.change,0.639,spremt,FALSE,0.653846154,57
s6023,Female,1958,posttest,preemed,premt,kept,match.baseline,0.654,no.change,0.678,premt,FALSE,0.653846154,57
s6023,Female,1958,posttest,dweeped,dwept,kept,match.baseline,0.654,no.change,0.426,dwept,FALSE,0.653846154,57
s6023,Female,1958,posttest,twinked,twank,sang,match.baseline,0.654,no.change,0.594,twank,FALSE,0.653846154,57
s6023,Female,1958,posttest,schmimmed,schmam,sang,match.baseline,0.654,no.change,0.634,schmam,FALSE,0.653846154,57
s6023,Female,1958,posttest,beeved,bove,drove,match.baseline,0.654,no.change,0.574,bove,FALSE,0.653846154,57
s6023,Female,1958,posttest,sprided,sprode,drove,match.baseline,0.654,no.change,0.347,sprode,FALSE,0.653846154,57
s6023,Female,1958,posttest,skrinked,skrank,sang,match.baseline,0.654,no.change,0.45,skrank,FALSE,0.653846154,57
s6023,Female,1958,posttest,shrided,shrode,drove,match.baseline,0.654,no.change,0.376,shrode,FALSE,0.653846154,57
s6023,Female,1958,posttest,prilled,prilt,burnt,match.baseline,0.654,no.change,0.713,prilled,TRUE,0.653846154,57
s6023,Female,1958,posttest,vinked,vank,sang,match.baseline,0.654,no.change,0.624,vinked,TRUE,0.653846154,57
s6023,Female,1958,posttest,dwided,dwode,drove,match.baseline,0.654,no.change,0.416,dwode,FALSE,0.653846154,57
s6023,Female,1958,posttest,vrinked,vrank,sang,match.baseline,0.654,no.change,0.515,vrinked,TRUE,0.653846154,57
s6023,Female,1958,posttest,snurned,snurnt,burnt,match.baseline,0.654,no.change,0.757,snurnt,FALSE,0.653846154,57
s6023,Female,1958,posttest,murned,murnt,burnt,match.baseline,0.654,no.change,0.723,murned,TRUE,0.653846154,57
s6023,Female,1958,posttest,skelled,skelt,burnt,match.baseline,0.654,no.change,0.584,skelled,TRUE,0.653846154,57
s6023,Female,1958,posttest,sminked,smank,sang,match.baseline,0.654,no.change,0.579,sminked,TRUE,0.653846154,57
s6023,Female,1958,posttest,slilled,slilt,burnt,match.baseline,0.654,no.change,0.693,slilt,FALSE,0.653846154,57
s6023,Female,1958,posttest,shreened,shrent,kept,match.baseline,0.654,no.change,0.693,shreened,TRUE,0.653846154,57
s6023,Female,1958,posttest,skrined,skrone,drove,match.baseline,0.654,no.change,0.599,skrone,FALSE,0.653846154,57
