"Word","Valence.M","Arousal.M","Dominance.M","Word.Frequency","Valence.F","Arousal.F","Dominance.F","Freq.Bin","Freq.Colour"
"black",5.92,4.54,5.88,203,4.88,4.68,4.44,"HIGH","red"
"blackmail",3,5.2,3,2,2.93,6.31,3.72,"LOW","blue"
"bland",4.1,3.45,4.95,3,4.09,3.14,4.82,"LOW","blue"
"blase",5,4.35,4.38,7,4.79,3.58,4.74,"MID","darkgreen"
"blasphemy",3.65,4.55,4.75,4,3.83,5.25,4.75,"LOW","blue"
"bless",6.35,4.12,5.29,9,7.73,4,5.68,"MID","darkgreen"
"blind",2.71,3.69,3.06,47,3.35,4.95,3.45,"HIGH","red"
"bliss",7.17,5.06,6.5,4,6.8,4.12,5.84,"LOW","blue"
"blister",3.48,3.81,4.38,3,2.25,4.4,3.55,"LOW","blue"
"blond",6.64,6.05,6,11,6.2,4,5.45,"MID","darkgreen"
"blossom",7.53,5.67,5.53,7,7.09,4.61,5.52,"MID","darkgreen"
"blubber",3.83,4.56,4.5,1,3.31,4.58,3.42,"LOW","blue"
"blue",7.16,4,5.92,143,6.38,4.62,5.35,"HIGH","red"
"board",4.58,3.26,4.63,239,5,3.56,5.24,"HIGH","red"
"body",5.75,5.6,5.25,276,5.38,5.46,5.42,"HIGH","red"
"bold",6.25,4.75,6.92,21,7,5.94,6.58,"MID","darkgreen"
"bomb",2.7,6.7,4.6,36,1.9,7.31,4.52,"HIGH","red"
"book",5.9,4.15,5.15,193,5.55,4.2,5.45,"HIGH","red"
"bored",2.82,2.88,4.06,14,3.05,2.8,4.15,"MID","darkgreen"
"bottle",6.09,5.45,4.68,76,6.21,4.26,4.89,"HIGH","red"
"bouquet",6.52,5.1,6.24,4,7.55,5.85,6.05,"LOW","blue"
"bowl",4.8,3.4,5,23,5.54,3.5,4.58,"MID","darkgreen"
"boxer",6.12,5.2,5.48,1,4.92,5.04,4.73,"LOW","blue"
"boy",5.4,3.73,4.33,242,6.91,5.13,6,"HIGH","red"
"brave",6.76,5.95,7.14,24,7.55,6.35,7.3,"MID","darkgreen"
"breeze",6.52,4.29,5.57,14,7.2,4.45,5.5,"MID","darkgreen"
"bride",6.7,4.7,5.84,33,7.88,6.25,5.67,"HIGH","red"
"bright",7.05,5.45,6.15,87,7.91,5.62,6.52,"HIGH","red"
"broken",3.5,5.39,4.17,63,2.73,5.46,4.12,"HIGH","red"
"brother",6.83,5.55,5.36,73,7.26,4.3,5,"HIGH","red"
"brutal",3.25,5.65,5.2,7,2.46,7.36,4.12,"MID","darkgreen"
"building",5.56,4.08,5.24,160,5.04,3.77,5.27,"HIGH","red"
"bullet",4.2,5.45,5.2,28,2.45,5.48,2.67,"MID","darkgreen"
"bunny",6.71,4.38,4.88,1,7.7,3.8,5.05,"LOW","blue"
"burdened",2.71,5.46,5.62,4,2.38,5.72,4.72,"LOW","blue"
"burial",2.62,4.64,3.92,11,1.77,5.32,3.36,"MID","darkgreen"
"burn",3.12,6.4,4.52,15,2.35,6.04,3.92,"MID","darkgreen"
