"Word","Valence.M","Arousal.M","Dominance.M","Word.Frequency","Valence.F","Arousal.F","Dominance.F","Freq.Bin","Freq.Colour"
"friend",7.18,6.38,6.25,133,8.12,5.35,7.04,"HIGH","red"
"friendly",8.29,4.77,6.15,61,8.5,5.28,5.8,"HIGH","red"
"frigid",3.44,4.61,4.44,5,3.54,4.85,4.15,"LOW","blue"
"frustrated",2.7,5.55,3.7,10,2.31,5.65,3.35,"MID","darkgreen"
"fun",8.21,7.11,6.79,44,8.5,7.32,6.82,"HIGH","red"
"funeral",1.64,4,2.71,33,1.23,5.55,3.14,"HIGH","red"
"fungus",3.83,4.18,4.36,2,2.65,4.91,3.91,"LOW","blue"
"fur",5.5,3.55,4.82,13,4,4.48,4.09,"MID","darkgreen"
"game",7.58,6.32,5.74,123,6.52,5.58,5.68,"HIGH","red"
"gangrene",2.73,5.93,3.6,0,2.06,5.59,3.25,"LOW","blue"
"garbage",3.45,4.3,4.75,7,2.62,5.64,3.85,"MID","darkgreen"
"garden",6.43,4.76,6.19,60,7,4,5.85,"HIGH","red"
"garment",5.47,3.95,4.84,6,6.52,4.88,5.64,"LOW","blue"
"garter",6.92,6.08,6.04,2,5.54,4.88,5.62,"LOW","blue"
"gender",5.6,4.35,5.58,2,5.86,4.41,5.62,"LOW","blue"
"gentle",6.9,2.9,4.7,27,7.45,3.31,5.24,"MID","darkgreen"
"germs",2.9,4.29,3.9,1,2.81,4.68,3.67,"LOW","blue"
"gift",6.6,5.27,5.13,33,8.38,6.59,5.72,"HIGH","red"
"girl",7.6,5.85,5.85,220,6.31,3.04,5.77,"HIGH","red"
"glacier",5.67,4.53,4.8,1,5.39,4.04,5,"LOW","blue"
"glamour",6.13,4.6,5.6,5,7.17,4.74,5.87,"LOW","blue"
"glass",4.5,4.44,5.28,99,4.92,4.15,4.81,"HIGH","red"
"gloom",2.08,4.17,4,14,1.79,3.68,3.36,"MID","darkgreen"
"glory",7.4,6.13,7,21,7.62,5.97,6.78,"MID","darkgreen"
"gold",7.92,6.45,5.73,52,7.35,5.43,5.91,"HIGH","red"
"golfer",5.76,3.84,5.68,3,5.46,3.62,5.42,"LOW","blue"
"good",7.33,5.05,5.78,807,7.59,6.05,6.95,"HIGH","red"
"gossip",3.75,5.1,3.9,13,3.23,6.32,3.27,"MID","darkgreen"
"graduate",8,7.56,6.69,30,8.35,7,7.15,"HIGH","red"
"grass",5.85,4.85,5.55,53,6.38,3.67,5.33,"HIGH","red"
"grateful",7.33,4.27,6.2,25,7.39,4.78,6.17,"MID","darkgreen"
"greed",4.14,5.38,5.24,3,2.85,4,4.5,"LOW","blue"
"green",5.3,4.8,4.2,116,6.48,4.1,5.03,"HIGH","red"
"greet",6.95,5.29,6.24,7,7.05,5.25,5.65,"MID","darkgreen"
"grenade",3.9,5.48,4.76,3,3.32,5.91,3.81,"LOW","blue"
"grief",1.8,4.7,4.4,10,1.65,4.81,3.15,"MID","darkgreen"
"grime",3.95,4.37,4.72,0,2.86,3.64,4.27,"LOW","blue"
"grin",6.89,5.7,6.32,13,7.79,4.92,5.75,"MID","darkgreen"
"gripe",3.25,4.95,4.25,0,3.05,5.05,5.05,"LOW","blue"
"guillotine",4,6.25,5,0,1.82,6.69,4.48,"LOW","blue"
"guilty",2.75,5.05,3.5,29,2.54,6.81,2.77,"MID","darkgreen"
"gun",4.72,7.08,4.36,118,2.27,6.96,2.73,"HIGH","red"
"gymnast",6.44,4.48,5.32,1,6.27,5.54,5.31,"LOW","blue"
"habit",4.15,3.85,4.4,23,4.08,4.04,4.21,"MID","darkgreen"
"hairdryer",4.88,3.8,5.24,0,4.8,3.62,5.88,"LOW","blue"
"hairpin",5.4,3.5,5.11,1,5.13,3.22,5,"LOW","blue"
"hamburger",6.95,4.95,5.58,6,5.68,4.18,5.09,"LOW","blue"
"hammer",4.75,4.65,5.25,9,5,4.5,4.25,"MID","darkgreen"
"hand",5.84,4.6,5.84,431,6.05,4.43,4.9,"HIGH","red"
"handicap",3.62,3.68,4.14,6,2.95,3.95,3.85,"LOW","blue"
"handsome",7.5,4.42,5.58,40,8.09,6.55,5.03,"HIGH","red"
"haphazard",3.64,3.68,4.14,2,4.45,4.5,4.45,"LOW","blue"
"happy",8.25,7,6.73,98,8.19,6.19,6.58,"HIGH","red"
"hard",5.68,5.42,5.84,202,4.82,4.86,5.36,"HIGH","red"
"hardship",3,4.7,5.15,9,1.95,5.05,3.33,"MID","darkgreen"
"hat",5.58,4.53,5.47,56,5.36,3.73,5.32,"HIGH","red"
"hate",2.92,7.33,5.42,42,1.79,6.79,4.9,"HIGH","red"
"hatred",2.53,6.47,4.6,20,1.69,6.76,4.14,"MID","darkgreen"
"hawk",6.33,4.08,5.71,14,5.46,4.68,5.31,"MID","darkgreen"
"hay",5.19,4.81,5.81,19,5.3,3.05,4.9,"MID","darkgreen"
"headache",2.24,5.18,4.24,5,1.88,5,3.16,"LOW","blue"
"headlight",5.05,3.77,4.76,0,5.45,3.85,5,"LOW","blue"
"heal",6.71,4.86,5.29,2,7.45,4.9,6.29,"LOW","blue"
"health",6.93,5.33,5.87,105,6.75,5.03,5.81,"HIGH","red"
"heart",6.9,6.14,5.48,173,7.9,6.55,5.5,"HIGH","red"
"heaven",7.07,6.53,6.2,43,7.41,5.16,6.12,"HIGH","red"
"helpless",2.2,4.87,2.53,21,2.19,5.62,2.12,"MID","darkgreen"
"heroin",3.85,4.45,4.2,2,4.79,5.67,5.29,"LOW","blue"
"hide",5.07,4.47,4.27,22,3.97,5.66,3,"MID","darkgreen"
"highway",6.04,4.8,5.64,40,5.8,5.52,5.68,"HIGH","red"
"hinder",3.86,4.09,4.18,0,3.75,4.15,4.25,"LOW","blue"
"history",6,4.12,5.19,286,4.77,3.81,4.62,"HIGH","red"
"hit",5.44,5.4,5.67,115,3.27,6.04,4.15,"HIGH","red"
"holiday",7.3,7.1,6.9,17,7.75,6.17,5.79,"MID","darkgreen"
"home",7.71,4.29,6.35,547,8.04,4.16,5.6,"HIGH","red"
"honest",7.21,5.71,5.21,47,8,5.09,6.87,"HIGH","red"
"honey",6.53,4.53,5.68,25,6.91,4.5,5.23,"MID","darkgreen"
"honor",7.6,6.13,6.14,66,7.69,5.77,7,"HIGH","red"
"hope",6.67,4.84,5.32,178,7.32,5.88,5.68,"HIGH","red"
"hopeful",7.07,6.27,5.47,12,7.12,5.5,5.38,"MID","darkgreen"
"horror",3.18,6.44,4.62,17,2.48,7.69,4.64,"MID","darkgreen"
"horse",5.6,3.5,4.2,117,6,4.04,4.85,"HIGH","red"
"hospital",5.05,5,4.8,110,5.04,6.73,4.6,"HIGH","red"
"hostage",2.25,5.5,3.2,2,2.15,7.73,2.54,"LOW","blue"
"hostile",3.33,6.8,5.73,19,2.38,6.23,4.35,"MID","darkgreen"
"hotel",6.67,5.26,5.33,126,5.52,4.46,4.96,"HIGH","red"
"house",7.29,4.04,6.38,591,7.23,5.04,5.81,"HIGH","red"
"hug",7.67,5.55,5.27,3,8.17,5.26,6.04,"LOW","blue"
"humane",6.17,4.83,5.67,5,7.38,4.27,5.73,"LOW","blue"
"humble",6,3.53,5.06,18,5.76,3.88,4.56,"MID","darkgreen"
"humiliate",2.2,6.35,2.9,0,2.27,5.95,2.32,"LOW","blue"
"humor",8.2,4.3,5.2,47,8.69,5.96,6.42,"HIGH","red"
"hungry",3.67,5.2,4.67,23,3.52,5.09,4.7,"MID","darkgreen"
"hurricane",4.19,6.67,3.76,8,2.45,7,2.35,"MID","darkgreen"
"hurt",2.55,6.27,3.82,37,1.66,5.68,3.14,"HIGH","red"
"hydrant",5.08,3.64,5.52,0,4.96,3.77,5.54,"LOW","blue"
"icebox",5,4.84,5,3,4.91,3.59,5.09,"LOW","blue"
"idea",6.43,5.57,5.62,195,7.57,6.14,6.9,"HIGH","red"
"identity",6.23,5.09,6.32,55,6.95,4.8,6.5,"HIGH","red"
"idiot",3.4,4.8,4.4,2,3,3.83,2.39,"LOW","blue"
"idol",5.71,4.76,5.52,7,6.55,5.15,5.2,"MID","darkgreen"
"ignorance",2.9,3.85,4.45,16,3.21,4.83,4.38,"MID","darkgreen"
"illness",2.7,4.6,3.7,20,2.27,4.82,2.77,"MID","darkgreen"
"imagine",7.1,5.6,6.5,61,7.52,6.32,7.62,"HIGH","red"
"immature",4.1,4.19,4.95,7,2.65,4.1,4.75,"MID","darkgreen"
"immoral",3.75,4.75,4.65,5,3.29,5.17,4.67,"LOW","blue"
"impair",3.42,3.47,4.21,4,3,4.46,4,"LOW","blue"
"impotent",3.24,4.69,4.25,2,2.54,4.5,2.92,"LOW","blue"
"impressed",6.77,5.77,5.93,30,7.62,5.24,5.28,"HIGH","red"
"improve",7.35,5.56,5.94,39,7.9,5.8,6.2,"HIGH","red"
"incentive",7.05,5.7,5.95,12,6.95,5.95,5.9,"MID","darkgreen"
"indifferent",4.8,3.2,4.7,11,4.46,3.17,4.96,"MID","darkgreen"
"industry",5.8,4.73,5.67,171,5.06,4.34,4.56,"HIGH","red"
"infant",6.05,4.64,5.55,11,7.95,5.5,5.8,"MID","darkgreen"
"infatuation",6.96,7.08,5.48,4,6.5,6.96,4.32,"LOW","blue"
"infection",1.93,4.73,4,8,1.48,5.22,3.35,"MID","darkgreen"
"inferior",3.09,3.27,3,7,3.05,4.45,2.55,"MID","darkgreen"
"inhabitant",4.79,4.74,5.58,0,5.27,3.27,5.18,"LOW","blue"
"injury",3.16,5.56,3.8,27,1.85,5.81,3.35,"MID","darkgreen"
"ink",5,3.54,4.54,7,5.08,4,4.64,"MID","darkgreen"
"innocent",6.25,4.65,5.16,37,6.76,3.82,5.38,"HIGH","red"
"insane",3.58,5.68,4.95,13,2.23,5.95,3.41,"MID","darkgreen"
"insect",4.5,4.15,4.9,14,3.68,4.19,4.24,"MID","darkgreen"
"insecure",2.2,3.9,2.5,3,2.41,6.14,2.28,"LOW","blue"
"insolent",4.71,5.69,4.88,2,4.12,5.19,4.27,"LOW","blue"
"inspire",6.4,5.07,6.13,3,7.35,4.96,6.48,"LOW","blue"
"inspired",6.6,6,6.45,25,7.58,6.04,6.85,"MID","darkgreen"
"insult",3,5.37,4.44,7,1.68,6.55,2.95,"MID","darkgreen"
"intellect",6.72,4.78,6.83,5,6.88,4.92,5.92,"LOW","blue"
"interest",7,5.18,5.73,330,7.3,5.87,5.83,"HIGH","red"
"intimate",7.74,7.05,6.05,21,7.52,6.92,5.72,"MID","darkgreen"
"intruder",3.78,6.44,4.83,1,2.08,7.15,3.42,"LOW","blue"
"invader",3.75,4.3,3.95,1,2.46,6.5,4.04,"LOW","blue"
"invest",5.64,5.41,5.68,3,6.25,4.8,6.1,"LOW","blue"
"iron",5.28,4,5.25,43,4.54,3.54,4.96,"HIGH","red"
"irritate",2.87,5.13,5.2,0,3.26,6.17,4.91,"LOW","blue"
"item",5.32,3.5,5.09,54,5.2,2.95,5.45,"HIGH","red"
"jail",2,5.13,3.13,21,1.91,5.73,4.27,"MID","darkgreen"
"jealousy",2.65,5.55,3.35,4,2.4,7,4.16,"LOW","blue"
"jelly",5.75,4.08,5.08,3,5.62,3.54,4.29,"LOW","blue"
"jewel",6.3,5.6,4.8,1,7.24,5.31,5.86,"LOW","blue"
"joke",8.19,6.67,6.24,22,8,6.82,6.05,"MID","darkgreen"
"jolly",7.38,5.68,6.33,4,7.45,5.45,6.45,"LOW","blue"
"journal",4.95,4.45,4.85,42,5.32,3.68,5.64,"HIGH","red"
"joy",8.57,8.14,5.93,40,8.62,6.73,6.46,"HIGH","red"
"joyful",7.57,6.36,6.21,1,8.52,5.81,6.77,"LOW","blue"
"jug",5.45,4.23,5.18,6,5,3.5,4.9,"LOW","blue"
"justice",7.42,4.92,6.25,114,7.93,5.71,6.57,"HIGH","red"
"kerchief",5.56,3.67,5.39,1,4.81,3.27,5.15,"LOW","blue"
"kerosene",4.86,4.31,4.31,6,4.77,4.36,4.8,"LOW","blue"
"ketchup",5.52,3.86,5.19,1,5.68,4.52,5.38,"LOW","blue"
"kettle",5.19,3.57,4.95,3,5.25,2.85,5.05,"LOW","blue"
"key",5.35,3.95,5.15,88,5.96,3.5,4.83,"HIGH","red"
"kick",4.5,4.23,5.32,16,4.1,5.65,5.7,"MID","darkgreen"
"kids",6.84,5.26,4.79,32,6.96,5.27,5.28,"HIGH","red"
"killer",2.64,7.07,4.57,21,1.43,8.35,4.52,"MID","darkgreen"
"kind",7.5,3.8,5.3,313,7.62,4.69,6.17,"HIGH","red"
"kindness",7.05,5,5.11,5,8.38,3.76,6.08,"LOW","blue"
"king",7,5.6,7.5,88,7.34,5.48,7.34,"HIGH","red"
"kiss",8.29,6.87,6.57,17,8.24,7.55,7.1,"MID","darkgreen"
"kitten",6.72,5,6.92,5,7,5.15,6.81,"LOW","blue"
"knife",4.6,5.84,5.04,76,2.64,5.77,3.23,"HIGH","red"
"knot",4.45,3.71,4.85,8,4.82,4.62,4.5,"MID","darkgreen"
"knowledge",7.55,5.95,6.35,145,7.6,5.9,7.2,"HIGH","red"
"lake",6,4.2,4.5,54,7.1,3.86,5.03,"HIGH","red"
"lamb",5.45,3.3,4.95,7,6.25,3.42,4.88,"MID","darkgreen"
"lamp",5.1,3.71,5,18,5.75,3.9,5.55,"MID","darkgreen"
"lantern",5.5,4.3,5.3,13,5.64,4,4.86,"MID","darkgreen"
"laughter",8.55,6.8,6.2,22,8.35,6.7,6.7,"MID","darkgreen"
"lavish",5.68,4.91,5.5,3,6.8,4.95,5.8,"LOW","blue"
"lawn",5.26,4.21,5.47,15,5.23,3.82,5.27,"MID","darkgreen"
"lawsuit",3.2,4.33,4.05,1,3.52,5.5,3.8,"LOW","blue"
"lazy",4.43,2.29,4.14,9,4.33,3,4,"MID","darkgreen"
"leader",7.38,6.19,7.43,74,7.9,6.35,8.35,"HIGH","red"
"learn",6.93,5.13,6,84,7.27,5.54,6.54,"HIGH","red"
"legend",6.37,5.58,5.79,26,6.41,4.27,5.32,"MID","darkgreen"
"leisurely",6.71,2.82,5,5,7,4.52,5.25,"LOW","blue"
"leprosy",2.09,5.92,4,1,2.09,6.48,4,"LOW","blue"
"letter",6.26,5.21,5.89,145,6.91,4.64,5.59,"HIGH","red"
"liberty",7.67,5.92,6.17,46,8.1,5.47,6.33,"HIGH","red"
"lice",2.69,5.14,4.62,2,2.12,4.92,3.6,"LOW","blue"
"lie",3.87,5.33,4.33,59,2.28,6.25,2.81,"HIGH","red"
"life",7,5.42,5.58,715,7.38,6.26,5.77,"HIGH","red"
"lightbulb",5.44,3.8,5.38,0,5.77,4.38,6.23,"LOW","blue"
"lighthouse",6.33,5.06,5.06,0,5.58,3.96,5.38,"LOW","blue"
"lightning",5.16,6.52,3.72,14,4,6.69,3.62,"MID","darkgreen"
"limber",5.45,4.85,4.8,2,5.9,4.52,5.86,"LOW","blue"
"lion",5.6,5.84,4.64,17,5.54,6.54,3.62,"MID","darkgreen"
"listless",4.41,4.94,4.94,1,3.92,3.58,3.65,"LOW","blue"
"lively",6.89,5.47,6.11,26,7.42,5.8,6.08,"MID","darkgreen"
"locker",4.95,3.41,5.05,9,5.45,3.35,5.7,"MID","darkgreen"
"loneliness",1.67,4.67,2.75,9,1.59,4.52,2.42,"MID","darkgreen"
"lonely",2.2,3.8,2.8,25,2.15,4.92,3.04,"MID","darkgreen"
"loser",2.61,4.84,3.58,1,1.95,5.05,2.55,"LOW","blue"
"lost",3.22,5.89,2.83,173,2.54,5.77,2.88,"HIGH","red"
"lottery",6.72,5.11,5.22,1,6.46,5.76,4.52,"LOW","blue"
"louse",3.88,4.47,4.19,3,2.15,5.31,3.19,"LOW","blue"
"love",8.6,6.5,7.1,232,8.77,6.42,7.12,"HIGH","red"
"loved",8.1,5.5,5.2,56,8.83,6.69,7.1,"HIGH","red"
"loyal",6.8,5,6.47,18,7.93,5.24,7.14,"MID","darkgreen"
"lucky",7.94,7,6.24,21,8.35,6.15,5.9,"MID","darkgreen"
"lump",4.95,4.32,4.47,7,3.58,5.36,4.2,"MID","darkgreen"
"luscious",7.55,6.08,5.09,2,7.48,4.96,5.96,"LOW","blue"
"luxury",7.5,4.08,6.33,21,8.03,5.04,6.43,"MID","darkgreen"
"machine",4.65,3.8,4.95,103,5.46,3.83,5.46,"HIGH","red"
"mad",2.35,7.2,5.75,39,2.52,6.67,5.95,"HIGH","red"
"madman",4.79,5.11,5.37,2,3.24,5.88,4.33,"LOW","blue"
"maggot",2.4,4.6,4.6,2,1.92,5.54,3.81,"LOW","blue"
"magical",7.05,6.05,5.58,12,7.82,5.86,5.86,"MID","darkgreen"
"mail",6.5,5.74,5.61,47,7.18,5.55,5.73,"HIGH","red"
"malaria",2.4,4.19,3.1,3,2.41,4.81,3.33,"LOW","blue"
"malice",3.56,5.22,4.67,2,2.38,6.08,4.77,"LOW","blue"
"man",6.24,3.68,6.28,1207,7.19,6.73,4.81,"HIGH","red"
"mangle",4.16,5.79,5.37,0,3.68,5.14,3.95,"LOW","blue"
"maniac",4.29,5.24,4.24,4,3.2,5.55,4.2,"LOW","blue"
"manner",5.67,4.71,4.57,124,5.62,4.41,5.52,"HIGH","red"
"mantel",4.9,3.75,5,3,4.96,2.88,4.92,"LOW","blue"
"manure",2.95,4.05,4.85,6,3.23,4.27,4.5,"LOW","blue"
"market",5.84,4.79,5.11,155,5.5,3.55,5.41,"HIGH","red"
"massacre",2.24,5.48,4.14,1,2.32,5.43,2.86,"LOW","blue"
"masterful",7.27,5.67,6.93,2,7,4.97,7.31,"LOW","blue"
"material",5.27,4.5,5.18,174,5.25,3.55,5.05,"HIGH","red"
"measles",3.33,4.4,4.73,2,2.47,5.38,3.84,"LOW","blue"
"medicine",5.57,4.52,4.81,30,5.76,4.48,4.59,"HIGH","red"
"meek",4.5,3.3,4.35,10,3.38,4.19,3.15,"MID","darkgreen"
"melody",6.68,4.77,5.57,21,7.5,5.2,5.35,"MID","darkgreen"
"memories",7.35,6.2,5.55,15,7.59,6,6.18,"MID","darkgreen"
"memory",6.88,5.44,5.12,76,6.4,5.4,5.1,"HIGH","red"
"menace",3.18,5.24,5.24,9,2.68,5.72,4.81,"MID","darkgreen"
"merry",7.7,6.35,6.85,8,8.09,5.5,6.45,"MID","darkgreen"
"messy",3.14,3.1,5.43,3,3.16,3.79,4,"LOW","blue"
"metal",5.09,3.82,5.36,61,4.8,3.75,5.4,"HIGH","red"
"method",5.9,4.43,6.3,142,5.2,3.25,5.05,"HIGH","red"
"mighty",6.1,5.35,7,29,6.88,5.81,7.4,"MID","darkgreen"
"mildew",3.36,4.07,4.64,1,3.08,4.08,4.27,"LOW","blue"
"milk",6.43,4.52,6.14,49,5.45,2.8,5.5,"HIGH","red"
"millionaire",8.3,5.6,6.4,2,7.92,6.35,7.19,"LOW","blue"
"mind",6.52,5.24,6.33,325,6.85,4.75,6.4,"HIGH","red"
"miracle",8.4,7.53,5.4,16,8.72,7.72,5.32,"MID","darkgreen"
"mischief",5.4,5.75,5.55,5,5.73,5.77,5.57,"LOW","blue"
"misery",2.3,4.95,2.95,15,1.59,5.36,2.18,"MID","darkgreen"
"mistake",3.25,5.15,4.7,34,2.54,5.21,3.17,"HIGH","red"
"mobility",6.7,5.45,6.45,8,6.95,4.59,6.41,"MID","darkgreen"
"modest",5.68,4.42,5.11,29,5.81,3.65,4.85,"MID","darkgreen"
"mold",3.9,4,4.52,45,3.19,4.14,4.14,"HIGH","red"
"moment",5.53,4.56,4.94,246,5.92,3.38,4.73,"HIGH","red"
"money",7.92,5,6.33,265,7.45,6,6.21,"HIGH","red"
"month",5.4,4.1,4.8,130,5.07,4,4.86,"HIGH","red"
"moody",3.5,4,4.55,5,2.96,4.33,4.25,"LOW","blue"
"moral",5.95,4.57,5.81,142,6.45,4.4,6,"HIGH","red"
"morbid",3.4,4.73,4.67,1,2.62,5.22,4.19,"LOW","blue"
"morgue",2.27,4.2,4.47,1,1.7,5.26,3.04,"LOW","blue"
"mosquito",3.29,4.71,4.71,1,2.3,4.85,4.3,"LOW","blue"
"mother",7.87,5.2,4.53,216,8.74,6.74,6.52,"HIGH","red"
"mountain",6.2,5.8,6.2,33,6.86,5.27,4.95,"HIGH","red"
"movie",6.73,5.07,4.67,29,6.93,4.86,5.17,"MID","darkgreen"
"mucus",3.86,3.43,5.19,2,2.8,3.4,4.4,"LOW","blue"
"muddy",4.84,3.95,4.79,10,4.15,4.44,4.68,"MID","darkgreen"
"muffin",6.35,4.55,5.55,0,6.77,5.19,5.48,"LOW","blue"
"murderer",1.83,7.58,4.5,19,1.42,7.42,3.5,"MID","darkgreen"
"muscular",6.08,5.92,6.92,16,7.09,5.29,6.45,"MID","darkgreen"
"museum",5.45,4.4,5.4,32,5.62,3,5.24,"HIGH","red"
"mushroom",6.08,4.96,5.88,2,5.5,4.5,5.19,"LOW","blue"
"music",7.67,5.6,5.67,216,8.43,5.13,6.87,"HIGH","red"
"mutation",4.37,4.84,4.37,0,3.56,4.85,3.84,"LOW","blue"
"mutilate",1.4,7.5,4.6,3,1.97,6.03,3,"LOW","blue"
"mystic",5.95,4.2,5.45,3,6.04,5.38,5.58,"LOW","blue"
"naked",6.95,6.1,6.58,32,5.83,5.78,5.52,"HIGH","red"
"name",5.95,4.75,5.35,294,5.21,3.83,5,"HIGH","red"
"narcotic",4.5,4.75,4.7,2,4.09,5.33,4.19,"LOW","blue"
"nasty",4.21,5.21,5.05,5,3.12,4.84,4.96,"LOW","blue"
"natural",6.56,4.78,5.56,156,6.62,3.62,5.58,"HIGH","red"
"nature",7.43,4.62,5,191,7.77,4.24,4.92,"HIGH","red"
"nectar",6.79,3.54,4.85,3,6.96,4.08,4.38,"LOW","blue"
"needle",4.11,5,4.11,15,3.62,5.62,3.85,"MID","darkgreen"
"neglect",3.33,4.52,3.95,12,1.9,5.15,3.75,"MID","darkgreen"
"nervous",3.74,5.53,4.16,24,2.91,7.5,3.05,"MID","darkgreen"
"neurotic",4.95,4.74,4.42,10,4.08,5.42,4.4,"MID","darkgreen"
"news",5.53,4.55,5.16,102,5.1,5.73,4.1,"HIGH","red"
"nice",6.83,4.95,6.06,75,6.35,4.12,5.24,"HIGH","red"
"nightmare",2.58,7.45,4.91,9,1.57,7.65,3.09,"MID","darkgreen"
"noisy",5.1,6.15,4.95,6,4.95,6.59,4.91,"LOW","blue"
"nonchalant",4.71,3.12,4.19,1,4.77,3.12,4.38,"LOW","blue"
"nonsense",5.11,4.89,5.47,13,4.18,3.55,4.41,"MID","darkgreen"
"noose",4.14,4.71,4,3,3.35,4.05,4.35,"LOW","blue"
"nourish",6.24,4.43,5.67,0,6.7,4.15,5.95,"LOW","blue"
"nuisance",3.84,4.58,4.63,5,2.85,4.6,4.16,"LOW","blue"
"nun",4.5,3.11,4.94,2,5.23,2.81,4.92,"LOW","blue"
"nurse",6.42,4.88,5.04,17,5.77,4.81,4.65,"MID","darkgreen"
"nursery",4.95,3.47,4.79,13,6.31,4.64,5.48,"MID","darkgreen"
"obesity",2.61,3.21,4.06,5,2.81,4.52,3.52,"LOW","blue"
"obey",4.52,4.29,4.38,8,4.52,4.38,4.14,"MID","darkgreen"
"obnoxious",4,4.7,5.6,5,3.05,5,5.19,"LOW","blue"
"obscene",5.21,5.63,4.89,2,3.48,4.62,4.16,"LOW","blue"
"obsession",5.72,6.72,5.56,5,3.69,6.19,4.23,"LOW","blue"
"ocean",6.79,5.36,4.93,34,7.28,4.76,5.83,"HIGH","red"
"odd",5.25,4.45,4.75,44,4.46,4.12,4.79,"HIGH","red"
"offend",3.37,5.74,4.06,4,2.23,5.41,3.45,"LOW","blue"
"office",5.28,4.08,5.28,255,5.19,4.08,5.88,"HIGH","red"
"opinion",5.71,4.54,6.23,96,6.58,5.08,5.16,"HIGH","red"
"optimism",6.14,4.81,6.38,15,7.8,5.9,6.85,"MID","darkgreen"
"option",6.2,4.75,5.89,5,6.76,4.95,6.73,"LOW","blue"
"orchestra",5.33,3,5.42,60,6.31,3.75,5.07,"HIGH","red"
"outdoors",7.36,5.48,6.32,6,7.58,6.35,6.23,"LOW","blue"
"outrage",3.68,6.55,4.77,4,3.35,7.15,5.8,"LOW","blue"
"outstanding",7.47,6.32,6.42,37,7.96,6.44,6.38,"HIGH","red"
"overcast",4,4.21,4.26,9,3.33,2.95,4.14,"MID","darkgreen"
"overwhelmed",4.87,6.4,4.93,4,3.88,7.29,3.41,"LOW","blue"
"owl",6.04,4,6,2,5.58,3.96,5.65,"LOW","blue"
"pain",2.9,5.7,4.32,88,1.54,7.12,3.27,"HIGH","red"
"paint",5.16,4.58,5.63,37,6.05,3.86,5.86,"HIGH","red"
"palace",6.47,4.82,6,38,7.65,5.29,5.48,"HIGH","red"
"pamphlet",4.85,3.6,4.65,3,4.73,3.81,4.62,"LOW","blue"
"pancakes",6.56,3.92,6.2,0,5.62,4.19,5.35,"LOW","blue"
"panic",3.52,6.52,3.56,22,2.73,7.5,2.85,"MID","darkgreen"
"paper",5.33,2.45,4.45,157,5.13,2.52,4.48,"HIGH","red"
"paradise",8.6,5.85,6.5,12,8.85,4.4,5.55,"MID","darkgreen"
"paralysis",2.39,4.84,2.58,6,1.64,4.64,2.55,"LOW","blue"
"part",5.11,4.67,4.56,500,5.12,3.23,4.88,"HIGH","red"
"party",7.12,6.59,5.59,216,8.35,6.76,6,"HIGH","red"
"passage",5.53,4.44,5.28,49,5.12,4.31,4.85,"HIGH","red"
"passion",7.8,7.7,6.2,28,8.1,7.1,6.1,"MID","darkgreen"
"pasta",6.68,4.88,5.68,0,6.69,5,5.92,"LOW","blue"
"patent",5.75,3.08,5.42,35,5.1,3.68,4.68,"HIGH","red"
"patient",4.71,4.19,4.29,86,5.86,4.23,5.52,"HIGH","red"
"patriot",6.85,6.4,6.55,10,6.59,4.05,5.32,"MID","darkgreen"
"peace",7.25,3.85,5.7,198,8.2,2.05,5.2,"HIGH","red"
"penalty",3.09,4.68,4.23,14,2.55,5.55,3.65,"MID","darkgreen"
"pencil",5.3,3,4.5,34,5.19,3.19,4.88,"HIGH","red"
"penthouse",6.9,6.2,6.9,1,6.73,4.91,6.18,"LOW","blue"
"people",6.88,5.12,6.08,847,7.77,6.73,6.19,"HIGH","red"
"perfection",8,5,7.09,11,6.97,6.32,6.58,"MID","darkgreen"
"perfume",6.21,5.21,6,10,7.23,4.91,5.86,"MID","darkgreen"
"person",6.58,3.58,5.92,175,6.22,4.42,5.13,"HIGH","red"
"pervert",4.15,6.21,5.46,1,2.08,6.28,4.35,"LOW","blue"
"pest",3.79,5.31,4.85,4,2.76,5.77,5.52,"LOW","blue"
"pet",5.86,5.05,5.62,8,7.8,5.15,6.1,"MID","darkgreen"
"phase",5.19,3.57,4.76,72,5.14,4.57,4.55,"HIGH","red"
"pie",6.45,4.7,5.25,14,6.38,3.81,5.42,"MID","darkgreen"
"pig",5.1,4.71,6.1,8,5.05,3.65,4.55,"MID","darkgreen"
"pillow",7.88,3.62,4.5,8,7.95,2.45,4.6,"MID","darkgreen"
"pinch",4.38,4.81,5.19,6,3.25,4.35,4.3,"LOW","blue"
"pistol",5.89,6.21,6.95,27,2.73,6.09,3.41,"MID","darkgreen"
"pity",3.71,3.48,4.43,14,3.05,4.14,3.81,"MID","darkgreen"
"pizza",6.8,5.08,5.32,3,6.5,5.38,6.04,"LOW","blue"
"plain",4.8,3.35,4.7,48,4,3.68,4.71,"HIGH","red"
"plane",6.32,6.08,4.8,114,6.54,6.2,4.77,"HIGH","red"
"plant",6.12,3.31,4.44,125,5.88,3.81,4.88,"HIGH","red"
"pleasure",8,6.2,5.8,62,8.38,5.59,6.28,"HIGH","red"
"poetry",5.29,4.35,5.35,88,6.23,3.76,5.28,"HIGH","red"
"poison",2.27,5.07,2.8,10,1.81,6.62,3.27,"MID","darkgreen"
