"participant","pretest.reg","gender","phase","weak.past","strong.past","category","sensibility","partnerRegCondition","item.reg.mean","response","regular","age"
"s6066",0.519230769230769,"Female","posttest","dwinged","dwang","sang","sensible","increase",0.485,"dwang",FALSE,24
"s6071",0.384615384615385,"Male","posttest","dwinked","dwank","sang","sensible","increase",0.431,"dwinked",TRUE,32
"s6071",0.384615384615385,"Male","posttest","sprelled","sprelt","burnt","sensible","increase",0.629,"sprelt",FALSE,32
"s6071",0.384615384615385,"Male","posttest","twimmed","twam","sang","sensible","increase",0.54,"twam",FALSE,32
"s6071",0.384615384615385,"Male","posttest","glinged","glang","sang","sensible","increase",0.584,"glinged",TRUE,32
"s6071",0.384615384615385,"Male","posttest","zeemed","zemt","kept","sensible","increase",0.663,"zemt",FALSE,32
"s6071",0.384615384615385,"Male","posttest","quided","quode","drove","sensible","increase",0.47,"quode",FALSE,32
"s6071",0.384615384615385,"Male","posttest","jinked","jank","sang","sensible","increase",0.614,"jank",FALSE,32
"s6071",0.384615384615385,"Male","posttest","geemed","gemt","kept","sensible","increase",0.693,"gemt",FALSE,32
"s6071",0.384615384615385,"Male","posttest","lelled","lelt","burnt","sensible","increase",0.668,"lelt",FALSE,32
"s6071",0.384615384615385,"Male","posttest","sninged","snang","sang","sensible","increase",0.455,"snang",FALSE,32
"s6071",0.384615384615385,"Male","posttest","geeved","gove","drove","sensible","increase",0.599,"gove",FALSE,32
"s6071",0.384615384615385,"Male","posttest","strined","strone","drove","sensible","increase",0.559,"strined",TRUE,32
"s6071",0.384615384615385,"Male","posttest","streeled","strelt","kept","sensible","increase",0.51,"streeled",TRUE,32
"s6071",0.384615384615385,"Male","posttest","zimmed","zam","sang","sensible","increase",0.733,"zam",FALSE,32
"s6071",0.384615384615385,"Male","posttest","smilled","smilt","burnt","sensible","increase",0.668,"smilled",TRUE,32
"s6071",0.384615384615385,"Male","posttest","shringed","shrang","sang","sensible","increase",0.46,"shrang",FALSE,32
"s6071",0.384615384615385,"Male","posttest","minged","mang","sang","sensible","increase",0.639,"minged",TRUE,32
"s6071",0.384615384615385,"Male","posttest","plined","plone","drove","sensible","increase",0.713,"plone",FALSE,32
"s6071",0.384615384615385,"Male","posttest","splived","splove","drove","sensible","increase",0.421,"splove",FALSE,32
"s6071",0.384615384615385,"Male","posttest","frimmed","fram","sang","sensible","increase",0.708,"fram",FALSE,32
"s6071",0.384615384615385,"Male","posttest","trelled","trelt","burnt","sensible","increase",0.678,"trelled",TRUE,32
"s6071",0.384615384615385,"Male","posttest","yilled","yilt","burnt","sensible","increase",0.718,"yilled",TRUE,32
"s6071",0.384615384615385,"Male","posttest","twelled","twelt","burnt","sensible","increase",0.559,"twelled",TRUE,32
"s6071",0.384615384615385,"Male","posttest","splurned","splurnt","burnt","sensible","increase",0.703,"splurned",TRUE,32
"s6071",0.384615384615385,"Male","posttest","sneeped","snept","kept","sensible","increase",0.431,"snept",FALSE,32
"s6071",0.384615384615385,"Male","posttest","greeled","grelt","kept","sensible","increase",0.562,"grelt",FALSE,32
"s6071",0.384615384615385,"Male","posttest","splinked","splank","sang","sensible","increase",0.49,"splinked",TRUE,32
"s6071",0.384615384615385,"Male","posttest","stelled","stelt","burnt","sensible","increase",0.644,"stelt",FALSE,32
"s6071",0.384615384615385,"Male","posttest","dreened","drent","kept","sensible","increase",0.634,"dreened",TRUE,32
"s6071",0.384615384615385,"Male","posttest","yided","yode","drove","sensible","increase",0.401,"yode",FALSE,32
"s6071",0.384615384615385,"Male","posttest","slived","slove","drove","sensible","increase",0.49,"slived",TRUE,32
"s6071",0.384615384615385,"Male","posttest","blided","blode","drove","sensible","increase",0.515,"blode",FALSE,32
"s6071",0.384615384615385,"Male","posttest","sneened","snent","kept","sensible","increase",0.698,"sneened",TRUE,32
"s6071",0.384615384615385,"Male","posttest","thurned","thurnt","burnt","sensible","increase",0.693,"thurnt",FALSE,32
"s6071",0.384615384615385,"Male","posttest","drurned","drurnt","burnt","sensible","increase",0.748,"drurned",TRUE,32
"s6071",0.384615384615385,"Male","posttest","jined","jone","drove","sensible","increase",0.658,"jined",TRUE,32
"s6071",0.384615384615385,"Male","posttest","cheened","chent","kept","sensible","increase",0.743,"cheened",TRUE,32
"s6071",0.384615384615385,"Male","posttest","trined","trone","drove","sensible","increase",0.614,"trined",TRUE,32
"s6071",0.384615384615385,"Male","posttest","schmeemed","schmemt","kept","sensible","increase",0.649,"schmeemed",TRUE,32
"s6071",0.384615384615385,"Male","posttest","gringed","grang","sang","sensible","increase",0.515,"gringed",TRUE,32
"s6071",0.384615384615385,"Male","posttest","strilled","strilt","burnt","sensible","increase",0.772,"strilled",TRUE,32
"s6071",0.384615384615385,"Male","posttest","zeeped","zept","kept","sensible","increase",0.441,"zept",FALSE,32
"s6071",0.384615384615385,"Male","posttest","sweeled","swelt","kept","sensible","increase",0.475,"swelt",FALSE,32
"s6071",0.384615384615385,"Male","posttest","rurned","rurnt","burnt","sensible","increase",0.731,"rurned",TRUE,32
"s6071",0.384615384615385,"Male","posttest","cheeled","chelt","kept","sensible","increase",0.545,"chelt",FALSE,32
"s6071",0.384615384615385,"Male","posttest","feemed","femt","kept","sensible","increase",0.673,"feemed",TRUE,32
"s6071",0.384615384615385,"Male","posttest","schmited","schmote","drove","sensible","increase",0.45,"schmited",TRUE,32
"s6071",0.384615384615385,"Male","posttest","quinked","quank","sang","sensible","increase",0.569,"quank",FALSE,32
"s6071",0.384615384615385,"Male","posttest","thrided","throde","drove","sensible","increase",0.376,"throde",FALSE,32
"s6071",0.384615384615385,"Male","posttest","thringed","thrang","sang","sensible","increase",0.411,"thrang",FALSE,32
"s6071",0.384615384615385,"Male","posttest","vrited","vrote","drove","sensible","increase",0.366,"vrote",FALSE,32
"s6071",0.384615384615385,"Male","posttest","hurned","hurnt","burnt","sensible","increase",0.713,"hurnt",FALSE,32
"s6076",0.442307692307692,"Male","posttest","skrinked","skrank","sang","sensible","decrease",0.45,"skrinked",TRUE,26
"s6076",0.442307692307692,"Male","posttest","slilled","slilt","burnt","sensible","decrease",0.693,"slilled",TRUE,26
"s6076",0.442307692307692,"Male","posttest","shrided","shrode","drove","sensible","decrease",0.376,"shrode",FALSE,26
"s6076",0.442307692307692,"Male","posttest","snined","snone","drove","sensible","decrease",0.644,"snone",FALSE,26
"s6076",0.442307692307692,"Male","posttest","streened","strent","kept","sensible","decrease",0.718,"streened",TRUE,26
"s6076",0.442307692307692,"Male","posttest","dwided","dwode","drove","sensible","decrease",0.416,"dwode",FALSE,26
"s6076",0.442307692307692,"Male","posttest","dweeped","dwept","kept","sensible","decrease",0.426,"dweeped",TRUE,26
"s6076",0.442307692307692,"Male","posttest","surned","surnt","burnt","sensible","decrease",0.698,"surnt",FALSE,26
"s6076",0.442307692307692,"Male","posttest","twinked","twank","sang","sensible","decrease",0.594,"twank",FALSE,26
"s6076",0.442307692307692,"Male","posttest","skrurned","skrurnt","burnt","sensible","decrease",0.668,"skrurned",TRUE,26
"s6076",0.442307692307692,"Male","posttest","skurned","skurnt","burnt","sensible","decrease",0.733,"skurned",TRUE,26
"s6076",0.442307692307692,"Male","posttest","snited","snote","drove","sensible","decrease",0.53,"snote",FALSE,26
"s6076",0.442307692307692,"Male","posttest","drelled","drelt","burnt","sensible","decrease",0.653,"drelt",FALSE,26
"s6076",0.442307692307692,"Male","posttest","gimmed","gam","sang","sensible","decrease",0.728,"gimmed",TRUE,26
"s6076",0.442307692307692,"Male","posttest","skrined","skrone","drove","sensible","decrease",0.599,"skrone",FALSE,26
"s6076",0.442307692307692,"Male","posttest","zelled","zelt","burnt","sensible","decrease",0.639,"zelt",FALSE,26
"s6076",0.442307692307692,"Male","posttest","squined","squone","drove","sensible","decrease",0.678,"squone",FALSE,26
"s6076",0.442307692307692,"Male","posttest","vinked","vank","sang","sensible","decrease",0.624,"vank",FALSE,26
"s6076",0.442307692307692,"Male","posttest","kleeled","klelt","kept","sensible","decrease",0.554,"klelt",FALSE,26
"s6076",0.442307692307692,"Male","posttest","shreened","shrent","kept","sensible","decrease",0.693,"shreened",TRUE,26
"s6076",0.442307692307692,"Male","posttest","quinged","quang","sang","sensible","decrease",0.53,"quang",FALSE,26
"s6076",0.442307692307692,"Male","posttest","spreemed","spremt","kept","sensible","decrease",0.639,"spremt",FALSE,26
"s6076",0.442307692307692,"Male","posttest","grinked","grank","sang","sensible","decrease",0.47,"grank",FALSE,26
"s6076",0.442307692307692,"Male","posttest","prilled","prilt","burnt","sensible","decrease",0.713,"prilled",TRUE,26
"s6076",0.442307692307692,"Male","posttest","fimmed","fam","sang","sensible","decrease",0.772,"fam",FALSE,26
"s6076",0.442307692307692,"Male","posttest","sprurned","sprurnt","burnt","sensible","decrease",0.688,"sprurned",TRUE,26
"s6076",0.442307692307692,"Male","posttest","greemed","gremt","kept","sensible","decrease",0.629,"greemed",TRUE,26
"s6076",0.442307692307692,"Male","posttest","dreeped","drept","kept","sensible","decrease",0.441,"dreeped",TRUE,26
"s6076",0.442307692307692,"Male","posttest","beeved","bove","drove","sensible","decrease",0.574,"bove",FALSE,26
"s6076",0.442307692307692,"Male","posttest","snurned","snurnt","burnt","sensible","decrease",0.757,"snurnt",FALSE,26
"s6076",0.442307692307692,"Male","posttest","vrinked","vrank","sang","sensible","decrease",0.515,"vrank",FALSE,26
"s6076",0.442307692307692,"Male","posttest","skeeped","skept","kept","sensible","decrease",0.485,"skeeped",TRUE,26
"s6076",0.442307692307692,"Male","posttest","skelled","skelt","burnt","sensible","decrease",0.584,"skelled",TRUE,26
"s6076",0.442307692307692,"Male","posttest","neened","nent","kept","sensible","decrease",0.663,"neened",TRUE,26
"s6076",0.442307692307692,"Male","posttest","swited","swote","drove","sensible","decrease",0.46,"swote",FALSE,26
"s6076",0.442307692307692,"Male","posttest","klided","klode","drove","sensible","decrease",0.495,"klode",FALSE,26
"s6076",0.442307692307692,"Male","posttest","thided","thode","drove","sensible","decrease",0.436,"thode",FALSE,26
"s6076",0.442307692307692,"Male","posttest","glined","glone","drove","sensible","decrease",0.619,"glined",TRUE,26
"s6076",0.442307692307692,"Male","posttest","preemed","premt","kept","sensible","decrease",0.678,"preemed",TRUE,26
"s6076",0.442307692307692,"Male","posttest","murned","murnt","burnt","sensible","decrease",0.723,"murned",TRUE,26
"s6076",0.442307692307692,"Male","posttest","dwinged","dwang","sang","sensible","decrease",0.485,"dwang",FALSE,26
"s6076",0.442307692307692,"Male","posttest","fided","fode","drove","sensible","decrease",0.485,"fode",FALSE,26
"s6076",0.442307692307692,"Male","posttest","schmimmed","schmam","sang","sensible","decrease",0.634,"schmimmed",TRUE,26
"s6076",0.442307692307692,"Male","posttest","splinged","splang","sang","sensible","decrease",0.401,"splang",FALSE,26
"s6076",0.442307692307692,"Male","posttest","sleeled","slelt","kept","sensible","decrease",0.55,"slelt",FALSE,26
"s6076",0.442307692307692,"Male","posttest","strinked","strank","sang","sensible","decrease",0.416,"strank",FALSE,26
"s6076",0.442307692307692,"Male","posttest","sminked","smank","sang","sensible","decrease",0.579,"smank",FALSE,26
"s6076",0.442307692307692,"Male","posttest","trurned","trurnt","burnt","sensible","decrease",0.718,"trurned",TRUE,26
"s6076",0.442307692307692,"Male","posttest","cheemed","chemt","kept","sensible","decrease",0.733,"cheemed",TRUE,26
"s6076",0.442307692307692,"Male","posttest","fleeled","flelt","kept","sensible","decrease",0.525,"fleeled",TRUE,26
"s6076",0.442307692307692,"Male","posttest","sprided","sprode","drove","sensible","decrease",0.347,"sprode",FALSE,26
"s6076",0.442307692307692,"Male","posttest","dwilled","dwilt","burnt","sensible","decrease",0.673,"dwilled",TRUE,26
"s6078",0.403846153846154,"Male","posttest","yided","yode","drove","sensible","decrease",0.401,"yode",FALSE,25
"s6078",0.403846153846154,"Male","posttest","jined","jone","drove","sensible","decrease",0.658,"jined",TRUE,25
"s6078",0.403846153846154,"Male","posttest","cheeled","chelt","kept","sensible","decrease",0.545,"cheeled",TRUE,25
"s6078",0.403846153846154,"Male","posttest","minged","mang","sang","sensible","decrease",0.639,"mang",FALSE,25
"s6078",0.403846153846154,"Male","posttest","jinked","jank","sang","sensible","decrease",0.614,"jank",FALSE,25
"s6078",0.403846153846154,"Male","posttest","dwinked","dwank","sang","sensible","decrease",0.431,"dwank",FALSE,25
"s6078",0.403846153846154,"Male","posttest","splurned","splurnt","burnt","sensible","decrease",0.703,"splurned",TRUE,25
"s6078",0.403846153846154,"Male","posttest","smilled","smilt","burnt","sensible","decrease",0.668,"smilled",TRUE,25
"s6078",0.403846153846154,"Male","posttest","trelled","trelt","burnt","sensible","decrease",0.678,"trelled",TRUE,25
"s6078",0.403846153846154,"Male","posttest","gringed","grang","sang","sensible","decrease",0.515,"gringed",TRUE,25
"s6078",0.403846153846154,"Male","posttest","splinked","splank","sang","sensible","decrease",0.49,"splank",FALSE,25
"s6078",0.403846153846154,"Male","posttest","vrited","vrote","drove","sensible","decrease",0.366,"vrote",FALSE,25
"s6078",0.403846153846154,"Male","posttest","cheened","chent","kept","sensible","decrease",0.743,"cheened",TRUE,25
"s6078",0.403846153846154,"Male","posttest","schmited","schmote","drove","sensible","decrease",0.45,"schmote",FALSE,25
"s6078",0.403846153846154,"Male","posttest","strilled","strilt","burnt","sensible","decrease",0.772,"strilled",TRUE,25
"s6078",0.403846153846154,"Male","posttest","quided","quode","drove","sensible","decrease",0.47,"quode",FALSE,25
"s6078",0.403846153846154,"Male","posttest","greeled","grelt","kept","sensible","decrease",0.562,"greeled",TRUE,25
"s6078",0.403846153846154,"Male","posttest","thringed","thrang","sang","sensible","decrease",0.411,"thrang",FALSE,25
"s6078",0.403846153846154,"Male","posttest","geeved","gove","drove","sensible","decrease",0.599,"gove",FALSE,25
"s6078",0.403846153846154,"Male","posttest","shringed","shrang","sang","sensible","decrease",0.46,"shrang",FALSE,25
"s6078",0.403846153846154,"Male","posttest","strined","strone","drove","sensible","decrease",0.559,"strone",FALSE,25
"s6078",0.403846153846154,"Male","posttest","blided","blode","drove","sensible","decrease",0.515,"blode",FALSE,25
"s6078",0.403846153846154,"Male","posttest","rurned","rurnt","burnt","sensible","decrease",0.731,"rurned",TRUE,25
"s6078",0.403846153846154,"Male","posttest","thrided","throde","drove","sensible","decrease",0.376,"throde",FALSE,25
"s6078",0.403846153846154,"Male","posttest","drurned","drurnt","burnt","sensible","decrease",0.748,"drurned",TRUE,25
"s6078",0.403846153846154,"Male","posttest","dreened","drent","kept","sensible","decrease",0.634,"drent",FALSE,25
"s6078",0.403846153846154,"Male","posttest","hurned","hurnt","burnt","sensible","decrease",0.713,"hurned",TRUE,25
"s6078",0.403846153846154,"Male","posttest","frimmed","fram","sang","sensible","decrease",0.708,"frimmed",TRUE,25
"s6078",0.403846153846154,"Male","posttest","sneened","snent","kept","sensible","decrease",0.698,"sneened",TRUE,25
"s6078",0.403846153846154,"Male","posttest","stelled","stelt","burnt","sensible","decrease",0.644,"stelled",TRUE,25
"s6078",0.403846153846154,"Male","posttest","sninged","snang","sang","sensible","decrease",0.455,"snang",FALSE,25
"s6078",0.403846153846154,"Male","posttest","glinged","glang","sang","sensible","decrease",0.584,"glang",FALSE,25
"s6078",0.403846153846154,"Male","posttest","plined","plone","drove","sensible","decrease",0.713,"plone",FALSE,25
"s6078",0.403846153846154,"Male","posttest","zeemed","zemt","kept","sensible","decrease",0.663,"zemt",FALSE,25
"s6078",0.403846153846154,"Male","posttest","yilled","yilt","burnt","sensible","decrease",0.718,"yilled",TRUE,25
"s6078",0.403846153846154,"Male","posttest","zeeped","zept","kept","sensible","decrease",0.441,"zept",FALSE,25
"s6078",0.403846153846154,"Male","posttest","splived","splove","drove","sensible","decrease",0.421,"splived",TRUE,25
"s6078",0.403846153846154,"Male","posttest","sneeped","snept","kept","sensible","decrease",0.431,"snept",FALSE,25
"s6078",0.403846153846154,"Male","posttest","thurned","thurnt","burnt","sensible","decrease",0.693,"thurned",TRUE,25
"s6078",0.403846153846154,"Male","posttest","lelled","lelt","burnt","sensible","decrease",0.668,"lelt",FALSE,25
"s6078",0.403846153846154,"Male","posttest","zimmed","zam","sang","sensible","decrease",0.733,"zimmed",TRUE,25
"s6078",0.403846153846154,"Male","posttest","geemed","gemt","kept","sensible","decrease",0.693,"geemed",TRUE,25
"s6078",0.403846153846154,"Male","posttest","sprelled","sprelt","burnt","sensible","decrease",0.629,"sprelt",FALSE,25
"s6078",0.403846153846154,"Male","posttest","sweeled","swelt","kept","sensible","decrease",0.475,"swelt",FALSE,25
"s6078",0.403846153846154,"Male","posttest","feemed","femt","kept","sensible","decrease",0.673,"feemed",TRUE,25
"s6078",0.403846153846154,"Male","posttest","twelled","twelt","burnt","sensible","decrease",0.559,"twelled",TRUE,25
"s6078",0.403846153846154,"Male","posttest","trined","trone","drove","sensible","decrease",0.614,"trone",FALSE,25
"s6078",0.403846153846154,"Male","posttest","schmeemed","schmemt","kept","sensible","decrease",0.649,"schmeemed",TRUE,25
"s6078",0.403846153846154,"Male","posttest","twimmed","twam","sang","sensible","decrease",0.54,"twam",FALSE,25
"s6078",0.403846153846154,"Male","posttest","streeled","strelt","kept","sensible","decrease",0.51,"strelt",FALSE,25
"s6078",0.403846153846154,"Male","posttest","slived","slove","drove","sensible","decrease",0.49,"slove",FALSE,25
"s6078",0.403846153846154,"Male","posttest","quinked","quank","sang","sensible","decrease",0.569,"quank",FALSE,25
"s6079",0.403846153846154,"Female","posttest","snurned","snurnt","burnt","sensible","decrease",0.757,"snurnt",FALSE,37
"s6079",0.403846153846154,"Female","posttest","murned","murnt","burnt","sensible","decrease",0.723,"murnt",FALSE,37
"s6079",0.403846153846154,"Female","posttest","skrurned","skrurnt","burnt","sensible","decrease",0.668,"skrurned",TRUE,37
"s6079",0.403846153846154,"Female","posttest","streened","strent","kept","sensible","decrease",0.718,"strent",FALSE,37
"s6079",0.403846153846154,"Female","posttest","strinked","strank","sang","sensible","decrease",0.416,"strank",FALSE,37
"s6079",0.403846153846154,"Female","posttest","thided","thode","drove","sensible","decrease",0.436,"thode",FALSE,37
"s6079",0.403846153846154,"Female","posttest","skeeped","skept","kept","sensible","decrease",0.485,"skept",FALSE,37
"s6079",0.403846153846154,"Female","posttest","dwinged","dwang","sang","sensible","decrease",0.485,"dwinged",TRUE,37
"s6079",0.403846153846154,"Female","posttest","vrinked","vrank","sang","sensible","decrease",0.515,"vrank",FALSE,37
"s6079",0.403846153846154,"Female","posttest","skelled","skelt","burnt","sensible","decrease",0.584,"skelled",TRUE,37
"s6079",0.403846153846154,"Female","posttest","dweeped","dwept","kept","sensible","decrease",0.426,"dweeped",TRUE,37
"s6079",0.403846153846154,"Female","posttest","squined","squone","drove","sensible","decrease",0.678,"squined",TRUE,37
"s6079",0.403846153846154,"Female","posttest","fleeled","flelt","kept","sensible","decrease",0.525,"flelt",FALSE,37
"s6079",0.403846153846154,"Female","posttest","sleeled","slelt","kept","sensible","decrease",0.55,"sleeled",TRUE,37
"s6079",0.403846153846154,"Female","posttest","skrined","skrone","drove","sensible","decrease",0.599,"skrone",FALSE,37
"s6079",0.403846153846154,"Female","posttest","preemed","premt","kept","sensible","decrease",0.678,"preemed",TRUE,37
"s6079",0.403846153846154,"Female","posttest","schmimmed","schmam","sang","sensible","decrease",0.634,"schmam",FALSE,37
"s6079",0.403846153846154,"Female","posttest","spreemed","spremt","kept","sensible","decrease",0.639,"spreemed",TRUE,37
"s6079",0.403846153846154,"Female","posttest","prilled","prilt","burnt","sensible","decrease",0.713,"prilled",TRUE,37
"s6079",0.403846153846154,"Female","posttest","greemed","gremt","kept","sensible","decrease",0.629,"gremt",FALSE,37
"s6079",0.403846153846154,"Female","posttest","shrided","shrode","drove","sensible","decrease",0.376,"shrode",FALSE,37
"s6079",0.403846153846154,"Female","posttest","swited","swote","drove","sensible","decrease",0.46,"swote",FALSE,37
"s6079",0.403846153846154,"Female","posttest","splinged","splang","sang","sensible","decrease",0.401,"splang",FALSE,37
"s6079",0.403846153846154,"Female","posttest","sminked","smank","sang","sensible","decrease",0.579,"smank",FALSE,37
"s6079",0.403846153846154,"Female","posttest","skrinked","skrank","sang","sensible","decrease",0.45,"skrank",FALSE,37
"s6079",0.403846153846154,"Female","posttest","snined","snone","drove","sensible","decrease",0.644,"snone",FALSE,37
"s6079",0.403846153846154,"Female","posttest","twinked","twank","sang","sensible","decrease",0.594,"twank",FALSE,37
"s6079",0.403846153846154,"Female","posttest","sprided","sprode","drove","sensible","decrease",0.347,"sprode",FALSE,37
"s6079",0.403846153846154,"Female","posttest","skurned","skurnt","burnt","sensible","decrease",0.733,"skurned",TRUE,37
"s6079",0.403846153846154,"Female","posttest","neened","nent","kept","sensible","decrease",0.663,"neened",TRUE,37
"s6079",0.403846153846154,"Female","posttest","fimmed","fam","sang","sensible","decrease",0.772,"fimmed",TRUE,37
"s6079",0.403846153846154,"Female","posttest","dwilled","dwilt","burnt","sensible","decrease",0.673,"dwilled",TRUE,37
"s6079",0.403846153846154,"Female","posttest","sprurned","sprurnt","burnt","sensible","decrease",0.688,"sprurned",TRUE,37
"s6079",0.403846153846154,"Female","posttest","snited","snote","drove","sensible","decrease",0.53,"snote",FALSE,37
"s6079",0.403846153846154,"Female","posttest","klided","klode","drove","sensible","decrease",0.495,"klode",FALSE,37
"s6079",0.403846153846154,"Female","posttest","dreeped","drept","kept","sensible","decrease",0.441,"drept",FALSE,37
"s6079",0.403846153846154,"Female","posttest","drelled","drelt","burnt","sensible","decrease",0.653,"drelled",TRUE,37
"s6079",0.403846153846154,"Female","posttest","glined","glone","drove","sensible","decrease",0.619,"glone",FALSE,37
"s6079",0.403846153846154,"Female","posttest","dwided","dwode","drove","sensible","decrease",0.416,"dwode",FALSE,37
"s6079",0.403846153846154,"Female","posttest","cheemed","chemt","kept","sensible","decrease",0.733,"cheemed",TRUE,37
"s6079",0.403846153846154,"Female","posttest","trurned","trurnt","burnt","sensible","decrease",0.718,"trurned",TRUE,37
"s6079",0.403846153846154,"Female","posttest","surned","surnt","burnt","sensible","decrease",0.698,"surned",TRUE,37
"s6079",0.403846153846154,"Female","posttest","kleeled","klelt","kept","sensible","decrease",0.554,"klelt",FALSE,37
"s6079",0.403846153846154,"Female","posttest","zelled","zelt","burnt","sensible","decrease",0.639,"zelled",TRUE,37
"s6079",0.403846153846154,"Female","posttest","shreened","shrent","kept","sensible","decrease",0.693,"shreened",TRUE,37
"s6079",0.403846153846154,"Female","posttest","grinked","grank","sang","sensible","decrease",0.47,"grank",FALSE,37
"s6079",0.403846153846154,"Female","posttest","gimmed","gam","sang","sensible","decrease",0.728,"gimmed",TRUE,37
"s6079",0.403846153846154,"Female","posttest","slilled","slilt","burnt","sensible","decrease",0.693,"slilled",TRUE,37
"s6079",0.403846153846154,"Female","posttest","vinked","vank","sang","sensible","decrease",0.624,"vinked",TRUE,37
"s6079",0.403846153846154,"Female","posttest","quinged","quang","sang","sensible","decrease",0.53,"quang",FALSE,37
"s6079",0.403846153846154,"Female","posttest","beeved","bove","drove","sensible","decrease",0.574,"bove",FALSE,37
"s6079",0.403846153846154,"Female","posttest","fided","fode","drove","sensible","decrease",0.485,"fode",FALSE,37
"s6080",0.615384615384615,"Male","posttest","brurned","brurnt","burnt","sensible","decrease",0.554,"brurned",TRUE,54
"s6080",0.615384615384615,"Male","posttest","strimmed","stram","sang","sensible","decrease",0.619,"stram",FALSE,54
"s6080",0.615384615384615,"Male","posttest","slurned","slurnt","burnt","sensible","decrease",0.698,"slurned",TRUE,54
"s6080",0.615384615384615,"Male","posttest","vurned","vurnt","burnt","sensible","decrease",0.668,"vurnt",FALSE,54
"s6080",0.615384615384615,"Male","posttest","thrimmed","thram","sang","sensible","decrease",0.683,"thram",FALSE,54
"s6080",0.615384615384615,"Male","posttest","schmined","schmone","drove","sensible","decrease",0.703,"schmone",FALSE,54
"s6080",0.615384615384615,"Male","posttest","glinked","glank","sang","sensible","decrease",0.609,"glank",FALSE,54
"s6080",0.615384615384615,"Male","posttest","trinked","trank","sang","sensible","decrease",0.49,"trank",FALSE,54
"s6080",0.615384615384615,"Male","posttest","jurned","jurnt","burnt","sensible","decrease",0.718,"jurnt",FALSE,54
"s6080",0.615384615384615,"Male","posttest","squited","squote","drove","sensible","decrease",0.505,"squote",FALSE,54
"s6080",0.615384615384615,"Male","posttest","swided","swode","drove","sensible","decrease",0.356,"swode",FALSE,54
"s6080",0.615384615384615,"Male","posttest","slined","slone","drove","sensible","decrease",0.614,"slone",FALSE,54
"s6080",0.615384615384615,"Male","posttest","shinged","shang","sang","sensible","decrease",0.45,"shinged",TRUE,54
"s6080",0.615384615384615,"Male","posttest","pleeled","plelt","kept","sensible","decrease",0.574,"plelt",FALSE,54
"s6080",0.615384615384615,"Male","posttest","skinged","skang","sang","sensible","decrease",0.52,"skang",FALSE,54
"s6080",0.615384615384615,"Male","posttest","pited","pote","drove","sensible","decrease",0.629,"pote",FALSE,54
"s6080",0.615384615384615,"Male","posttest","swurned","swurnt","burnt","sensible","decrease",0.723,"swurned",TRUE,54
"s6080",0.615384615384615,"Male","posttest","skeened","skent","kept","sensible","decrease",0.688,"skeened",TRUE,54
"s6080",0.615384615384615,"Male","posttest","glilled","glilt","burnt","sensible","decrease",0.673,"glilt",FALSE,54
"s6080",0.615384615384615,"Male","posttest","chimmed","cham","sang","sensible","decrease",0.743,"cham",FALSE,54
"s6080",0.615384615384615,"Male","posttest","klited","klote","drove","sensible","decrease",0.554,"klote",FALSE,54
"s6080",0.615384615384615,"Male","posttest","squeened","squent","kept","sensible","decrease",0.629,"squent",FALSE,54
"s6080",0.615384615384615,"Male","posttest","strited","strote","drove","sensible","decrease",0.426,"strote",FALSE,54
"s6080",0.615384615384615,"Male","posttest","smimmed","smam","sang","sensible","decrease",0.579,"smam",FALSE,54
"s6080",0.615384615384615,"Male","posttest","splided","splode","drove","sensible","decrease",0.475,"splode",FALSE,54
"s6080",0.615384615384615,"Male","posttest","theeped","thept","kept","sensible","decrease",0.416,"thept",FALSE,54
"s6080",0.615384615384615,"Male","posttest","neemed","nemt","kept","sensible","decrease",0.658,"neemed",TRUE,54
"s6080",0.615384615384615,"Male","posttest","sneemed","snemt","kept","sensible","decrease",0.713,"sneemed",TRUE,54
"s6080",0.615384615384615,"Male","posttest","squeeped","squept","kept","sensible","decrease",0.52,"squept",FALSE,54
"s6080",0.615384615384615,"Male","posttest","vrilled","vrilt","burnt","sensible","decrease",0.772,"vrilled",TRUE,54
"s6080",0.615384615384615,"Male","posttest","chited","chote","drove","sensible","decrease",0.579,"chote",FALSE,54
"s6080",0.615384615384615,"Male","posttest","kreened","krent","kept","sensible","decrease",0.683,"krent",FALSE,54
"s6080",0.615384615384615,"Male","posttest","brived","brove","drove","sensible","decrease",0.391,"brove",FALSE,54
"s6080",0.615384615384615,"Male","posttest","skrilled","skrilt","burnt","sensible","decrease",0.733,"skrilled",TRUE,54
"s6080",0.615384615384615,"Male","posttest","pringed","prang","sang","sensible","decrease",0.465,"prang",FALSE,54
"s6080",0.615384615384615,"Male","posttest","shreeped","shrept","kept","sensible","decrease",0.46,"shreeped",TRUE,54
"s6080",0.615384615384615,"Male","posttest","ninked","nank","sang","sensible","decrease",0.647,"nank",FALSE,54
"s6080",0.615384615384615,"Male","posttest","gurned","gurnt","burnt","sensible","decrease",0.708,"gurnt",FALSE,54
"s6080",0.615384615384615,"Male","posttest","theeled","thelt","kept","sensible","decrease",0.495,"thelt",FALSE,54
"s6080",0.615384615384615,"Male","posttest","breeped","brept","kept","sensible","decrease",0.55,"brept",FALSE,54
"s6080",0.615384615384615,"Male","posttest","jeemed","jemt","kept","sensible","decrease",0.723,"jeemed",TRUE,54
"s6080",0.615384615384615,"Male","posttest","blurned","blurnt","burnt","sensible","decrease",0.639,"blurned",TRUE,54
