"participant","pretest.reg","gender","phase","weak.past","strong.past","category","sensibility","partnerRegCondition","item.reg.mean","response","regular","age"
"s6031",0.576923076923077,"Female","posttest","jurned","jurnt","burnt","sensible","increase",0.718,"jurned",TRUE,47
"s6031",0.576923076923077,"Female","posttest","theeled","thelt","kept","sensible","increase",0.495,"theeled",TRUE,47
"s6031",0.576923076923077,"Female","posttest","pringed","prang","sang","sensible","increase",0.465,"pringed",TRUE,47
"s6031",0.576923076923077,"Female","posttest","strited","strote","drove","sensible","increase",0.426,"strote",FALSE,47
"s6031",0.576923076923077,"Female","posttest","kreened","krent","kept","sensible","increase",0.683,"kreened",TRUE,47
"s6031",0.576923076923077,"Female","posttest","sneemed","snemt","kept","sensible","increase",0.713,"sneemed",TRUE,47
"s6031",0.576923076923077,"Female","posttest","klited","klote","drove","sensible","increase",0.554,"klited",TRUE,47
"s6031",0.576923076923077,"Female","posttest","thrimmed","thram","sang","sensible","increase",0.683,"thrimmed",TRUE,47
"s6031",0.576923076923077,"Female","posttest","squeeped","squept","kept","sensible","increase",0.52,"squept",FALSE,47
"s6031",0.576923076923077,"Female","posttest","jeemed","jemt","kept","sensible","increase",0.723,"jeemed",TRUE,47
"s6031",0.576923076923077,"Female","posttest","glinked","glank","sang","sensible","increase",0.609,"glinked",TRUE,47
"s6031",0.576923076923077,"Female","posttest","squeened","squent","kept","sensible","increase",0.629,"squeened",TRUE,47
"s6031",0.576923076923077,"Female","posttest","shreeped","shrept","kept","sensible","increase",0.46,"shreeped",TRUE,47
"s6031",0.576923076923077,"Female","posttest","spinged","spang","sang","sensible","increase",0.401,"spinged",TRUE,47
"s6031",0.576923076923077,"Female","posttest","pited","pote","drove","sensible","increase",0.629,"pote",FALSE,47
"s6031",0.576923076923077,"Female","posttest","klilled","klilt","burnt","sensible","increase",0.693,"klilled",TRUE,47
"s6031",0.576923076923077,"Female","posttest","schmined","schmone","drove","sensible","increase",0.703,"schmined",TRUE,47
"s6031",0.576923076923077,"Female","posttest","trinked","trank","sang","sensible","increase",0.49,"trinked",TRUE,47
"s6031",0.576923076923077,"Female","posttest","ninked","nank","sang","sensible","increase",0.647,"ninked",TRUE,47
"s6031",0.576923076923077,"Female","posttest","glilled","glilt","burnt","sensible","increase",0.673,"glilled",TRUE,47
"s6031",0.576923076923077,"Female","posttest","dwimmed","dwam","sang","sensible","increase",0.515,"dwam",FALSE,47
"s6031",0.576923076923077,"Female","posttest","slined","slone","drove","sensible","increase",0.614,"slined",TRUE,47
"s6031",0.576923076923077,"Female","posttest","prurned","prurnt","burnt","sensible","increase",0.688,"prurned",TRUE,47
