"participant","gender","yearOfBirth","age","phase","category","sensibility","partnerRegCondition","item.reg.mean","strong.past","weak.past","response","regular"
"s6029","Male",1986,29,"posttest","kept","sensible","increase",0.441,"zept","zeeped","zeeped",TRUE
"s6029","Male",1986,29,"pretest","sang","sensible","increase",0.609,"glank","glinked","glinked",TRUE
"s6029","Male",1986,29,"pretest","sang","sensible","increase",0.647,"nank","ninked","ninked",TRUE
"s6029","Male",1986,29,"posttest","burnt","sensible","increase",0.693,"thurnt","thurned","thurned",TRUE
"s6029","Male",1986,29,"pretest","sang","sensible","increase",0.579,"smam","smimmed","smimmed",TRUE
"s6029","Male",1986,29,"posttest","burnt","sensible","increase",0.559,"twelt","twelled","twelt",FALSE
"s6029","Male",1986,29,"posttest","kept","sensible","increase",0.545,"chelt","cheeled","chelt",FALSE
"s6029","Male",1986,29,"posttest","drove","sensible","increase",0.366,"vrote","vrited","vrote",FALSE
"s6029","Male",1986,29,"posttest","kept","sensible","increase",0.562,"grelt","greeled","grelt",FALSE
"s6029","Male",1986,29,"pretest","kept","sensible","increase",0.52,"squept","squeeped","squept",FALSE
"s6029","Male",1986,29,"posttest","kept","sensible","increase",0.743,"chent","cheened","cheened",TRUE
"s6029","Male",1986,29,"pretest","drove","sensible","increase",0.554,"klote","klited","klote",FALSE
"s6029","Male",1986,29,"posttest","sang","sensible","increase",0.49,"splank","splinked","splank",FALSE
"s6029","Male",1986,29,"posttest","burnt","sensible","increase",0.668,"smilt","smilled","smilled",TRUE
"s6029","Male",1986,29,"pretest","sang","sensible","increase",0.52,"skang","skinged","skinged",TRUE
"s6029","Male",1986,29,"posttest","sang","sensible","increase",0.46,"shrang","shringed","shrang",FALSE
"s6029","Male",1986,29,"pretest","drove","sensible","increase",0.356,"swode","swided","swode",FALSE
"s6029","Male",1986,29,"posttest","burnt","sensible","increase",0.668,"lelt","lelled","lelled",TRUE
"s6029","Male",1986,29,"posttest","kept","sensible","increase",0.51,"strelt","streeled","streeled",TRUE
"s6029","Male",1986,29,"pretest","drove","sensible","increase",0.614,"slone","slined","slined",TRUE
"s6029","Male",1986,29,"pretest","drove","sensible","increase",0.391,"brove","brived","brove",FALSE
"s6029","Male",1986,29,"posttest","burnt","sensible","increase",0.718,"yilt","yilled","yilled",TRUE
"s6029","Male",1986,29,"posttest","sang","sensible","increase",0.584,"glang","glinged","glinged",TRUE
"s6029","Male",1986,29,"pretest","drove","sensible","increase",0.475,"splode","splided","splode",FALSE
"s6029","Male",1986,29,"pretest","sang","sensible","increase",0.401,"spang","spinged","spang",FALSE
"s6029","Male",1986,29,"pretest","sang","sensible","increase",0.683,"thram","thrimmed","thrimmed",TRUE
"s6029","Male",1986,29,"posttest","kept","sensible","increase",0.634,"drent","dreened","dreened",TRUE
"s6029","Male",1986,29,"posttest","burnt","sensible","increase",0.629,"sprelt","sprelled","sprelt",FALSE
"s6029","Male",1986,29,"pretest","drove","sensible","increase",0.446,"twote","twited","twote",FALSE
"s6029","Male",1986,29,"pretest","burnt","sensible","increase",0.693,"klilt","klilled","klilled",TRUE
"s6029","Male",1986,29,"posttest","sang","sensible","increase",0.455,"snang","sninged","snang",FALSE
"s6029","Male",1986,29,"posttest","burnt","sensible","increase",0.748,"drurnt","drurned","drurned",TRUE
"s6029","Male",1986,29,"posttest","sang","sensible","increase",0.54,"twam","twimmed","twimmed",TRUE
"s6029","Male",1986,29,"pretest","burnt","sensible","increase",0.554,"brurnt","brurned","brurned",TRUE
"s6029","Male",1986,29,"posttest","sang","sensible","increase",0.411,"thrang","thringed","thrang",FALSE
"s6029","Male",1986,29,"posttest","sang","sensible","increase",0.733,"zam","zimmed","zimmed",TRUE
"s6029","Male",1986,29,"posttest","drove","sensible","increase",0.47,"quode","quided","quode",FALSE
"s6029","Male",1986,29,"pretest","drove","sensible","increase",0.426,"strote","strited","strote",FALSE
"s6029","Male",1986,29,"posttest","sang","sensible","increase",0.614,"jank","jinked","jank",FALSE
"s6029","Male",1986,29,"posttest","sang","sensible","increase",0.639,"mang","minged","minged",TRUE
"s6029","Male",1986,29,"posttest","kept","sensible","increase",0.475,"swelt","sweeled","sweeled",TRUE
"s6029","Male",1986,29,"pretest","kept","sensible","increase",0.629,"squent","squeened","squeened",TRUE
"s6031","Female",1969,46,"pretest","kept","sensible","increase",0.649,"schmemt","schmeemed","schmeemed",TRUE
"s6031","Female",1969,46,"pretest","drove","sensible","increase",0.713,"plone","plined","plined",TRUE
"s6031","Female",1969,46,"posttest","burnt","sensible","increase",0.733,"skrilt","skrilled","skrilt",FALSE
"s6031","Female",1969,46,"pretest","kept","sensible","increase",0.562,"grelt","greeled","greeled",TRUE
"s6031","Female",1969,46,"pretest","drove","sensible","increase",0.559,"strone","strined","strone",FALSE
"s6031","Female",1969,46,"posttest","burnt","sensible","increase",0.698,"slurnt","slurned","slurnt",FALSE
"s6031","Female",1969,46,"pretest","burnt","sensible","increase",0.559,"twelt","twelled","twelled",TRUE
"s6031","Female",1969,46,"pretest","sang","sensible","increase",0.431,"dwank","dwinked","dwank",FALSE
"s6031","Female",1969,46,"posttest","burnt","sensible","increase",0.639,"blurnt","blurned","blurned",TRUE
"s6031","Female",1969,46,"pretest","sang","sensible","increase",0.639,"mang","minged","minged",TRUE
"s6031","Female",1969,46,"pretest","burnt","sensible","increase",0.629,"sprelt","sprelled","sprelled",TRUE
"s6031","Female",1969,46,"pretest","drove","sensible","increase",0.376,"throde","thrided","throde",FALSE
"s6031","Female",1969,46,"posttest","kept","sensible","increase",0.653,"klemt","kleemed","kleemed",TRUE
"s6031","Female",1969,46,"posttest","kept","sensible","increase",0.688,"skent","skeened","skent",FALSE
"s6031","Female",1969,46,"pretest","drove","sensible","increase",0.515,"blode","blided","blided",TRUE
"s6031","Female",1969,46,"pretest","burnt","sensible","increase",0.703,"splurnt","splurned","splurned",TRUE
"s6031","Female",1969,46,"pretest","burnt","sensible","increase",0.748,"drurnt","drurned","drurned",TRUE
"s6031","Female",1969,46,"posttest","kept","sensible","increase",0.629,"squent","squeened","squeened",TRUE
"s6031","Female",1969,46,"pretest","sang","sensible","increase",0.54,"twam","twimmed","twam",FALSE
"s6031","Female",1969,46,"pretest","drove","sensible","increase",0.614,"trone","trined","trone",FALSE
"s6031","Female",1969,46,"pretest","kept","sensible","increase",0.51,"strelt","streeled","streeled",TRUE
"s6031","Female",1969,46,"pretest","sang","sensible","increase",0.46,"shrang","shringed","shrang",FALSE
"s6031","Female",1969,46,"posttest","burnt","sensible","increase",0.718,"jurnt","jurned","jurned",TRUE
"s6031","Female",1969,46,"posttest","drove","sensible","increase",0.554,"klote","klited","klited",TRUE
"s6031","Female",1969,46,"posttest","kept","sensible","increase",0.52,"squept","squeeped","squept",FALSE
"s6031","Female",1969,46,"posttest","drove","sensible","increase",0.391,"brove","brived","brived",TRUE
"s6031","Female",1969,46,"pretest","kept","sensible","increase",0.743,"chent","cheened","cheened",TRUE
"s6031","Female",1969,46,"pretest","burnt","sensible","increase",0.668,"lelt","lelled","lelled",TRUE
"s6031","Female",1969,46,"posttest","kept","sensible","increase",0.495,"thelt","theeled","theeled",TRUE
"s6031","Female",1969,46,"pretest","burnt","sensible","increase",0.644,"stelt","stelled","stelled",TRUE
"s6031","Female",1969,46,"pretest","drove","sensible","increase",0.45,"schmote","schmited","schmote",FALSE
"s6031","Female",1969,46,"posttest","drove","sensible","increase",0.54,"zote","zited","zited",TRUE
"s6031","Female",1969,46,"posttest","sang","sensible","increase",0.465,"prang","pringed","pringed",TRUE
"s6031","Female",1969,46,"pretest","burnt","sensible","increase",0.713,"hurnt","hurned","hurned",TRUE
"s6031","Female",1969,46,"pretest","kept","sensible","increase",0.663,"zemt","zeemed","zeemed",TRUE
"s6031","Female",1969,46,"pretest","drove","sensible","increase",0.599,"gove","geeved","gove",FALSE
"s6031","Female",1969,46,"pretest","drove","sensible","increase",0.658,"jone","jined","jone",FALSE
"s6031","Female",1969,46,"posttest","burnt","sensible","increase",0.653,"threlt","threlled","threlled",TRUE
"s6031","Female",1969,46,"posttest","sang","sensible","increase",0.579,"smam","smimmed","smam",FALSE
"s6031","Female",1969,46,"posttest","kept","sensible","increase",0.683,"krent","kreened","kreened",TRUE
"s6031","Female",1969,46,"posttest","sang","sensible","increase",0.515,"dwam","dwimmed","dwam",FALSE
"s6031","Female",1969,46,"posttest","sang","sensible","increase",0.683,"thram","thrimmed","thrimmed",TRUE
"s6031","Female",1969,46,"posttest","sang","sensible","increase",0.609,"glank","glinked","glinked",TRUE
"s6031","Female",1969,46,"posttest","drove","sensible","increase",0.475,"splode","splided","splided",TRUE
"s6031","Female",1969,46,"pretest","kept","sensible","increase",0.441,"zept","zeeped","zeeped",TRUE
"s6031","Female",1969,46,"posttest","drove","sensible","increase",0.629,"pote","pited","pote",FALSE
"s6031","Female",1969,46,"pretest","burnt","sensible","increase",0.693,"thurnt","thurned","thurned",TRUE
"s6031","Female",1969,46,"posttest","sang","sensible","increase",0.49,"trank","trinked","trinked",TRUE
"s6031","Female",1969,46,"posttest","kept","sensible","increase",0.713,"snemt","sneemed","sneemed",TRUE
"s6031","Female",1969,46,"posttest","kept","sensible","increase",0.46,"shrept","shreeped","shreeped",TRUE
"s6031","Female",1969,46,"pretest","sang","sensible","increase",0.614,"jank","jinked","jinked",TRUE
"s6031","Female",1969,46,"posttest","burnt","sensible","increase",0.693,"klilt","klilled","klilled",TRUE
"s6031","Female",1969,46,"pretest","kept","sensible","increase",0.693,"gemt","geemed","geemed",TRUE
"s6031","Female",1969,46,"pretest","kept","sensible","increase",0.634,"drent","dreened","drent",FALSE
"s6031","Female",1969,46,"posttest","drove","sensible","increase",0.356,"swode","swided","swided",TRUE
"s6031","Female",1969,46,"pretest","drove","sensible","increase",0.421,"splove","splived","splove",FALSE
"s6031","Female",1969,46,"posttest","drove","sensible","increase",0.426,"strote","strited","strote",FALSE
"s6031","Female",1969,46,"posttest","burnt","sensible","increase",0.673,"glilt","glilled","glilled",TRUE
"s6031","Female",1969,46,"pretest","drove","sensible","increase",0.47,"quode","quided","quode",FALSE
"s6031","Female",1969,46,"posttest","sang","sensible","increase",0.619,"stram","strimmed","strimmed",TRUE
"s6031","Female",1969,46,"posttest","drove","sensible","increase",0.406,"squode","squided","squode",FALSE
"s6031","Female",1969,46,"posttest","kept","sensible","increase",0.574,"plelt","pleeled","pleeled",TRUE
"s6031","Female",1969,46,"posttest","drove","sensible","increase",0.614,"slone","slined","slined",TRUE
"s6031","Female",1969,46,"pretest","sang","sensible","increase",0.708,"fram","frimmed","fram",FALSE
"s6031","Female",1969,46,"posttest","kept","sensible","increase",0.723,"jemt","jeemed","jeemed",TRUE
"s6031","Female",1969,46,"pretest","burnt","sensible","increase",0.718,"yilt","yilled","yilled",TRUE
"s6031","Female",1969,46,"pretest","kept","sensible","increase",0.431,"snept","sneeped","sneeped",TRUE
"s6031","Female",1969,46,"pretest","drove","sensible","increase",0.366,"vrote","vrited","vrote",FALSE
