"X","participant","pretest.reg","gender","yearOfBirth","phase","weak.past","strong.past","category","sensibility","partnerRegRate","partnerRegCondition","item.reg.mean","response","regular"
49,"s6023",0.653846153846154,"Female",1958,"posttest","squined","squone","drove","sensible",0.654,"no.change",0.678,"squone",FALSE
50,"s6023",0.653846153846154,"Female",1958,"posttest","zelled","zelt","burnt","sensible",0.654,"no.change",0.639,"zelt",FALSE
51,"s6023",0.653846153846154,"Female",1958,"posttest","grinked","grank","sang","sensible",0.654,"no.change",0.47,"grank",FALSE
52,"s6023",0.653846153846154,"Female",1958,"posttest","sprurned","sprurnt","burnt","sensible",0.654,"no.change",0.688,"sprurned",TRUE
53,"s6024",0.480769230769231,"Female",1983,"posttest","skrilled","skrilt","burnt","sensible",0.481,"no.change",0.733,"skrilled",TRUE
54,"s6024",0.480769230769231,"Female",1983,"posttest","brived","brove","drove","sensible",0.481,"no.change",0.391,"brived",TRUE
55,"s6024",0.480769230769231,"Female",1983,"posttest","smimmed","smam","sang","sensible",0.481,"no.change",0.579,"smimmed",TRUE
56,"s6024",0.480769230769231,"Female",1983,"posttest","breeped","brept","kept","sensible",0.481,"no.change",0.55,"breeped",TRUE
57,"s6024",0.480769230769231,"Female",1983,"posttest","twited","twote","drove","sensible",0.481,"no.change",0.446,"twote",FALSE
58,"s6024",0.480769230769231,"Female",1983,"posttest","zited","zote","drove","sensible",0.481,"no.change",0.54,"zote",FALSE
59,"s6024",0.480769230769231,"Female",1983,"posttest","chimmed","cham","sang","sensible",0.481,"no.change",0.743,"chimmed",TRUE
60,"s6024",0.480769230769231,"Female",1983,"posttest","skinged","skang","sang","sensible",0.481,"no.change",0.52,"skinged",TRUE
61,"s6024",0.480769230769231,"Female",1983,"posttest","chited","chote","drove","sensible",0.481,"no.change",0.579,"chited",TRUE
62,"s6024",0.480769230769231,"Female",1983,"posttest","strited","strote","drove","sensible",0.481,"no.change",0.426,"strited",TRUE
63,"s6024",0.480769230769231,"Female",1983,"posttest","strimmed","stram","sang","sensible",0.481,"no.change",0.619,"stram",FALSE
64,"s6024",0.480769230769231,"Female",1983,"posttest","spinged","spang","sang","sensible",0.481,"no.change",0.401,"spinged",TRUE
65,"s6024",0.480769230769231,"Female",1983,"posttest","sneemed","snemt","kept","sensible",0.481,"no.change",0.713,"snemt",FALSE
66,"s6024",0.480769230769231,"Female",1983,"posttest","pited","pote","drove","sensible",0.481,"no.change",0.629,"pited",TRUE
67,"s6024",0.480769230769231,"Female",1983,"posttest","theeled","thelt","kept","sensible",0.481,"no.change",0.495,"theeled",TRUE
68,"s6024",0.480769230769231,"Female",1983,"posttest","kleemed","klemt","kept","sensible",0.481,"no.change",0.653,"kleemed",TRUE
69,"s6024",0.480769230769231,"Female",1983,"posttest","klited","klote","drove","sensible",0.481,"no.change",0.554,"klote",FALSE
70,"s6024",0.480769230769231,"Female",1983,"posttest","jurned","jurnt","burnt","sensible",0.481,"no.change",0.718,"jurned",TRUE
71,"s6024",0.480769230769231,"Female",1983,"posttest","kreened","krent","kept","sensible",0.481,"no.change",0.683,"krent",FALSE
72,"s6024",0.480769230769231,"Female",1983,"posttest","neemed","nemt","kept","sensible",0.481,"no.change",0.658,"neemed",TRUE
73,"s6024",0.480769230769231,"Female",1983,"posttest","vurned","vurnt","burnt","sensible",0.481,"no.change",0.668,"vurned",TRUE
74,"s6024",0.480769230769231,"Female",1983,"posttest","jeemed","jemt","kept","sensible",0.481,"no.change",0.723,"jeemed",TRUE
75,"s6024",0.480769230769231,"Female",1983,"posttest","brurned","brurnt","burnt","sensible",0.481,"no.change",0.554,"brurnt",FALSE
