"subject","condition","correct","correctAnswer","experiment","subj.gender","interlocutor","inTraining","phase","promptImage","promptName","selection","targetImage","targetWord1","targetWord2","subj.yob","subject.age","trialNumber"
"s1382","linguistic",TRUE,"pelpek","exp1","Female","female_side",TRUE,"training","chair_large","pel","pelpek","chair_dimin","pelpek","pelpak",1981,33,12
"s1382","linguistic",TRUE,"fekpek","exp1","Female","male_side",TRUE,"training","fox_large_male","fek","fekpek","fox_dimin","fekpek","fekpak",1981,33,13
"s1382","linguistic",TRUE,"ralpak","exp1","Female","male",TRUE,"training","fox_large_male","ral","ralpak","fox_dimin","ralpek","ralpak",1981,33,14
"s1382","linguistic",TRUE,"pelpek","exp1","Female","male_side",TRUE,"training","chair_large","pel","pelpek","chair_dimin","pelpek","pelpak",1981,33,15
"s1382","linguistic",TRUE,"rakpak","exp1","Female","female",TRUE,"training","chair_large","rak","rakpak","chair_dimin","rakpek","rakpak",1981,33,16
"s1382","linguistic",TRUE,"ralpak","exp1","Female","male_side",TRUE,"training","fox_large_male","ral","ralpak","fox_dimin","ralpek","ralpak",1981,33,17
"s1382","linguistic",TRUE,"ralpak","exp1","Female","female_side",TRUE,"training","fox_large_male","ral","ralpak","fox_dimin","ralpek","ralpak",1981,33,18
"s1382","linguistic",TRUE,"wenpek","exp1","Female","female",TRUE,"training","bokchoy_large","wen","wenpek","bokchoy_dimin","wenpek","wenpak",1981,33,19
"s1382","linguistic",TRUE,"wekpek","exp1","Female","female",TRUE,"training","pitcher_large","wek","wekpek","pitcher_dimin","wekpek","wekpak",1981,33,20
"s1382","linguistic",TRUE,"wekpek","exp1","Female","male_side",TRUE,"training","pitcher_large","wek","wekpek","pitcher_dimin","wekpek","wekpak",1981,33,21
"s1382","linguistic",TRUE,"fekpek","exp1","Female","female_side",TRUE,"training","fox_large_male","fek","fekpek","fox_dimin","fekpek","fekpak",1981,33,22
"s1382","linguistic",TRUE,"wenpek","exp1","Female","male",TRUE,"training","bokchoy_large","wen","wenpek","bokchoy_dimin","wenpek","wenpak",1981,33,23
"s1382","linguistic",TRUE,"ralpak","exp1","Female","female",TRUE,"training","fox_large_male","ral","ralpak","fox_dimin","ralpek","ralpak",1981,33,24
"s1382","linguistic",TRUE,"rakpak","exp1","Female","male",TRUE,"training","chair_large","rak","rakpak","chair_dimin","rakpek","rakpak",1981,33,25
"s1382","linguistic",TRUE,"rakpak","exp1","Female","male_side",TRUE,"training","chair_large","rak","rakpak","chair_dimin","rakpek","rakpak",1981,33,26
"s1382","linguistic",TRUE,"fekpek","exp1","Female","male",TRUE,"training","fox_large_male","fek","fekpek","fox_dimin","fekpek","fekpak",1981,33,27
"s1382","linguistic",TRUE,"wenpek","exp1","Female","male_side",TRUE,"training","bokchoy_large","wen","wenpek","bokchoy_dimin","wenpek","wenpak",1981,33,28
"s1384","linguistic",TRUE,"wekpek","exp1","Male","male",TRUE,"training","mushroom_large","wek","wekpek","mushroom_dimin","wekpek","wekpak",1985,29,1
"s1384","linguistic",FALSE,"falpak","exp1","Male","female",TRUE,"training","fox_large_male","fal","falpek","fox_dimin","falpek","falpak",1985,29,2
"s1384","linguistic",FALSE,"wekpek","exp1","Male","male",TRUE,"training","mushroom_large","wek","wekpak","mushroom_dimin","wekpek","wekpak",1985,29,3
"s1384","linguistic",TRUE,"wekpek","exp1","Male","male",TRUE,"training","mushroom_large","wek","wekpek","mushroom_dimin","wekpek","wekpak",1985,29,4
"s1384","linguistic",FALSE,"falpak","exp1","Male","female",TRUE,"training","fox_large_male","fal","falpek","fox_dimin","falpek","falpak",1985,29,5
"s1384","linguistic",TRUE,"wekpek","exp1","Male","male",TRUE,"training","mushroom_large","wek","wekpek","mushroom_dimin","wekpek","wekpak",1985,29,6
"s1384","linguistic",TRUE,"falpak","exp1","Male","female",TRUE,"training","fox_large_male","fal","falpak","fox_dimin","falpek","falpak",1985,29,7
"s1384","linguistic",TRUE,"tekpek","exp1","Male","male",TRUE,"training","gate_large","tek","tekpek","gate_dimin","tekpek","tekpak",1985,29,8
"s1384","linguistic",TRUE,"wekpek","exp1","Male","female",TRUE,"training","mushroom_large","wek","wekpek","mushroom_dimin","wekpek","wekpak",1985,29,9
"s1384","linguistic",TRUE,"falpak","exp1","Male","female_side",TRUE,"training","fox_large_male","fal","falpak","fox_dimin","falpek","falpak",1985,29,10
"s1384","linguistic",TRUE,"falpak","exp1","Male","male_side",TRUE,"training","fox_large_male","fal","falpak","fox_dimin","falpek","falpak",1985,29,11
"s1384","linguistic",FALSE,"ralpak","exp1","Male","male",TRUE,"training","chair_large","ral","ralpek","chair_dimin","ralpek","ralpak",1985,29,12
"s1384","linguistic",FALSE,"falpak","exp1","Male","male_side",TRUE,"training","fox_large_male","fal","falpek","fox_dimin","falpek","falpak",1985,29,13
"s1384","linguistic",TRUE,"falpak","exp1","Male","female_side",TRUE,"training","fox_large_male","fal","falpak","fox_dimin","falpek","falpak",1985,29,14
"s1384","linguistic",FALSE,"falpak","exp1","Male","male_side",TRUE,"training","fox_large_male","fal","falpek","fox_dimin","falpek","falpak",1985,29,15
"s1384","linguistic",TRUE,"falpak","exp1","Male","female_side",TRUE,"training","fox_large_male","fal","falpak","fox_dimin","falpek","falpak",1985,29,16
"s1384","linguistic",TRUE,"falpak","exp1","Male","male_side",TRUE,"training","fox_large_male","fal","falpak","fox_dimin","falpek","falpak",1985,29,17
"s1384","linguistic",TRUE,"ralpak","exp1","Male","male",TRUE,"training","chair_large","ral","ralpak","chair_dimin","ralpek","ralpak",1985,29,18
"s1384","linguistic",TRUE,"tekpek","exp1","Male","male_side",TRUE,"training","gate_large","tek","tekpek","gate_dimin","tekpek","tekpak",1985,29,19
"s1384","linguistic",TRUE,"ralpak","exp1","Male","female_side",TRUE,"training","chair_large","ral","ralpak","chair_dimin","ralpek","ralpak",1985,29,20
"s1384","linguistic",TRUE,"wenpek","exp1","Male","male_side",TRUE,"training","bear_large_male","wen","wenpek","bear_dimin","wenpek","wenpak",1985,29,21
"s1384","linguistic",TRUE,"ralpak","exp1","Male","male_side",TRUE,"training","chair_large","ral","ralpak","chair_dimin","ralpek","ralpak",1985,29,22
"s1384","linguistic",TRUE,"wenpek","exp1","Male","female_side",TRUE,"training","candleholder_large","wen","wenpek","candleholder_dimin","wenpek","wenpak",1985,29,23
"s1384","linguistic",TRUE,"wenpek","exp1","Male","female",TRUE,"training","bear_large_male","wen","wenpek","bear_dimin","wenpek","wenpak",1985,29,24
"s1384","linguistic",TRUE,"tekpek","exp1","Male","female_side",TRUE,"training","gate_large","tek","tekpek","gate_dimin","tekpek","tekpak",1985,29,25
"s1384","linguistic",TRUE,"wenpek","exp1","Male","female_side",TRUE,"training","bear_large_male","wen","wenpek","bear_dimin","wenpek","wenpak",1985,29,26
"s1384","linguistic",TRUE,"tekpek","exp1","Male","female",TRUE,"training","gate_large","tek","tekpek","gate_dimin","tekpek","tekpak",1985,29,27
"s1384","linguistic",TRUE,"wenpek","exp1","Male","male",TRUE,"training","bear_large_male","wen","wenpek","bear_dimin","wenpek","wenpak",1985,29,28
"s1384","linguistic",TRUE,"wekpek","exp1","Male","female_side",TRUE,"training","mushroom_large","wek","wekpek","mushroom_dimin","wekpek","wekpak",1985,29,29
"s1384","linguistic",TRUE,"falpak","exp1","Male","male",TRUE,"training","fox_large_male","fal","falpak","fox_dimin","falpek","falpak",1985,29,30
"s1384","linguistic",TRUE,"ralpak","exp1","Male","female",TRUE,"training","chair_large","ral","ralpak","chair_dimin","ralpek","ralpak",1985,29,31
