"participant","partnerRegCondition","partnerRegRate","age","gender","pretestReg","posttestReg"
"s6273","decrease",0.423,24,"Male",0.692307692307692,0.730769230769231
"s6274","decrease",0.385,50,"Female",0.653846153846154,0.519230769230769
"s6279","decrease",0.327,22,"Male",0.557692307692308,0.673076923076923
"s6282","increase",0.673,43,"Male",0.480769230769231,0.384615384615385
"s6284","increase",0.538,27,"Male",0.384615384615385,0.384615384615385
"s6286","decrease",0.269,32,"Male",0.442307692307692,0.153846153846154
"s6287","decrease",0.346,23,"Female",0.576923076923077,0.5
"s6290","decrease",0.25,22,"Male",0.423076923076923,0.365384615384615
"s6298","increase",0.865,37,"Male",0.615384615384615,0.961538461538462
"s6474","increase",0.596,34,"Female",0.423076923076923,0.423076923076923
"s6475","decrease",0.327,28,"Female",0.557692307692308,0.25
"s6476","decrease",0.365,30,"Female",0.615384615384615,0.557692307692308
"s6478","decrease",0.327,50,"Female",0.538461538461538,0.557692307692308
"s6479","decrease",0.25,22,"Female",0.403846153846154,0.442307692307692
"s6489","decrease",0.365,21,"Male",0.615384615384615,0.384615384615385
"s6495","decrease",0.154,23,"Male",0.25,0
"s6497","increase",0.192,31,"Female",0.134615384615385,0.211538461538462
"s6500","decrease",0.288,31,"Female",0.480769230769231,0.365384615384615
"s6504","decrease",0.327,20,"Female",0.557692307692308,0.519230769230769
"s6510","increase",0.288,49,"Female",0.211538461538462,0.0576923076923077
"s6512","increase",0.519,33,"Male",0.365384615384615,0.365384615384615
"s6513","increase",0.404,29,"Female",0.288461538461538,0.346153846153846
"s6514","increase",0.692,25,"Male",0.5,0.942307692307692
"s6515","increase",0.788,38,"Male",0.557692307692308,0.403846153846154
"s6516","increase",0.923,22,"Female",0.653846153846154,0.865384615384615
"s6517","increase",0.885,29,"Male",0.634615384615385,0.673076923076923
"s6519","increase",0.596,31,"Male",0.423076923076923,0.557692307692308
"s6520","increase",0.615,26,"Female",0.442307692307692,0.461538461538462
"s6521","increase",0.808,25,"Female",0.576923076923077,0.576923076923077
"s6522","increase",0.827,29,"Female",0.596153846153846,0.692307692307692
"s6524","increase",0.827,39,"Male",0.596153846153846,0.538461538461538
"s6525","increase",0.788,31,"Female",0.557692307692308,0.788461538461538
"s6528","increase",0.923,36,"Female",0.653846153846154,0.903846153846154
"s6529","increase",0.654,28,"Female",0.461538461538462,0.0192307692307692
"s6531","increase",0.962,37,"Male",0.692307692307692,0.653846153846154
"s6532","increase",0.346,32,"Male",0.25,0.115384615384615
"s6533","increase",0.827,20,"Female",0.596153846153846,1
"s6534","increase",0.615,36,"Male",0.442307692307692,0.423076923076923
"s6535","increase",0.808,36,"Male",0.576923076923077,0.884615384615385
"s6536","increase",0.731,20,"Female",0.519230769230769,0.192307692307692
"s6537","increase",0.923,26,"Female",0.653846153846154,1
"s6538","increase",0.423,20,"Male",0.307692307692308,0.403846153846154
"s6542","increase",0.404,22,"Male",0.288461538461538,0.442307692307692
"s6543","increase",0.885,23,"Male",0.634615384615385,0.711538461538462
"s6544","increase",0.673,24,"Female",0.480769230769231,0.615384615384615
"s6546","increase",0.827,39,"Male",0.596153846153846,0.653846153846154
"s6547","increase",0.538,29,"Female",0.384615384615385,0.5
"s6548","increase",0.75,23,"Male",0.538461538461538,0.384615384615385
"s6549","increase",0.558,28,"Female",0.403846153846154,0.365384615384615
"s6550","increase",0.923,40,"Male",0.653846153846154,0.923076923076923
"s6551","increase",0.75,28,"Male",0.538461538461538,0.846153846153846
"s6552","increase",0.731,26,"Male",0.519230769230769,0.423076923076923
"s6553","increase",0.731,29,"Male",0.519230769230769,0.461538461538462
"s6555","increase",0.923,31,"Male",0.653846153846154,0.807692307692308
"s6556","increase",0.75,34,"Female",0.538461538461538,0.653846153846154
"s6557","increase",0.808,51,"Female",0.576923076923077,0.884615384615385
"s6558","increase",0.885,27,"Male",0.634615384615385,0.826923076923077
"s6561","increase",0.731,28,"Male",0.5,0.653846153846154
"s6562","increase",0.885,29,"Male",0.634615384615385,0.884615384615385
